Chidamber-Kemerer metrics,Qua, 13 dez 2017 14:47:46 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.eclipse.jdt.core.BindingKey",10,1,6,0,35,28
"org.eclipse.jdt.core.BufferChangedEvent",4,2,4,0,6,5
"org.eclipse.jdt.core.ClasspathContainerInitializer",7,1,5,2,11,18
"org.eclipse.jdt.core.ClasspathVariableInitializer",1,1,1,0,2,1
"org.eclipse.jdt.core.CompletionContext",7,1,14,1,14,14
"org.eclipse.jdt.core.CompletionFlags",2,1,1,0,2,2
"org.eclipse.jdt.core.CompletionProposal",7,1,39,1,40,39
"org.eclipse.jdt.core.CompletionRequestor",17,1,8,3,16,25
"org.eclipse.jdt.core.CompletionRequestorAdapter",2,1,14,0,14,14
"org.eclipse.jdt.core.CorrectionEngine",23,1,3,0,38,40
"org.eclipse.jdt.core.ElementChangedEvent",5,2,2,0,4,3
"org.eclipse.jdt.core.Flags",36,1,19,0,29,37
"org.eclipse.jdt.core.IAccessRule",n/a,n/a,n/a,n/a,3,n/a
"org.eclipse.jdt.core.IAnnotatable",n/a,n/a,n/a,n/a,2,n/a
"org.eclipse.jdt.core.IAnnotation",n/a,n/a,n/a,n/a,3,n/a
"org.eclipse.jdt.core.IBuffer",n/a,n/a,n/a,n/a,20,n/a
"org.eclipse.jdt.core.IBuffer.ITextEditCapability",n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IBufferChangedListener",n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IBufferFactory",n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IClassFile",n/a,n/a,n/a,n/a,6,n/a
"org.eclipse.jdt.core.IClasspathAttribute",n/a,n/a,n/a,n/a,2,n/a
"org.eclipse.jdt.core.IClasspathContainer",n/a,n/a,n/a,n/a,4,n/a
"org.eclipse.jdt.core.IClasspathEntry",n/a,n/a,n/a,n/a,14,n/a
"org.eclipse.jdt.core.ICodeAssist",n/a,n/a,n/a,n/a,9,n/a
"org.eclipse.jdt.core.ICodeCompletionRequestor",n/a,n/a,n/a,n/a,11,n/a
"org.eclipse.jdt.core.ICodeFormatter",n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.ICompilationUnit",n/a,n/a,n/a,n/a,29,n/a
"org.eclipse.jdt.core.ICompletionRequestor",n/a,n/a,n/a,n/a,14,n/a
"org.eclipse.jdt.core.ICorrectionRequestor",n/a,n/a,n/a,n/a,6,n/a
"org.eclipse.jdt.core.IElementChangedListener",n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IField",n/a,n/a,n/a,n/a,6,n/a
"org.eclipse.jdt.core.IImportContainer",n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IImportDeclaration",n/a,n/a,n/a,n/a,3,n/a
