Class,OCavg,WMC
"org.eclipse.jdt.core.BindingKey","1,87",28
"org.eclipse.jdt.core.BufferChangedEvent","1,00",5
"org.eclipse.jdt.core.ClasspathContainerInitializer","1,29",18
"org.eclipse.jdt.core.ClasspathVariableInitializer","1,00",1
"org.eclipse.jdt.core.CompletionContext","1,00",14
"org.eclipse.jdt.core.CompletionFlags","1,00",2
"org.eclipse.jdt.core.CompletionProposal","1,00",39
"org.eclipse.jdt.core.CompletionRequestor","1,79",25
"org.eclipse.jdt.core.CompletionRequestorAdapter","1,00",14
"org.eclipse.jdt.core.CorrectionEngine","4,44",40
"org.eclipse.jdt.core.ElementChangedEvent","1,00",3
"org.eclipse.jdt.core.Flags","1,54",37
"org.eclipse.jdt.core.JavaConventions","2,83",65
"org.eclipse.jdt.core.JavaCore","2,86",266
"org.eclipse.jdt.core.JavaModelException","1,67",15
"org.eclipse.jdt.core.NamingConventions","1,88",45
"org.eclipse.jdt.core.NamingConventions.NamingRequestor","3,80",19
"org.eclipse.jdt.core.Signature","5,05",384
"org.eclipse.jdt.core.SourceRange","1,14",8
"org.eclipse.jdt.core.ToolFactory","3,08",40
"org.eclipse.jdt.core.WorkingCopyOwner","1,00",7
"org.eclipse.jdt.core.compiler.BuildContext","1,00",7
"org.eclipse.jdt.core.compiler.CategorizedProblem","1,00",2
"org.eclipse.jdt.core.compiler.CharOperation","5,34",379
"org.eclipse.jdt.core.compiler.CompilationParticipant","1,00",8
"org.eclipse.jdt.core.compiler.CompilationProgress",n/a,0
"org.eclipse.jdt.core.compiler.InvalidInputException","1,00",2
"org.eclipse.jdt.core.compiler.ReconcileContext","1,67",20
"org.eclipse.jdt.core.compiler.batch.BatchCompiler","1,00",3
"org.eclipse.jdt.core.dom.AST","1,53",219
"org.eclipse.jdt.core.dom.ASTConverter","6,53",1.189
"org.eclipse.jdt.core.dom.ASTMatcher","2,66",263
"org.eclipse.jdt.core.dom.ASTNode","3,79",216
"org.eclipse.jdt.core.dom.ASTNode.NodeList","2,18",24
"org.eclipse.jdt.core.dom.ASTNode.NodeList.Cursor","1,25",5
"org.eclipse.jdt.core.dom.ASTParser","4,21",118
"org.eclipse.jdt.core.dom.ASTRecoveryPropagator","5,57",78
"org.eclipse.jdt.core.dom.ASTRequestor","1,50",6
"org.eclipse.jdt.core.dom.ASTSyntaxErrorPropagator","1,45",16
"org.eclipse.jdt.core.dom.ASTVisitor","1,00",189
"org.eclipse.jdt.core.dom.AbstractTypeDeclaration","1,23",16
"org.eclipse.jdt.core.dom.AnnotatableType","1,50",6
"org.eclipse.jdt.core.dom.Annotation","1,25",15
"org.eclipse.jdt.core.dom.AnnotationBinding","4,12",66
"org.eclipse.jdt.core.dom.AnnotationTypeDeclaration","1,53",26
"org.eclipse.jdt.core.dom.AnnotationTypeMemberDeclaration","1,95",41
"org.eclipse.jdt.core.dom.AnonymousClassDeclaration","1,17",14
"org.eclipse.jdt.core.dom.ArrayAccess","1,93",27
"org.eclipse.jdt.core.dom.ArrayCreation","1,69",27
"org.eclipse.jdt.core.dom.ArrayInitializer","1,18",13
"org.eclipse.jdt.core.dom.ArrayType","2,20",44
"org.eclipse.jdt.core.dom.AssertStatement","1,71",24
"org.eclipse.jdt.core.dom.Assignment","1,94",33
"org.eclipse.jdt.core.dom.Assignment.Operator","1,33",4
"org.eclipse.jdt.core.dom.BindingComparator","6,10",61
"org.eclipse.jdt.core.dom.BindingResolver","1,00",56
"org.eclipse.jdt.core.dom.Block","1,18",13
"org.eclipse.jdt.core.dom.BlockComment","1,00",9
"org.eclipse.jdt.core.dom.BodyDeclaration","1,46",19
"org.eclipse.jdt.core.dom.BooleanLiteral","1,17",14
"org.eclipse.jdt.core.dom.BreakStatement","1,33",16
"org.eclipse.jdt.core.dom.CastExpression","1,93",27
"org.eclipse.jdt.core.dom.CatchClause","1,93",27
"org.eclipse.jdt.core.dom.CharacterLiteral","2,73",41
"org.eclipse.jdt.core.dom.ChildListPropertyDescriptor","1,33",4
"org.eclipse.jdt.core.dom.ChildPropertyDescriptor","1,25",5
"org.eclipse.jdt.core.dom.ClassInstanceCreation","2,20",55
"org.eclipse.jdt.core.dom.Comment","1,00",7
"org.eclipse.jdt.core.dom.CompilationUnit","2,38",95
"org.eclipse.jdt.core.dom.CompilationUnitResolver","4,62",171
"org.eclipse.jdt.core.dom.CompilationUnitResolver.IntArrayList","2,00",2
"org.eclipse.jdt.core.dom.ConditionalExpression","2,19",35
"org.eclipse.jdt.core.dom.ConstructorInvocation","1,77",23
"org.eclipse.jdt.core.dom.ContinueStatement","1,33",16
"org.eclipse.jdt.core.dom.CreationReference","1,60",24
"org.eclipse.jdt.core.dom.DefaultASTVisitor","1,01",189
"org.eclipse.jdt.core.dom.DefaultBindingResolver","6,73",451
"org.eclipse.jdt.core.dom.DefaultBindingResolver.AnnotationIdentityBinding","1,00",3
"org.eclipse.jdt.core.dom.DefaultBindingResolver.BindingTables","1,00",1
"org.eclipse.jdt.core.dom.DefaultCommentMapper","6,69",87
"org.eclipse.jdt.core.dom.DefaultCommentMapper.CommentMapperVisitor","3,75",15
"org.eclipse.jdt.core.dom.DefaultValuePairBinding","1,50",9
"org.eclipse.jdt.core.dom.Dimension","1,18",13
"org.eclipse.jdt.core.dom.DoStatement","1,93",27
"org.eclipse.jdt.core.dom.DocCommentParser","5,68",108
"org.eclipse.jdt.core.dom.EmptyStatement","1,00",8
"org.eclipse.jdt.core.dom.EnhancedForStatement","2,19",35
"org.eclipse.jdt.core.dom.EnumConstantDeclaration","1,71",36
"org.eclipse.jdt.core.dom.EnumDeclaration","1,58",30
"org.eclipse.jdt.core.dom.Expression","1,00",5
"org.eclipse.jdt.core.dom.ExpressionMethodReference","1,88",32
"org.eclipse.jdt.core.dom.ExpressionStatement","1,58",19
"org.eclipse.jdt.core.dom.FieldAccess","1,87",28
"org.eclipse.jdt.core.dom.FieldDeclaration","2,06",37
"org.eclipse.jdt.core.dom.FileASTRequestor","1,67",5
"org.eclipse.jdt.core.dom.ForStatement","1,71",29
"org.eclipse.jdt.core.dom.IfStatement","2,00",32
"org.eclipse.jdt.core.dom.ImportDeclaration","1,72",31
"org.eclipse.jdt.core.dom.InfixExpression","2,05",41
"org.eclipse.jdt.core.dom.InfixExpression.Operator","1,33",4
"org.eclipse.jdt.core.dom.Initializer","2,06",35
"org.eclipse.jdt.core.dom.InstanceofExpression","1,93",27
"org.eclipse.jdt.core.dom.InternalASTRewrite","2,75",44
"org.eclipse.jdt.core.dom.IntersectionType","1,18",13
"org.eclipse.jdt.core.dom.Javadoc","1,93",27
"org.eclipse.jdt.core.dom.LabeledStatement","1,93",27
"org.eclipse.jdt.core.dom.LambdaExpression","1,56",28
"org.eclipse.jdt.core.dom.LineComment","1,00",9
"org.eclipse.jdt.core.dom.MarkerAnnotation","1,36",15
"org.eclipse.jdt.core.dom.MemberRef","1,67",25
"org.eclipse.jdt.core.dom.MemberValuePair","1,87",28
"org.eclipse.jdt.core.dom.MemberValuePairBinding","3,42",65
"org.eclipse.jdt.core.dom.Message","1,83",11
"org.eclipse.jdt.core.dom.MethodBinding","2,56",87
"org.eclipse.jdt.core.dom.MethodBinding.LambdaMethod","1,00",9
"org.eclipse.jdt.core.dom.MethodDeclaration","2,55",107
"org.eclipse.jdt.core.dom.MethodInvocation","2,00",38
"org.eclipse.jdt.core.dom.MethodRef","1,65",28
"org.eclipse.jdt.core.dom.MethodRefParameter","1,82",31
"org.eclipse.jdt.core.dom.MethodReference","1,00",5
"org.eclipse.jdt.core.dom.Modifier","1,08",41
"org.eclipse.jdt.core.dom.Modifier.ModifierKeyword","1,60",8
"org.eclipse.jdt.core.dom.Name","1,20",6
"org.eclipse.jdt.core.dom.NameEnvironmentWithProgress","2,50",15
"org.eclipse.jdt.core.dom.NameQualifiedType","1,94",31
"org.eclipse.jdt.core.dom.NodeEventHandler","1,00",11
"org.eclipse.jdt.core.dom.NodeFinder","2,17",13
"org.eclipse.jdt.core.dom.NodeFinder.NodeFinderVisitor","2,25",9
"org.eclipse.jdt.core.dom.NodeSearcher","1,86",13
"org.eclipse.jdt.core.dom.NormalAnnotation","1,38",18
"org.eclipse.jdt.core.dom.NullLiteral","1,00",9
"org.eclipse.jdt.core.dom.NumberLiteral","1,62",21
"org.eclipse.jdt.core.dom.PackageBinding","2,67",40
"org.eclipse.jdt.core.dom.PackageDeclaration","2,12",36
"org.eclipse.jdt.core.dom.ParameterizedType","1,57",22
"org.eclipse.jdt.core.dom.ParenthesizedExpression","1,58",19
"org.eclipse.jdt.core.dom.PostfixExpression","1,67",25
"org.eclipse.jdt.core.dom.PostfixExpression.Operator","1,33",4
"org.eclipse.jdt.core.dom.PrefixExpression","1,67",25
"org.eclipse.jdt.core.dom.PrefixExpression.Operator","1,33",4
"org.eclipse.jdt.core.dom.PrimitiveType","1,73",26
"org.eclipse.jdt.core.dom.PrimitiveType.Code","1,00",2
"org.eclipse.jdt.core.dom.QualifiedName","1,87",28
"org.eclipse.jdt.core.dom.QualifiedType","2,19",35
"org.eclipse.jdt.core.dom.RecoveredTypeBinding","1,90",133
"org.eclipse.jdt.core.dom.RecoveredVariableBinding","1,29",27
"org.eclipse.jdt.core.dom.ReturnStatement","1,33",16
"org.eclipse.jdt.core.dom.SimpleName","2,07",31
"org.eclipse.jdt.core.dom.SimplePropertyDescriptor","1,33",4
"org.eclipse.jdt.core.dom.SimpleType","1,93",27
"org.eclipse.jdt.core.dom.SingleMemberAnnotation","1,77",23
"org.eclipse.jdt.core.dom.SingleVariableDeclaration","2,62",68
"org.eclipse.jdt.core.dom.Statement","2,20",11
"org.eclipse.jdt.core.dom.StringLiteral","1,67",25
"org.eclipse.jdt.core.dom.StructuralPropertyDescriptor","1,86",13
"org.eclipse.jdt.core.dom.SuperConstructorInvocation","1,81",29
"org.eclipse.jdt.core.dom.SuperFieldAccess","1,67",25
"org.eclipse.jdt.core.dom.SuperMethodInvocation","2,00",38
"org.eclipse.jdt.core.dom.SuperMethodReference","1,71",29
"org.eclipse.jdt.core.dom.SwitchCase","1,46",19
"org.eclipse.jdt.core.dom.SwitchStatement","1,57",22
"org.eclipse.jdt.core.dom.SynchronizedStatement","1,93",27
"org.eclipse.jdt.core.dom.TagElement","1,27",19
"org.eclipse.jdt.core.dom.TextElement","1,42",17
"org.eclipse.jdt.core.dom.ThisExpression","1,33",16
"org.eclipse.jdt.core.dom.ThrowStatement","1,58",19
"org.eclipse.jdt.core.dom.TryStatement","2,12",36
"org.eclipse.jdt.core.dom.Type","1,00",12
"org.eclipse.jdt.core.dom.TypeBinding","3,99",279
"org.eclipse.jdt.core.dom.TypeBinding.LocalTypeBinding","1,00",2
"org.eclipse.jdt.core.dom.TypeDeclaration","2,41",82
"org.eclipse.jdt.core.dom.TypeDeclarationStatement","1,72",31
"org.eclipse.jdt.core.dom.TypeLiteral","1,58",19
"org.eclipse.jdt.core.dom.TypeMethodReference","1,88",32
"org.eclipse.jdt.core.dom.TypeParameter","2,00",32
"org.eclipse.jdt.core.dom.UnionType","1,18",13
"org.eclipse.jdt.core.dom.VariableBinding","3,57",82
"org.eclipse.jdt.core.dom.VariableDeclaration","1,44",26
"org.eclipse.jdt.core.dom.VariableDeclarationExpression","2,11",40
"org.eclipse.jdt.core.dom.VariableDeclarationFragment","1,88",30
"org.eclipse.jdt.core.dom.VariableDeclarationStatement","2,11",40
"org.eclipse.jdt.core.dom.WhileStatement","1,93",27
"org.eclipse.jdt.core.dom.WildcardType","1,67",30
