Method,ev(G),iv(G),v(G)
"null.accept(CompletionProposal)",2,11,15
"null.acceptPotentiallyCompatibleMethods(MethodBinding[])",1,1,1
"null.added(NodeChangeEvent)",1,1,1
"null.checkingPotentialCompatibility()",1,1,1
"null.compare(FieldBinding,FieldBinding)",1,1,1
"null.compare(MethodBinding,MethodBinding)",1,1,2
"null.compare(Object,Object)",1,1,1
"null.createBuffer(IOpenable)",1,1,1
"null.createContainerComparator(JavaProject)",1,1,1
"null.createImportAdder(Comparator<ImportName>)",1,1,1
"null.definesTargetType()",1,1,1
"null.determineImplicitImportContainers(ICompilationUnit)",1,1,1
"null.freshInferenceContext(Scope)",1,1,1
"null.genericTypeArguments()",1,1,1
"null.get(Binding)",1,1,1
"null.getAnnotationsAtCursor(int)",1,1,1
"null.getClasspathEntries()",1,1,1
"null.getDescription()",1,1,1
"null.getExpressionContext()",1,1,1
"null.getKind()",1,1,1
"null.getPath()",1,1,1
"null.hasTypeBit(int)",1,1,1
"null.invocationTargetType()",1,1,1
"null.isQualifiedSuper()",1,1,1
"null.isSuperAccess()",1,1,1
"null.isTypeAccess()",1,1,1
"null.kind()",1,1,1
"null.receiverIsImplicitThis()",1,1,1
"null.reduce(InferenceContext18)",1,1,1
"null.removed(NodeChangeEvent)",1,2,2
"null.setActualReceiverType(ReferenceBinding)",1,1,1
"null.setDepth(int)",1,1,1
"null.setFieldIndex(int)",1,1,1
"null.shouldFixAllLineDelimiters()",1,1,1
"null.shouldRemoveOriginalImports()",1,1,1
"null.sourceEnd()",1,1,1
"null.sourceStart()",1,1,1
"null.toField()",1,1,1
"null.toMethodParameter(short)",1,1,1
"null.toMethodReturn()",1,1,1
"null.toNextArrayDimension()",1,1,1
"null.toNextNestedType()",1,1,1
"null.toReceiver()",1,1,1
"null.toString()",1,1,1
"null.toSupertype(short,char[])",1,1,1
"null.toThrows(int)",1,1,1
"null.toTypeArgument(int)",1,1,1
"null.toTypeBound(short)",1,1,1
"null.toTypeParameter(boolean,int)",1,1,1
"null.toTypeParameterBounds(boolean,int)",1,1,1
"null.toWildcardBound()",1,1,1
"null.token(Token,int)",2,4,8
"org.eclipse.jdt.core.BindingKey.BindingKey(String)",1,1,1
"org.eclipse.jdt.core.BindingKey.createArrayTypeBindingKey(String,int)",1,2,2
"org.eclipse.jdt.core.BindingKey.createParameterizedTypeBindingKey(String,String[])",1,2,2
"org.eclipse.jdt.core.BindingKey.createTypeBindingKey(String)",1,1,1
"org.eclipse.jdt.core.BindingKey.createTypeVariableBindingKey(String,String)",1,1,1
"org.eclipse.jdt.core.BindingKey.createWilcardTypeBindingKey(String,char)",4,2,4
"org.eclipse.jdt.core.BindingKey.createWildcardTypeBindingKey(String,char,String,int)",2,2,5
"org.eclipse.jdt.core.BindingKey.getDeclaringType()",4,2,5
"org.eclipse.jdt.core.BindingKey.getThrownExceptions()",1,1,1
"org.eclipse.jdt.core.BindingKey.getTypeArguments()",1,1,1
"org.eclipse.jdt.core.BindingKey.isParameterizedMethod()",1,1,1
"org.eclipse.jdt.core.BindingKey.isParameterizedType()",1,1,1
"org.eclipse.jdt.core.BindingKey.isRawType()",1,1,1
"org.eclipse.jdt.core.BindingKey.toSignature()",1,1,1
"org.eclipse.jdt.core.BindingKey.toString()",1,1,1
"org.eclipse.jdt.core.BufferChangedEvent.BufferChangedEvent(IBuffer,int,int,String)",1,1,1
"org.eclipse.jdt.core.BufferChangedEvent.getBuffer()",1,1,1
"org.eclipse.jdt.core.BufferChangedEvent.getLength()",1,1,1
"org.eclipse.jdt.core.BufferChangedEvent.getOffset()",1,1,1
"org.eclipse.jdt.core.BufferChangedEvent.getText()",1,1,1
"org.eclipse.jdt.core.ClasspathContainerInitializer.ClasspathContainerInitializer()",1,1,1
"org.eclipse.jdt.core.ClasspathContainerInitializer.canUpdateClasspathContainer(IPath,IJavaProject)",1,1,1
"org.eclipse.jdt.core.ClasspathContainerInitializer.getAccessRulesStatus(IPath,IJavaProject)",2,1,2
"org.eclipse.jdt.core.ClasspathContainerInitializer.getAttributeStatus(IPath,IJavaProject,String)",2,1,2
"org.eclipse.jdt.core.ClasspathContainerInitializer.getComparisonID(IPath,IJavaProject)",2,2,2
"org.eclipse.jdt.core.ClasspathContainerInitializer.getDescription(IPath,IJavaProject)",1,1,1
"org.eclipse.jdt.core.ClasspathContainerInitializer.getFailureContainer(IPath,IJavaProject)",1,1,1
"org.eclipse.jdt.core.ClasspathContainerInitializer.getSourceAttachmentStatus(IPath,IJavaProject)",2,1,2
"org.eclipse.jdt.core.ClasspathContainerInitializer.requestClasspathContainerUpdate(IPath,IJavaProject,IClasspathContainer)",1,1,1
"org.eclipse.jdt.core.ClasspathVariableInitializer.ClasspathVariableInitializer()",1,1,1
"org.eclipse.jdt.core.CompletionContext.getEnclosingElement()",1,1,1
