Package,v(G)avg,v(G)tot
"org.eclipse.jdt.core","2,93",1.182
"org.eclipse.jdt.core.compiler","4,60",469
"org.eclipse.jdt.core.compiler.batch","1,00",3
"org.eclipse.jdt.core.dom","2,55",7.881
"org.eclipse.jdt.core.dom.rewrite","3,63",399
"org.eclipse.jdt.core.formatter","4,82",183
"org.eclipse.jdt.core.index","2,70",27
"org.eclipse.jdt.core.jdom","1,40",28
"org.eclipse.jdt.core.search","3,15",485
"org.eclipse.jdt.core.util","1,35",318
"org.eclipse.jdt.internal.codeassist","7,88",4.009
"org.eclipse.jdt.internal.codeassist.complete","4,43",2.468
"org.eclipse.jdt.internal.codeassist.impl","3,56",619
"org.eclipse.jdt.internal.codeassist.select","3,28",515
"org.eclipse.jdt.internal.compiler","3,87",2.380
"org.eclipse.jdt.internal.compiler.ast","6,27",10.052
"org.eclipse.jdt.internal.compiler.batch","7,49",1.401
"org.eclipse.jdt.internal.compiler.classfmt","3,52",1.096
"org.eclipse.jdt.internal.compiler.codegen","3,88",2.197
"org.eclipse.jdt.internal.compiler.env","1,73",95
"org.eclipse.jdt.internal.compiler.flow","5,22",1.180
"org.eclipse.jdt.internal.compiler.impl","9,17",1.650
"org.eclipse.jdt.internal.compiler.lookup","6,05",10.816
"org.eclipse.jdt.internal.compiler.parser","6,77",5.996
"org.eclipse.jdt.internal.compiler.parser.diagnose","8,56",539
"org.eclipse.jdt.internal.compiler.problem","2,74",1.776
"org.eclipse.jdt.internal.compiler.util","4,06",925
"org.eclipse.jdt.internal.core","3,71",9.517
"org.eclipse.jdt.internal.core.builder","5,32",1.394
"org.eclipse.jdt.internal.core.dom","3,22",357
"org.eclipse.jdt.internal.core.dom.rewrite","3,17",1.494
"org.eclipse.jdt.internal.core.dom.rewrite.imports","2,53",372
"org.eclipse.jdt.internal.core.eval","1,83",66
"org.eclipse.jdt.internal.core.hierarchy","5,00",895
"org.eclipse.jdt.internal.core.index","4,68",482
"org.eclipse.jdt.internal.core.jdom","2,13",685
"org.eclipse.jdt.internal.core.search","6,79",971
"org.eclipse.jdt.internal.core.search.indexing","4,84",959
"org.eclipse.jdt.internal.core.search.matching","5,63",3.952
"org.eclipse.jdt.internal.core.search.processing","6,93",104
"org.eclipse.jdt.internal.core.util","3,95",4.960
"org.eclipse.jdt.internal.eval","4,51",1.141
"org.eclipse.jdt.internal.formatter","5,84",1.821
"org.eclipse.jdt.internal.formatter.linewrap","6,19",483
"org.eclipse.jdt.internal.formatter.old","12,00",24

