Chidamber-Kemerer metrics,Qua, 13 dez 2017 16:18:42 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"csidekick.CSideKickOptionPane",1,0,1,0,8,3
"csidekick.Plugin",0,0,0,0,0,0
"csidekick.Project",0,0,3,0,3,3
"csidekick.ProjectProperties",2,0,1,0,8,9
"csidekick.node.BlockNode",1,1,1,0,4,3
"csidekick.node.CUNode",3,1,4,0,15,18
"csidekick.node.ClassNode",3,1,3,0,14,16
"csidekick.node.ConstructorNode",2,1,5,0,18,26
"csidekick.node.IncludeNode",2,1,1,0,5,3
"csidekick.node.Location",2,0,1,0,4,8
"csidekick.node.ModifierSet",2,0,4,0,16,32
"csidekick.node.Results",1,0,1,0,12,12
"csidekick.node.TigerLabeler",6,0,2,0,20,64
"csidekick.node.TigerNode",9,0,10,6,31,39
"csidekick.node.Type",2,1,5,0,17,17
"csidekick.parser.CPPSideKickParser",0,0,1,0,2,2
"csidekick.parser.CSideKickParser",0,0,1,0,2,2
"csidekick.parser.cpp.ClassScope",2,1,1,0,5,9
"csidekick.parser.cpp.Scope",2,0,1,1,6,7
"csidekick.parser.cpp.SymtabManager",2,0,1,0,18,28
"sidekick.java.node.ExtendsNode",0,0,1,0,3,3
"sidekick.java.node.MethodNode",0,0,6,0,13,31
"sidekick.java.node.Parameter",0,0,3,0,7,7
"textfilter.ActionManager",1,0,2,0,9,16
"textfilter.ApplicationChooserDialog",0,0,2,0,4,24
"textfilter.ApplicationRunner",1,0,1,0,2,22
"textfilter.CmdExec",4,0,1,0,12,28
"textfilter.CmdExec.InputTask",1,0,1,0,2,5
"textfilter.CmdExec.OutputTask",1,0,1,0,2,3
"textfilter.CmdExec.Timeout",1,0,1,0,1,1
"textfilter.EditActionComparator",0,0,1,0,1,1
"textfilter.FilterAction",0,0,2,0,7,7
"textfilter.RemoveFilterDialog",2,0,2,0,3,7
"textfilter.RemoveFilterDialog.EAListRenderer",1,0,1,0,1,1
"textfilter.TFMenuProvider",1,0,2,0,2,7
"textfilter.TextFilterPlugin",0,0,2,0,2,2
"xml.CatalogManager",3,0,2,0,15,61
"xml.CatalogManager.Entry",1,0,0,0,3,4
"xml.CatalogManager.VFSUpdateHandler",1,0,1,0,1,4
"xml.EditTagDialog",7,0,2,0,9,27
"xml.EditTagDialog.ActionHandler",1,0,1,0,4,4
"xml.EditTagDialog.Attribute",4,0,0,0,2,1
"xml.EditTagDialog.Attribute.Value",5,0,0,0,2,2
"xml.EditTagDialog.AttributeCompare",2,0,1,0,1,3
"xml.EditTagDialog.AttributeTable",2,0,1,0,2,4
"xml.EditTagDialog.AttributeTableModel",3,0,5,0,9,32
"xml.EditTagDialog.ComboValueRenderer",2,0,1,0,4,4
"xml.Resolver",4,0,2,0,17,56
"xml.Resolver.Entry",1,0,0,0,3,4
"xml.TagHighlight",0,0,2,0,2,5
"xml.XmlActions",5,0,3,0,21,96
"xml.XmlInsert",4,0,1,0,13,38
"xml.XmlInsert.ArrayListModel",1,0,3,0,5,5
"xml.XmlInsert.CaretHandler",1,0,1,0,2,2
"xml.XmlInsert.MouseHandler",3,0,1,0,2,18
"xml.XmlListCellRenderer",6,0,1,0,1,10
"xml.XmlListCellRenderer.CDATA",2,0,0,0,0,0
"xml.XmlListCellRenderer.ClosingTag",2,0,0,0,1,1
"xml.XmlListCellRenderer.Comment",2,0,0,0,0,0
"xml.XmlParsedData",10,0,1,0,13,30
"xml.XmlPlugin",4,0,3,0,5,20
"xml.XmlPlugin.TagMouseHandler",1,0,1,0,1,4
"xml.completion.AntCompleteTask",1,0,1,0,11,41
"xml.completion.CompletionInfo",5,0,3,0,12,25
"xml.completion.CompletionInfoHandler",0,0,2,0,6,17
"xml.completion.ElementDecl",9,0,1,0,11,35
"xml.completion.ElementDecl.AttributeDecl",8,0,0,0,2,4
"xml.completion.ElementDecl.Compare",2,0,1,0,1,1
"xml.completion.EntityDecl",3,0,0,0,3,5
"xml.completion.EntityDecl.Compare",1,0,1,0,1,2
"xml.completion.IDDecl",3,0,0,0,2,2
"xml.completion.IDDecl.Compare",3,0,1,0,1,1
"xml.completion.XmlCompletion",7,0,3,0,9,28
"xml.completion.XsdElementDecl",1,0,1,0,3,6
"xml.options.CatalogsOptionPane",2,0,1,0,4,6
"xml.options.CatalogsOptionPane.ActionHandler",2,0,1,0,2,5
"xml.options.CatalogsOptionPane.ListHandler",1,0,1,0,2,1
"xml.options.GeneralOptionPane",1,0,1,0,9,3
"xml.parser.SAXParserImpl",8,0,2,0,13,20
"xml.parser.SAXParserImpl.Handler",10,0,1,0,38,53
"xml.parser.SAXParserImpl.StoppedException",2,0,0,0,1,1
"xml.parser.TagParser",6,0,2,0,8,70
"xml.parser.TagParser.Tag",4,0,0,0,2,6
"xml.parser.XercesParserImpl",7,0,2,0,12,23
"xml.parser.XercesParserImpl.Handler",10,0,1,0,39,53
"xml.parser.XercesParserImpl.StoppedException",2,0,0,0,1,1
"xml.parser.XmlParser",3,0,5,0,8,36
"xml.parser.XmlTag",1,0,2,0,5,13

