Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"csidekick.CSideKickOptionPane",1,3,3,6,1,0,0,1,25,25,0,0,0,"1,00",0,8,3
"csidekick.Plugin",0,1,0,1,0,0,0,0,3,3,0,0,0,n/a,0,0,0
"csidekick.Project",0,1,3,4,0,0,0,3,13,11,0,0,0,"1,00",1,3,3
"csidekick.ProjectProperties",2,5,8,13,0,0,0,1,50,47,0,0,0,"1,12",4,8,9
"csidekick.node.BlockNode",1,7,30,37,11,1,0,1,12,11,0,24,1,"1,00",1,4,3
"csidekick.node.CUNode",3,10,38,48,10,1,0,4,59,56,0,23,2,"1,64",7,15,18
"csidekick.node.ClassNode",3,8,34,42,10,1,0,3,48,47,0,23,2,"2,29",4,14,16
"csidekick.node.ConstructorNode",2,9,38,47,10,1,0,5,113,80,0,22,3,"2,36",6,18,26
"csidekick.node.IncludeNode",2,7,30,37,10,1,0,1,12,11,0,24,1,"1,00",2,5,3
"csidekick.node.Location",2,2,4,6,0,0,0,1,31,28,0,0,0,"2,00",2,4,8
"csidekick.node.ModifierSet",2,11,16,27,0,0,0,4,148,112,0,0,0,"2,00",16,16,32
"csidekick.node.Results",1,5,12,17,0,0,0,1,69,47,0,0,0,"1,00",6,12,12
"csidekick.node.TigerLabeler",6,19,5,24,10,0,0,2,319,295,0,0,0,"12,80",4,20,64
"csidekick.node.TigerNode",9,31,27,58,10,0,0,10,224,152,6,0,0,"1,39",17,31,39
"csidekick.node.Type",2,12,40,52,10,1,0,5,64,54,0,21,4,"1,31",9,17,17
"csidekick.parser.CPPSideKickParser",0,0,2,2,0,0,0,1,13,11,0,0,0,"1,00",1,2,2
"csidekick.parser.CSideKickParser",0,0,2,2,0,0,0,1,11,11,0,0,0,"1,00",1,2,2
"csidekick.parser.cpp.ClassScope",2,5,9,14,1,1,0,1,40,23,0,3,1,"3,00",1,5,9
"csidekick.parser.cpp.Scope",2,4,6,10,1,0,0,1,57,30,1,0,0,"1,17",2,6,7
"csidekick.parser.cpp.SymtabManager",2,3,11,14,2,0,0,1,122,97,0,0,0,"2,55",8,18,28
"sidekick.java.node.ExtendsNode",0,0,3,3,0,0,0,1,17,13,0,0,0,"1,00",2,3,3
"sidekick.java.node.MethodNode",0,3,13,16,0,0,0,6,121,93,0,0,0,"2,38",7,13,31
"sidekick.java.node.Parameter",0,2,7,9,0,0,0,3,28,25,0,0,0,"1,00",3,7,7
"textfilter.ActionManager",1,3,9,12,1,0,0,2,117,93,0,0,0,"1,78",3,9,16
"textfilter.ApplicationChooserDialog",0,14,4,18,0,0,0,2,257,218,0,0,0,"6,00",0,4,24
"textfilter.ApplicationRunner",1,9,2,11,1,0,0,1,183,129,0,0,0,"11,00",2,2,22
"textfilter.CmdExec",4,14,12,26,4,0,0,1,227,144,0,0,0,"2,33",3,12,28
"textfilter.CmdExec.InputTask",1,3,1,4,4,0,0,1,28,26,0,0,0,"5,00",0,2,5
"textfilter.CmdExec.OutputTask",1,2,1,3,4,0,0,1,22,20,0,0,0,"3,00",0,2,3
"textfilter.CmdExec.Timeout",1,0,1,1,4,0,0,1,11,9,0,0,0,"1,00",0,1,1
"textfilter.EditActionComparator",0,0,1,1,0,0,0,1,13,6,0,0,0,"1,00",1,1,1
"textfilter.FilterAction",0,5,7,12,0,0,0,2,48,33,0,0,0,"1,00",5,7,7
"textfilter.RemoveFilterDialog",2,1,3,4,2,0,0,2,51,42,0,0,0,"2,33",0,3,7
"textfilter.RemoveFilterDialog.EAListRenderer",1,0,1,1,0,0,0,1,11,9,0,0,0,"1,00",1,1,1
"textfilter.TFMenuProvider",1,0,2,2,1,0,0,2,44,29,0,0,0,"3,50",1,2,7
