Method,CALL,CALLED,LOC,NBD,NP,STAT,v(G)
"csidekick.CSideKickOptionPane.CSideKickOptionPane()",1,0,4,0,0,1,1
"csidekick.CSideKickOptionPane._init()",11,0,10,0,0,7,1
"csidekick.CSideKickOptionPane._save()",4,0,5,0,0,2,1
"csidekick.Project.getName()",1,0,3,0,0,1,1
"csidekick.Project.load(String)",0,0,3,0,1,0,1
"csidekick.Project.save()",0,0,3,0,0,0,1
"csidekick.ProjectProperties.ProjectProperties()",4,1,11,1,0,6,3
"csidekick.ProjectProperties.getIncludePath()",1,1,3,0,0,1,1
"csidekick.ProjectProperties.getProperty(String)",1,2,3,0,1,1,1
"csidekick.ProjectProperties.getProperty(String,String)",1,1,5,1,2,3,2
"csidekick.ProjectProperties.isCProject()",3,1,6,0,0,3,1
"csidekick.ProjectProperties.setCProject(boolean)",2,1,4,0,1,1,1
"csidekick.ProjectProperties.setIncludePath(String)",1,1,4,0,1,1,1
"csidekick.ProjectProperties.setProperty(String,String)",1,1,3,0,2,1,1
"csidekick.node.BlockNode.BlockNode()",1,0,3,0,0,1,1
"csidekick.node.BlockNode.BlockNode(String)",1,0,3,0,1,1,1
"csidekick.node.BlockNode.getOrdinal()",0,18,3,0,0,1,1
"csidekick.node.CUNode.CUNode()",1,0,3,0,0,1,1
"csidekick.node.CUNode.addInclude(IncludeNode)",2,0,7,0,1,5,3
"csidekick.node.CUNode.getImport(String)",5,0,12,2,1,8,4
"csidekick.node.CUNode.getIncludeNodes()",1,0,4,0,0,1,1
"csidekick.node.CUNode.getIncludes()",7,0,9,1,0,6,2
"csidekick.node.CUNode.getOrdinal()",0,18,3,0,0,1,1
"csidekick.node.CUNode.getPackageName()",0,0,3,0,0,1,1
"csidekick.node.CUNode.getResults()",0,0,3,0,0,1,1
"csidekick.node.CUNode.setPackageName(String)",0,0,3,0,1,1,1
"csidekick.node.CUNode.setResults(Results)",0,0,3,0,1,1,1
"csidekick.node.CUNode.toString()",2,7,3,0,0,1,2
"csidekick.node.ClassNode.ClassNode(String,int)",1,0,3,0,2,1,1
"csidekick.node.ClassNode.getOrdinal()",0,18,3,0,0,1,1
"csidekick.node.ClassNode.getTypeParams()",0,3,3,0,0,1,2
"csidekick.node.ClassNode.isInnerClass()",2,1,6,0,0,4,3
"csidekick.node.ClassNode.setExtendsList(List)",5,0,8,1,1,6,3
"csidekick.node.ClassNode.setTypeParams(String)",0,0,3,0,1,1,1
"csidekick.node.ClassNode.toString()",18,7,18,2,0,15,6
"csidekick.node.ConstructorNode.ConstructorNode()",0,0,1,0,0,0,1
"csidekick.node.ConstructorNode.ConstructorNode(String,int,String,List)",1,0,5,0,4,3,1
"csidekick.node.ConstructorNode.canAdd(TigerNode)",1,1,6,0,1,1,1
"csidekick.node.ConstructorNode.getFormalParams()",0,0,11,0,0,1,1
"csidekick.node.ConstructorNode.getFormalParams(boolean,boolean,boolean,boolean)",26,2,54,2,4,28,16
"csidekick.node.ConstructorNode.getOrdinal()",0,18,3,0,0,1,1
"csidekick.node.ConstructorNode.getTypeParams()",0,0,3,0,0,1,2
"csidekick.node.ConstructorNode.setFormalParams(List)",0,0,3,0,1,1,1
"csidekick.node.ConstructorNode.setThrows(List)",10,0,12,1,1,9,3
"csidekick.node.ConstructorNode.setTypeParams(String)",0,0,3,0,1,1,1
"csidekick.node.ConstructorNode.toString()",7,7,7,0,0,5,1
"csidekick.node.IncludeNode.IncludeNode(String)",1,0,3,0,1,1,1
"csidekick.node.IncludeNode.equals(Object)",2,0,3,0,1,1,1
"csidekick.node.IncludeNode.getOrdinal()",0,18,3,0,0,1,1
"csidekick.node.Location.Location()",0,1,1,0,0,0,1
"csidekick.node.Location.Location(int,int)",0,0,4,0,2,2,1
"csidekick.node.Location.compareTo(Object)",0,0,16,1,1,10,5
"csidekick.node.Location.toString()",0,0,3,0,0,1,1
"csidekick.node.ModifierSet.isAbstract(int)",0,2,3,0,1,1,1
"csidekick.node.ModifierSet.isFinal(int)",0,1,3,0,1,1,1
"csidekick.node.ModifierSet.isNative(int)",0,1,3,0,1,1,1
