Chidamber-Kemerer metrics,Qua, 13 dez 2017 16:32:03 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"net.n3.nanoxml.CDATAReader",4,0,1,0,6,17
"net.n3.nanoxml.ContentReader",6,0,1,0,8,16
"net.n3.nanoxml.IXMLBuilder",n/a,n/a,n/a,n/a,8,n/a
"net.n3.nanoxml.IXMLElement",n/a,n/a,n/a,n/a,51,n/a
"net.n3.nanoxml.IXMLEntityResolver",n/a,n/a,n/a,n/a,4,n/a
"net.n3.nanoxml.IXMLParser",n/a,n/a,n/a,n/a,9,n/a
"net.n3.nanoxml.IXMLReader",n/a,n/a,n/a,n/a,13,n/a
"net.n3.nanoxml.IXMLValidator",n/a,n/a,n/a,n/a,8,n/a
"net.n3.nanoxml.NonValidator",7,0,3,0,35,63
"net.n3.nanoxml.PIReader",3,0,1,0,6,13
"net.n3.nanoxml.StdXMLBuilder",5,0,3,0,27,22
"net.n3.nanoxml.StdXMLParser",11,0,1,0,63,67
"net.n3.nanoxml.StdXMLReader",6,0,2,0,21,52
"net.n3.nanoxml.StdXMLReader.StackedReader",1,0,0,0,0,0
"net.n3.nanoxml.ValidatorPlugin",5,0,9,0,36,20
"net.n3.nanoxml.XMLAttribute",1,0,5,0,7,7
"net.n3.nanoxml.XMLElement",8,0,9,0,82,120
"net.n3.nanoxml.XMLEntityResolver",5,0,1,0,11,11
"net.n3.nanoxml.XMLException",7,0,4,2,14,21
"net.n3.nanoxml.XMLParseException",6,1,0,0,4,2
"net.n3.nanoxml.XMLParserFactory",8,0,1,0,7,3
"net.n3.nanoxml.XMLUtil",8,0,15,0,37,61
"net.n3.nanoxml.XMLValidationException",3,1,3,0,7,8
"net.n3.nanoxml.XMLWriter",5,0,1,0,17,39
"org.jhotdraw.app.AbstractApplication",21,1,11,4,79,95
"org.jhotdraw.app.AbstractApplication.OpenRecentMenuHandler",8,0,1,0,10,15
"org.jhotdraw.app.AbstractApplicationModel",14,1,14,2,25,26
"org.jhotdraw.app.AbstractView",11,0,14,6,29,35
"org.jhotdraw.app.AppletApplication",3,2,9,0,23,13
"org.jhotdraw.app.Application",n/a,n/a,n/a,n/a,43,n/a
"org.jhotdraw.app.ApplicationModel",n/a,n/a,n/a,n/a,18,n/a
"org.jhotdraw.app.CrossPlatformApplication",2,3,2,0,4,3
