Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"net.n3.nanoxml.CDATAReader",4,3,4,7,2,0,0,1,128,86,0,0,0,"4,25",1,6,17
"net.n3.nanoxml.ContentReader",6,4,4,8,7,0,0,1,149,102,0,0,0,"4,00",1,8,16
"net.n3.nanoxml.IXMLBuilder",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a
"net.n3.nanoxml.IXMLElement",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,51,n/a
"net.n3.nanoxml.IXMLEntityResolver",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"net.n3.nanoxml.IXMLParser",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a
"net.n3.nanoxml.IXMLReader",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,n/a
"net.n3.nanoxml.IXMLValidator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8,n/a
"net.n3.nanoxml.NonValidator",7,3,23,26,10,0,1,3,499,367,0,0,0,"4,20",1,35,63
"net.n3.nanoxml.PIReader",3,2,4,6,2,0,0,1,99,60,0,0,0,"3,25",1,6,13
"net.n3.nanoxml.StdXMLBuilder",5,3,19,22,7,0,1,3,255,134,0,0,0,"2,00",1,27,22
"net.n3.nanoxml.StdXMLParser",11,4,28,32,14,0,1,1,560,422,0,0,0,"3,53",5,63,67
"net.n3.nanoxml.StdXMLReader",6,2,34,36,2,0,1,2,464,307,0,0,0,"2,48",12,21,52
"net.n3.nanoxml.StdXMLReader.StackedReader",1,4,0,4,0,0,0,0,13,7,0,0,0,n/a,0,0,0
"net.n3.nanoxml.ValidatorPlugin",5,1,28,29,7,0,1,9,344,147,0,0,0,"1,00",2,36,20
"net.n3.nanoxml.XMLAttribute",1,5,7,12,0,0,0,5,96,44,0,0,0,"1,00",5,7,7
"net.n3.nanoxml.XMLElement",8,11,112,123,3,0,1,9,947,513,0,0,0,"1,97",44,82,120
"net.n3.nanoxml.XMLEntityResolver",5,1,11,12,4,0,1,1,121,71,0,0,0,"1,57",3,11,11
"net.n3.nanoxml.XMLException",7,5,14,19,0,0,0,4,210,110,2,0,0,"1,50",5,14,21
"net.n3.nanoxml.XMLParseException",6,5,15,20,1,1,0,0,35,15,0,8,0,"1,00",0,4,2
"net.n3.nanoxml.XMLParserFactory",8,2,3,5,18,0,0,1,105,40,0,0,0,"1,00",3,7,3
"net.n3.nanoxml.XMLUtil",8,0,27,27,5,0,0,15,632,374,0,0,0,"2,26",8,37,61
"net.n3.nanoxml.XMLValidationException",3,17,18,35,1,1,0,3,120,50,0,7,1,"1,60",3,7,8
"net.n3.nanoxml.XMLWriter",5,1,8,9,1,0,0,1,223,165,0,0,0,"4,88",0,17,39
"org.jhotdraw.app.AbstractApplication",21,17,99,116,29,1,1,11,585,442,4,9,0,"1,79",21,79,95
"org.jhotdraw.app.AbstractApplication.OpenRecentMenuHandler",8,3,5,8,29,0,1,1,72,64,0,0,0,"3,75",0,10,15
"org.jhotdraw.app.AbstractApplicationModel",14,14,52,66,9,1,1,14,175,131,2,9,0,"1,08",13,25,26
"org.jhotdraw.app.AbstractView",11,10,61,71,8,0,2,14,227,149,6,0,0,"1,30",9,29,35
"org.jhotdraw.app.AppletApplication",3,17,112,129,30,2,1,9,76,66,0,52,2,"1,00",9,23,13
"org.jhotdraw.app.Application",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,43,n/a
"org.jhotdraw.app.ApplicationModel",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18,n/a
"org.jhotdraw.app.CrossPlatformApplication",2,16,122,138,38,3,1,2,33,27,0,71,2,"1,50",0,4,3
"org.jhotdraw.app.DefaultApplicationModel",27,10,58,68,60,2,1,4,84,44,6,31,1,"1,17",4,20,7
"org.jhotdraw.app.DefaultMenuBuilder",30,1,47,48,57,0,1,7,298,189,4,0,0,"2,04",2,26,51
"org.jhotdraw.app.Disposable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.jhotdraw.app.EmptyApplicationModel",5,9,55,64,11,2,1,3,27,16,0,32,0,"1,00",3,3,3
"org.jhotdraw.app.EmptyMenuBuilder",4,0,44,44,6,0,1,22,75,68,0,0,0,"1,00",0,22,22
"org.jhotdraw.app.MDIApplication",27,20,118,138,49,2,1,4,499,389,0,51,3,"2,79",11,90,67
"org.jhotdraw.app.MDIApplication.DropFileTransferHandler",3,1,2,3,49,0,0,1,36,35,0,0,0,"3,50",2,3,7
"org.jhotdraw.app.MDIApplication.WindowMenuHandler",6,2,3,5,49,0,0,1,39,38,0,0,0,"2,67",0,6,8
"org.jhotdraw.app.MenuBuilder",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22,n/a
"org.jhotdraw.app.OSXApplication",35,19,125,144,52,2,1,4,560,425,0,46,8,"2,93",10,102,82
"org.jhotdraw.app.OSXApplication.FrameHandler",5,2,9,11,52,0,1,2,50,49,0,0,0,"1,38",0,18,11
"org.jhotdraw.app.OSXApplication.QuitHandler",0,0,1,1,0,0,0,1,10,5,0,0,0,"1,00",1,1,1
"org.jhotdraw.app.OSXApplication.WindowMenuHandler",10,2,5,7,52,0,1,1,55,53,0,0,0,"2,50",0,10,10
"org.jhotdraw.app.PrintableView",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.jhotdraw.app.SDIApplication",22,16,120,136,37,2,1,8,455,348,1,49,5,"2,68",11,83,67
"org.jhotdraw.app.View",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,33,n/a
"org.jhotdraw.app.action.AbstractApplicationAction",14,3,10,13,7,0,1,1,105,56,10,0,0,"1,30",3,13,13
"org.jhotdraw.app.action.AbstractSaveUnsavedChangesAction",15,9,20,29,18,1,0,1,150,132,4,13,0,"2,64",1,25,29
"org.jhotdraw.app.action.AbstractViewAction",24,10,14,24,7,0,0,1,165,101,16,0,0,"1,56",5,21,25
"org.jhotdraw.app.action.ActionUtil",20,4,3,7,0,0,0,2,63,14,0,0,0,"1,00",0,3,3
"org.jhotdraw.app.action.app.AboutAction",7,4,12,16,10,1,1,1,46,28,0,7,0,"2,00",0,10,4
"org.jhotdraw.app.action.app.AbstractPreferencesAction",5,4,11,15,10,1,1,0,23,9,0,7,0,"1,00",0,4,1
"org.jhotdraw.app.action.app.ExitAction",12,6,20,26,16,1,1,1,290,271,0,7,0,"2,67",1,31,56
"org.jhotdraw.app.action.app.OpenApplicationAction",3,4,12,16,8,1,1,1,25,11,0,7,0,"1,00",0,3,2
"org.jhotdraw.app.action.app.OpenApplicationFileAction",10,6,13,19,16,1,1,1,144,101,0,7,0,"2,71",0,22,19
"org.jhotdraw.app.action.app.PrintApplicationFileAction",7,11,22,33,18,2,0,1,72,51,0,17,1,"1,40",0,8,7
"org.jhotdraw.app.action.app.ReOpenApplicationAction",4,4,12,16,8,1,1,1,38,23,0,7,0,"2,50",0,7,5
"org.jhotdraw.app.action.edit.AbstractFindAction",6,9,15,24,10,1,0,0,24,9,1,13,0,"1,00",0,4,1
"org.jhotdraw.app.action.edit.AbstractSelectionAction",8,3,2,5,2,0,0,1,65,29,6,0,0,"2,67",0,4,8
"org.jhotdraw.app.action.edit.ClearSelectionAction",7,4,6,10,5,1,0,1,74,37,0,0,1,"2,25",0,8,9
"org.jhotdraw.app.action.edit.CopyAction",13,4,5,9,12,1,0,1,51,27,0,1,0,"1,67",0,7,5
"org.jhotdraw.app.action.edit.CutAction",13,4,5,9,12,1,0,1,50,27,0,1,0,"1,67",0,7,5
"org.jhotdraw.app.action.edit.DeleteAction",8,4,5,9,4,0,0,1,119,68,1,0,0,"2,50",0,9,15
