Class,OCavg,WMC
"net.n3.nanoxml.CDATAReader","4,25",17
"net.n3.nanoxml.ContentReader","4,00",16
"net.n3.nanoxml.NonValidator","4,20",63
"net.n3.nanoxml.PIReader","3,25",13
"net.n3.nanoxml.StdXMLBuilder","2,00",22
"net.n3.nanoxml.StdXMLParser","3,53",67
"net.n3.nanoxml.StdXMLReader","2,48",52
"net.n3.nanoxml.StdXMLReader.StackedReader",n/a,0
"net.n3.nanoxml.ValidatorPlugin","1,00",20
"net.n3.nanoxml.XMLAttribute","1,00",7
"net.n3.nanoxml.XMLElement","1,97",120
"net.n3.nanoxml.XMLEntityResolver","1,57",11
"net.n3.nanoxml.XMLException","1,50",21
"net.n3.nanoxml.XMLParseException","1,00",2
"net.n3.nanoxml.XMLParserFactory","1,00",3
"net.n3.nanoxml.XMLUtil","2,26",61
"net.n3.nanoxml.XMLValidationException","1,60",8
"net.n3.nanoxml.XMLWriter","4,88",39
"org.jhotdraw.app.AbstractApplication","1,79",95
"org.jhotdraw.app.AbstractApplication.OpenRecentMenuHandler","3,75",15
"org.jhotdraw.app.AbstractApplicationModel","1,08",26
"org.jhotdraw.app.AbstractView","1,30",35
"org.jhotdraw.app.AppletApplication","1,00",13
"org.jhotdraw.app.CrossPlatformApplication","1,50",3
"org.jhotdraw.app.DefaultApplicationModel","1,17",7
"org.jhotdraw.app.DefaultMenuBuilder","2,04",51
"org.jhotdraw.app.EmptyApplicationModel","1,00",3
"org.jhotdraw.app.EmptyMenuBuilder","1,00",22
"org.jhotdraw.app.MDIApplication","2,79",67
"org.jhotdraw.app.MDIApplication.DropFileTransferHandler","3,50",7
"org.jhotdraw.app.MDIApplication.WindowMenuHandler","2,67",8
"org.jhotdraw.app.OSXApplication","2,93",82
"org.jhotdraw.app.OSXApplication.FrameHandler","1,38",11
"org.jhotdraw.app.OSXApplication.QuitHandler","1,00",1
"org.jhotdraw.app.OSXApplication.WindowMenuHandler","2,50",10
"org.jhotdraw.app.SDIApplication","2,68",67
"org.jhotdraw.app.action.AbstractApplicationAction","1,30",13
"org.jhotdraw.app.action.AbstractSaveUnsavedChangesAction","2,64",29
"org.jhotdraw.app.action.AbstractViewAction","1,56",25
"org.jhotdraw.app.action.ActionUtil","1,00",3
"org.jhotdraw.app.action.app.AboutAction","2,00",4
"org.jhotdraw.app.action.app.AbstractPreferencesAction","1,00",1
"org.jhotdraw.app.action.app.ExitAction","2,67",56
"org.jhotdraw.app.action.app.OpenApplicationAction","1,00",2
"org.jhotdraw.app.action.app.OpenApplicationFileAction","2,71",19
"org.jhotdraw.app.action.app.PrintApplicationFileAction","1,40",7
"org.jhotdraw.app.action.app.ReOpenApplicationAction","2,50",5
"org.jhotdraw.app.action.edit.AbstractFindAction","1,00",1
"org.jhotdraw.app.action.edit.AbstractSelectionAction","2,67",8
"org.jhotdraw.app.action.edit.ClearSelectionAction","2,25",9
"org.jhotdraw.app.action.edit.CopyAction","1,67",5
"org.jhotdraw.app.action.edit.CutAction","1,67",5
"org.jhotdraw.app.action.edit.DeleteAction","2,50",15
"org.jhotdraw.app.action.edit.DuplicateAction","2,00",6
"org.jhotdraw.app.action.edit.PasteAction","2,00",8
"org.jhotdraw.app.action.edit.RedoAction","2,00",16
"org.jhotdraw.app.action.edit.RemoveAction","1,00",3
"org.jhotdraw.app.action.edit.SelectAllAction","2,25",9
"org.jhotdraw.app.action.edit.UndoAction","2,00",16
"org.jhotdraw.app.action.file.ClearFileAction","1,00",4
"org.jhotdraw.app.action.file.ClearRecentFilesMenuAction","1,29",9
"org.jhotdraw.app.action.file.CloseFileAction","1,50",3
"org.jhotdraw.app.action.file.ExportFileAction","2,00",20
"org.jhotdraw.app.action.file.LoadDirectoryAction","1,00",2
"org.jhotdraw.app.action.file.LoadFileAction","2,00",18
"org.jhotdraw.app.action.file.LoadRecentFileAction","2,43",17
"org.jhotdraw.app.action.file.NewFileAction","1,50",6
"org.jhotdraw.app.action.file.NewWindowAction","1,00",1
"org.jhotdraw.app.action.file.OpenDirectoryAction","1,00",2
"org.jhotdraw.app.action.file.OpenFileAction","3,00",33
"org.jhotdraw.app.action.file.OpenRecentFileAction","2,71",19
"org.jhotdraw.app.action.file.PrintFileAction","2,00",18
"org.jhotdraw.app.action.file.SaveFileAction","2,50",25
"org.jhotdraw.app.action.file.SaveFileAsAction","1,00",1
"org.jhotdraw.app.action.view.ToggleViewPropertyAction","1,88",15
"org.jhotdraw.app.action.view.ViewPropertyAction","1,43",10
"org.jhotdraw.app.action.window.ArrangeWindowsAction","2,50",5
"org.jhotdraw.app.action.window.FocusWindowAction","2,22",20
"org.jhotdraw.app.action.window.MaximizeWindowAction","1,33",4
"org.jhotdraw.app.action.window.MinimizeWindowAction","1,33",4
"org.jhotdraw.app.action.window.TogglePaletteAction","2,00",10
"org.jhotdraw.app.action.window.ToggleToolBarAction","2,20",11
"org.jhotdraw.app.action.window.ToggleVisibleAction","1,00",4
"org.jhotdraw.app.osx.OSXAdapter","1,53",26
"org.jhotdraw.app.osx.OSXPaletteHandler","1,93",27
"org.jhotdraw.beans.AbstractBean","1,89",17
"org.jhotdraw.beans.BeansBinding","1,70",17
"org.jhotdraw.beans.BeansBinding.Handler","7,00",7
"org.jhotdraw.beans.WeakPropertyChangeListener","1,20",6
"org.jhotdraw.color.AbstractColorSlidersModel","2,00",6
"org.jhotdraw.color.AbstractColorWheelImageProducer","1,10",11
"org.jhotdraw.color.AbstractHarmonicRule","1,00",4
"org.jhotdraw.color.AbstractNamedColorSpace","1,00",7
"org.jhotdraw.color.CIELABColorSpace","2,42",29
"org.jhotdraw.color.CIELABColorSpace.OutsideGamutHandling",n/a,0
"org.jhotdraw.color.CIELCHabColorSpace","2,58",31
"org.jhotdraw.color.CIEXYChromaticityDiagramImageProducer","2,40",24
"org.jhotdraw.color.CIEXYChromaticityDiagramImageProducer.OutsideGamutHandling",n/a,0
"org.jhotdraw.color.CMYKGenericColorSpace","1,50",3
"org.jhotdraw.color.CMYKNominalColorSpace","1,80",18
"org.jhotdraw.color.ColorListCellRenderer","1,50",3
"org.jhotdraw.color.ColorListCellRenderer.ColorIcon","1,25",5
"org.jhotdraw.color.ColorSliderUI","2,28",57
"org.jhotdraw.color.ColorSliderUI.CSUIPropertyChangeHandler","18,00",18
"org.jhotdraw.color.ColorSliderUI.TrackListener","6,00",6
"org.jhotdraw.color.ColorSquareImageProducer","2,50",20
"org.jhotdraw.color.ColorTrackImageProducer","1,83",22
"org.jhotdraw.color.ColorUtil","1,86",39
"org.jhotdraw.color.ColorWheelChooser","1,22",11
"org.jhotdraw.color.ComplexColorWheelImageProducer","3,22",29
"org.jhotdraw.color.CompositeColor","4,33",26
"org.jhotdraw.color.DefaultColorSliderModel","1,55",31
"org.jhotdraw.color.DefaultHarmonicColorModel","1,46",38
"org.jhotdraw.color.DiskColorWheelImageProducer","3,44",31
"org.jhotdraw.color.HSBColorSpace","1,50",15
"org.jhotdraw.color.HSLColorSpace","3,45",38
"org.jhotdraw.color.HSLHarmonicColorWheelImageProducer","2,33",21
"org.jhotdraw.color.HSLPhysiologicColorSpace","5,00",50
"org.jhotdraw.color.HSVColorSpace","2,70",27
"org.jhotdraw.color.HSVHarmonicColorWheelImageProducer","2,62",21
"org.jhotdraw.color.HSVPhysiologicColorSpace","3,90",39
"org.jhotdraw.color.JColorWheel","1,37",37
"org.jhotdraw.color.JColorWheel.ModelHandler","1,00",1
"org.jhotdraw.color.JColorWheel.MouseHandler","1,00",4
"org.jhotdraw.color.JColorWheel.Type",n/a,0
"org.jhotdraw.color.JHarmonicColorWheel","2,38",31
"org.jhotdraw.color.JHarmonicColorWheel.ModelHandler","1,25",5
"org.jhotdraw.color.JHarmonicColorWheel.MouseHandler","1,88",15
"org.jhotdraw.color.PolarColorWheelImageProducer","2,17",13
"org.jhotdraw.color.QuantizingColorWheelImageProducer","2,14",15
"org.jhotdraw.color.SimpleHarmonicRule","1,43",10
"org.jhotdraw.draw.AbstractAttributedCompositeFigure","2,04",51
"org.jhotdraw.draw.AbstractAttributedDecoratedFigure","1,64",23
"org.jhotdraw.draw.AbstractAttributedFigure","2,00",46
"org.jhotdraw.draw.AbstractCompositeFigure","2,07",124
"org.jhotdraw.draw.AbstractCompositeFigure.EventHandler","1,14",8
"org.jhotdraw.draw.AbstractConstrainer","1,60",8
"org.jhotdraw.draw.AbstractDrawing","1,59",27
"org.jhotdraw.draw.AbstractFigure","1,76",104
"org.jhotdraw.draw.AttributeKey","1,48",34
"org.jhotdraw.draw.AttributeKeys","5,00",45
"org.jhotdraw.draw.AttributeKeys.Alignment",n/a,0
"org.jhotdraw.draw.AttributeKeys.Orientation",n/a,0
"org.jhotdraw.draw.AttributeKeys.StrokePlacement",n/a,0
"org.jhotdraw.draw.AttributeKeys.StrokeType",n/a,0
"org.jhotdraw.draw.AttributeKeys.Underfill",n/a,0
"org.jhotdraw.draw.AttributeKeys.WindingRule",n/a,0
"org.jhotdraw.draw.BezierFigure","1,90",110
"org.jhotdraw.draw.DefaultDrawing","2,62",55
"org.jhotdraw.draw.DefaultDrawingEditor","1,63",44
"org.jhotdraw.draw.DefaultDrawingEditor.ToolHandler","1,67",5
"org.jhotdraw.draw.DefaultDrawingView","2,45",218
"org.jhotdraw.draw.DefaultDrawingView.EventHandler","1,57",22
"org.jhotdraw.draw.DefaultDrawingViewBeanInfo","2,27",25
"org.jhotdraw.draw.DefaultDrawingViewTransferHandler","3,19",99
"org.jhotdraw.draw.DefaultDrawingViewTransferHandler.DragHandler","1,43",10
"org.jhotdraw.draw.DefaultDrawingViewTransferHandler.SwingDragGestureRecognizer","1,00",4
"org.jhotdraw.draw.DiamondFigure","1,57",22
"org.jhotdraw.draw.DrawingEditorProxy","1,16",29
"org.jhotdraw.draw.DrawingEditorProxy.Forwarder","1,00",1
"org.jhotdraw.draw.EllipseFigure","1,14",16
"org.jhotdraw.draw.FigureLayerComparator","1,00",2
"org.jhotdraw.draw.GraphicalCompositeFigure","2,31",67
"org.jhotdraw.draw.GraphicalCompositeFigure.PresentationFigureHandler","1,40",7
"org.jhotdraw.draw.GridConstrainer","3,00",72
"org.jhotdraw.draw.GroupFigure","1,67",5
"org.jhotdraw.draw.ImageFigure","1,44",39
"org.jhotdraw.draw.LabelFigure","1,54",20
"org.jhotdraw.draw.LabeledLineConnectionFigure","2,03",75
"org.jhotdraw.draw.LabeledLineConnectionFigure.ChildHandler","1,40",7
"org.jhotdraw.draw.LineConnectionFigure","2,24",85
"org.jhotdraw.draw.LineConnectionFigure.ConnectionHandler","1,67",5
"org.jhotdraw.draw.LineFigure","2,00",10
"org.jhotdraw.draw.ListFigure","1,00",2
"org.jhotdraw.draw.QuadTreeCompositeFigure","2,56",64
"org.jhotdraw.draw.QuadTreeCompositeFigure.FigureHandler","1,25",5
"org.jhotdraw.draw.QuadTreeDrawing","2,63",71
"org.jhotdraw.draw.QuadTreeDrawing.QuadTreeEventHandler","2,00",2
"org.jhotdraw.draw.RectangleFigure","1,00",12
"org.jhotdraw.draw.RotationDirection",n/a,0
"org.jhotdraw.draw.RoundRectangleFigure","1,09",24
"org.jhotdraw.draw.TextAreaFigure","1,97",71
"org.jhotdraw.draw.TextFigure","1,28",46
"org.jhotdraw.draw.TranslationDirection","9,00",18
"org.jhotdraw.draw.TriangleFigure","2,00",38
"org.jhotdraw.draw.action.AbstractDrawingEditorAction","1,64",18
"org.jhotdraw.draw.action.AbstractDrawingEditorAction.EventHandler","2,00",2
"org.jhotdraw.draw.action.AbstractDrawingViewAction","2,00",28
"org.jhotdraw.draw.action.AbstractDrawingViewAction.EventHandler","3,00",6
"org.jhotdraw.draw.action.AbstractSelectedAction","2,08",25
"org.jhotdraw.draw.action.AbstractSelectedAction.EventHandler","2,33",7
"org.jhotdraw.draw.action.AlignAction","1,75",7
