Method,ev(G),iv(G),v(G)
"net.n3.nanoxml.CDATAReader.CDATAReader(IXMLReader)",1,1,1
"net.n3.nanoxml.CDATAReader.close()",5,5,6
"net.n3.nanoxml.CDATAReader.finalize()",1,1,1
"net.n3.nanoxml.CDATAReader.read(char[],int,int)",6,5,9
"net.n3.nanoxml.ContentReader.ContentReader(IXMLReader,IXMLEntityResolver,String)",1,1,1
"net.n3.nanoxml.ContentReader.close()",4,8,8
"net.n3.nanoxml.ContentReader.finalize()",1,1,1
"net.n3.nanoxml.ContentReader.read(char[],int,int)",6,8,10
"net.n3.nanoxml.NonValidator.NonValidator()",1,1,1
"net.n3.nanoxml.NonValidator.PCDataAdded(String,int)",1,1,1
"net.n3.nanoxml.NonValidator.attributeAdded(String,String,String,int)",1,2,2
"net.n3.nanoxml.NonValidator.elementAttributesProcessed(String,Properties,String,int)",1,2,2
"net.n3.nanoxml.NonValidator.elementEnded(String,String,int)",1,1,1
"net.n3.nanoxml.NonValidator.elementStarted(String,String,int)",1,2,2
"net.n3.nanoxml.NonValidator.finalize()",1,1,1
"net.n3.nanoxml.NonValidator.getParameterEntityResolver()",1,1,1
"net.n3.nanoxml.NonValidator.parseDTD(String,IXMLReader,IXMLEntityResolver,boolean)",7,8,11
"net.n3.nanoxml.NonValidator.processAttList(IXMLReader,IXMLEntityResolver)",5,15,15
"net.n3.nanoxml.NonValidator.processConditionalSection(IXMLReader,IXMLEntityResolver)",7,6,9
"net.n3.nanoxml.NonValidator.processElement(IXMLReader,IXMLEntityResolver)",3,3,7
"net.n3.nanoxml.NonValidator.processEntity(IXMLReader,IXMLEntityResolver)",5,7,10
"net.n3.nanoxml.NonValidator.processIgnoreSection(IXMLReader,IXMLEntityResolver)",3,3,3
"net.n3.nanoxml.NonValidator.setParameterEntityResolver(IXMLEntityResolver)",1,1,1
"net.n3.nanoxml.PIReader.PIReader(IXMLReader)",1,1,1
"net.n3.nanoxml.PIReader.close()",1,3,4
"net.n3.nanoxml.PIReader.finalize()",1,1,1
"net.n3.nanoxml.PIReader.read(char[],int,int)",5,3,7
"net.n3.nanoxml.StdXMLBuilder.StdXMLBuilder()",1,1,1
"net.n3.nanoxml.StdXMLBuilder.StdXMLBuilder(IXMLElement)",1,1,1
"net.n3.nanoxml.StdXMLBuilder.addAttribute(String,String,String,String,String)",2,3,4
"net.n3.nanoxml.StdXMLBuilder.addPCData(Reader,String,int)",3,4,6
"net.n3.nanoxml.StdXMLBuilder.elementAttributesProcessed(String,String,String)",1,1,1
"net.n3.nanoxml.StdXMLBuilder.endElement(String,String,String)",1,3,3
"net.n3.nanoxml.StdXMLBuilder.finalize()",1,1,1
"net.n3.nanoxml.StdXMLBuilder.getResult()",1,1,1
"net.n3.nanoxml.StdXMLBuilder.newProcessingInstruction(String,Reader)",1,1,1
"net.n3.nanoxml.StdXMLBuilder.startBuilding(String,int)",1,1,1
"net.n3.nanoxml.StdXMLBuilder.startElement(String,String,String,String,int)",1,2,3
"net.n3.nanoxml.StdXMLParser.StdXMLParser()",1,1,1
"net.n3.nanoxml.StdXMLParser.finalize()",1,1,1
"net.n3.nanoxml.StdXMLParser.getBuilder()",1,1,1
"net.n3.nanoxml.StdXMLParser.getReader()",1,1,1
"net.n3.nanoxml.StdXMLParser.getResolver()",1,1,1
"net.n3.nanoxml.StdXMLParser.getValidator()",1,1,1
"net.n3.nanoxml.StdXMLParser.parse()",1,2,3
"net.n3.nanoxml.StdXMLParser.processAttribute(ArrayList<String>,ArrayList<String>,ArrayList<String>)",1,2,2
"net.n3.nanoxml.StdXMLParser.processCDATA()",1,2,2
"net.n3.nanoxml.StdXMLParser.processDocType()",2,8,8
"net.n3.nanoxml.StdXMLParser.processElement(String,Properties)",11,24,27
"net.n3.nanoxml.StdXMLParser.processPI()",1,2,2
"net.n3.nanoxml.StdXMLParser.processSpecialTag(boolean)",2,4,6
"net.n3.nanoxml.StdXMLParser.scanData()",4,5,7
"net.n3.nanoxml.StdXMLParser.scanSomeTag(boolean,String,Properties)",2,3,5
"net.n3.nanoxml.StdXMLParser.setBuilder(IXMLBuilder)",1,1,1
"net.n3.nanoxml.StdXMLParser.setReader(IXMLReader)",1,1,1
"net.n3.nanoxml.StdXMLParser.setResolver(IXMLEntityResolver)",1,1,1
"net.n3.nanoxml.StdXMLParser.setValidator(IXMLValidator)",1,1,1
"net.n3.nanoxml.StdXMLReader.StdXMLReader(InputStream)",1,1,2
"net.n3.nanoxml.StdXMLReader.StdXMLReader(Reader)",1,1,2
"net.n3.nanoxml.StdXMLReader.StdXMLReader(String,String)",1,1,3
"net.n3.nanoxml.StdXMLReader.atEOF()",3,2,3
"net.n3.nanoxml.StdXMLReader.atEOFOfCurrentStream()",2,2,2
"net.n3.nanoxml.StdXMLReader.fileReader(String)",1,1,2
"net.n3.nanoxml.StdXMLReader.finalize()",1,1,1
"net.n3.nanoxml.StdXMLReader.getEncoding(String)",7,11,18
"net.n3.nanoxml.StdXMLReader.getLineNr()",3,3,3
"net.n3.nanoxml.StdXMLReader.getPublicID()",1,1,1
"net.n3.nanoxml.StdXMLReader.getStreamLevel()",1,1,1
"net.n3.nanoxml.StdXMLReader.getSystemID()",1,1,1
"net.n3.nanoxml.StdXMLReader.openStream(String,String)",2,4,5
"net.n3.nanoxml.StdXMLReader.read()",3,2,3
"net.n3.nanoxml.StdXMLReader.setPublicID(String)",1,1,1
"net.n3.nanoxml.StdXMLReader.setSystemID(String)",1,1,1
"net.n3.nanoxml.StdXMLReader.startNewStream(Reader)",1,1,1
"net.n3.nanoxml.StdXMLReader.startNewStream(Reader,boolean)",1,1,2
"net.n3.nanoxml.StdXMLReader.stream2reader(InputStream,StringBuffer)",3,5,11
"net.n3.nanoxml.StdXMLReader.stringReader(String)",1,1,1
"net.n3.nanoxml.StdXMLReader.unread(char)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.PCDataAdded(String,int)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.ValidatorPlugin()",1,1,1
"net.n3.nanoxml.ValidatorPlugin.attributeAdded(String,String,String,int)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.elementAttributesProcessed(String,Properties,String,int)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.elementEnded(String,String,int)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.elementStarted(String,String,int)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.finalize()",1,1,1
"net.n3.nanoxml.ValidatorPlugin.getDelegate()",1,1,1
"net.n3.nanoxml.ValidatorPlugin.getParameterEntityResolver()",1,1,1
"net.n3.nanoxml.ValidatorPlugin.invalidAttributeValue(String,int,String,String,String)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.missingAttribute(String,int,String,String)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.missingElement(String,int,String,String)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.missingPCData(String,int,String)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.parseDTD(String,IXMLReader,IXMLEntityResolver,boolean)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.setDelegate(IXMLValidator)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.setParameterEntityResolver(IXMLEntityResolver)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.unexpectedAttribute(String,int,String,String)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.unexpectedElement(String,int,String,String)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.unexpectedPCData(String,int,String)",1,1,1
"net.n3.nanoxml.ValidatorPlugin.validationError(String,int,String,String,String,String)",1,1,1
"net.n3.nanoxml.XMLAttribute.XMLAttribute(String,String,String,String,String)",1,1,1
"net.n3.nanoxml.XMLAttribute.getFullName()",1,1,1
"net.n3.nanoxml.XMLAttribute.getName()",1,1,1
"net.n3.nanoxml.XMLAttribute.getNamespace()",1,1,1
"net.n3.nanoxml.XMLAttribute.getType()",1,1,1
"net.n3.nanoxml.XMLAttribute.getValue()",1,1,1
"net.n3.nanoxml.XMLAttribute.setValue(String)",1,1,1
"net.n3.nanoxml.XMLElement.XMLElement()",1,1,1
"net.n3.nanoxml.XMLElement.XMLElement(String)",1,1,1
"net.n3.nanoxml.XMLElement.XMLElement(String,String)",1,1,1
"net.n3.nanoxml.XMLElement.XMLElement(String,String,String,int)",1,3,3
"net.n3.nanoxml.XMLElement.XMLElement(String,String,int)",1,1,1
"net.n3.nanoxml.XMLElement.addChild(IXMLElement)",4,4,5
"net.n3.nanoxml.XMLElement.createElement(String)",1,1,1
