Package,C(rec),LOC(rec),METH(rec)
"",1.097,127.505,7.805
"net",24,6.704,325
"net.n3",24,6.704,325
"net.n3.nanoxml",24,6.704,325
"org",1.073,120.801,7.480
"org.jhotdraw",1.073,120.801,7.480
"org.jhotdraw.app",131,11.089,688
"org.jhotdraw.app.action",90,4.729,263
"org.jhotdraw.app.action.app",16,773,40
"org.jhotdraw.app.action.edit",16,988,50
"org.jhotdraw.app.action.file",33,1.695,86
"org.jhotdraw.app.action.view",4,235,15
"org.jhotdraw.app.action.window",11,477,31
"org.jhotdraw.app.osx",7,463,31
"org.jhotdraw.beans",4,422,25
"org.jhotdraw.color",48,5.670,413
"org.jhotdraw.draw",321,36.729,2.769
"org.jhotdraw.draw.action",83,5.620,366
"org.jhotdraw.draw.connector",10,844,73
"org.jhotdraw.draw.decoration",6,524,44
"org.jhotdraw.draw.event",27,1.845,146
"org.jhotdraw.draw.gui",6,891,64
"org.jhotdraw.draw.handle",50,5.194,406
"org.jhotdraw.draw.io",8,1.297,91
"org.jhotdraw.draw.layouter",5,389,11
"org.jhotdraw.draw.liner",4,627,24
"org.jhotdraw.draw.locator",7,755,59
"org.jhotdraw.draw.print",2,145,7
"org.jhotdraw.draw.text",4,309,21
"org.jhotdraw.draw.tool",30,4.040,284
"org.jhotdraw.geom",17,4.357,230
"org.jhotdraw.gui",173,17.106,1.018
"org.jhotdraw.gui.datatransfer",9,487,32
"org.jhotdraw.gui.event",7,459,29
"org.jhotdraw.gui.filechooser",1,100,6
"org.jhotdraw.gui.fontchooser",7,1.386,92
"org.jhotdraw.gui.plaf",79,7.896,423
"org.jhotdraw.gui.plaf.palette",78,7.863,423
"org.jhotdraw.gui.plaf.palette.colorchooser",27,2.460,115
"org.jhotdraw.io",5,2.545,82
"org.jhotdraw.net",2,571,44
"org.jhotdraw.samples",333,36.293,1.797
"org.jhotdraw.samples.color",27,1.668,49
"org.jhotdraw.samples.draw",15,1.572,76
"org.jhotdraw.samples.font",2,84,4
"org.jhotdraw.samples.mini",55,2.650,117
"org.jhotdraw.samples.net",15,1.200,70
"org.jhotdraw.samples.net.figures",1,153,12
"org.jhotdraw.samples.odg",48,6.281,345
"org.jhotdraw.samples.odg.action",3,234,12
"org.jhotdraw.samples.odg.figures",19,1.529,133
"org.jhotdraw.samples.odg.geom",3,348,34
"org.jhotdraw.samples.odg.io",5,2.390,72
"org.jhotdraw.samples.pert",18,1.487,95
"org.jhotdraw.samples.pert.figures",5,444,38
"org.jhotdraw.samples.svg",119,18.757,910
"org.jhotdraw.samples.svg.action",9,414,27
"org.jhotdraw.samples.svg.figures",27,3.473,262
"org.jhotdraw.samples.svg.gui",42,6.111,273
"org.jhotdraw.samples.svg.io",9,5.239,179
"org.jhotdraw.samples.teddy",34,2.594,131
"org.jhotdraw.samples.teddy.action",5,211,15
"org.jhotdraw.samples.teddy.io",1,131,6
"org.jhotdraw.samples.teddy.regex",2,295,12
"org.jhotdraw.samples.teddy.text",3,158,7
"org.jhotdraw.text",5,1.161,63
"org.jhotdraw.undo",7,650,50
"org.jhotdraw.util",12,1.828,136
"org.jhotdraw.util.prefs",7,579,63
"org.jhotdraw.xml",15,2.334,165
"org.jhotdraw.xml.css",4,382,20

