Package,PDcy,PDpt
"net.n3.nanoxml",0,4
"org.jhotdraw",0,0
"org.jhotdraw.app",11,20
"org.jhotdraw.app.action",7,14
"org.jhotdraw.app.action.app",7,1
"org.jhotdraw.app.action.edit",6,11
"org.jhotdraw.app.action.file",8,7
"org.jhotdraw.app.action.view",2,3
"org.jhotdraw.app.action.window",5,1
"org.jhotdraw.app.osx",1,1
"org.jhotdraw.beans",0,9
"org.jhotdraw.color",4,5
"org.jhotdraw.draw",18,27
"org.jhotdraw.draw.action",16,10
"org.jhotdraw.draw.connector",4,11
"org.jhotdraw.draw.decoration",3,6
"org.jhotdraw.draw.event",9,9
"org.jhotdraw.draw.gui",2,3
"org.jhotdraw.draw.handle",9,9
"org.jhotdraw.draw.io",6,9
"org.jhotdraw.draw.layouter",3,3
"org.jhotdraw.draw.liner",5,4
"org.jhotdraw.draw.locator",3,10
"org.jhotdraw.draw.print",1,5
"org.jhotdraw.draw.text",2,1
"org.jhotdraw.draw.tool",10,12
"org.jhotdraw.geom",0,19
"org.jhotdraw.gui",7,23
"org.jhotdraw.gui.datatransfer",1,4
"org.jhotdraw.gui.event",1,4
"org.jhotdraw.gui.filechooser",0,9
"org.jhotdraw.gui.fontchooser",1,2
"org.jhotdraw.gui.plaf",0,2
"org.jhotdraw.gui.plaf.palette",6,5
"org.jhotdraw.gui.plaf.palette.colorchooser",3,1
"org.jhotdraw.io",0,4
"org.jhotdraw.net",0,7
"org.jhotdraw.samples.color",2,0
"org.jhotdraw.samples.draw",16,0
"org.jhotdraw.samples.font",1,0
"org.jhotdraw.samples.mini",15,0
"org.jhotdraw.samples.net",20,0
"org.jhotdraw.samples.net.figures",7,1
"org.jhotdraw.samples.odg",22,3
"org.jhotdraw.samples.odg.action",7,1
"org.jhotdraw.samples.odg.figures",7,3
"org.jhotdraw.samples.odg.geom",0,1
"org.jhotdraw.samples.odg.io",9,1
"org.jhotdraw.samples.pert",19,0
"org.jhotdraw.samples.pert.figures",10,1
"org.jhotdraw.samples.svg",19,6
"org.jhotdraw.samples.svg.action",9,3
"org.jhotdraw.samples.svg.figures",9,5
"org.jhotdraw.samples.svg.gui",16,1
"org.jhotdraw.samples.svg.io",12,3
"org.jhotdraw.samples.teddy",12,1
"org.jhotdraw.samples.teddy.action",5,1
"org.jhotdraw.samples.teddy.io",0,1
"org.jhotdraw.samples.teddy.regex",0,1
"org.jhotdraw.samples.teddy.text",0,1
"org.jhotdraw.text",3,5
"org.jhotdraw.undo",1,12
"org.jhotdraw.util",0,38
"org.jhotdraw.util.prefs",0,9
"org.jhotdraw.xml",2,12
"org.jhotdraw.xml.css",2,1

