Chidamber-Kemerer metrics,Qua, 13 dez 2017 16:39:13 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"net.sourceforge.jvlt.JVLT",41,0,2,0,10,8
"net.sourceforge.jvlt.actions.AddDictObjectAction",7,3,0,0,2,1
"net.sourceforge.jvlt.actions.DictAction",8,1,0,6,0,0
"net.sourceforge.jvlt.actions.DictObjectAction",11,2,1,4,2,2
"net.sourceforge.jvlt.actions.EditDictObjectAction",10,3,1,1,10,7
"net.sourceforge.jvlt.actions.EditEntriesAction",8,2,1,0,7,7
"net.sourceforge.jvlt.actions.EditEntryAction",12,4,1,0,14,14
"net.sourceforge.jvlt.actions.ImportAction",5,2,4,0,5,5
"net.sourceforge.jvlt.actions.LanguageChangeAction",3,2,2,0,3,3
"net.sourceforge.jvlt.actions.MoveSenseAction",4,3,2,0,4,3
"net.sourceforge.jvlt.actions.QueryAction",3,1,0,1,0,0
"net.sourceforge.jvlt.actions.RemoveEntriesAction",11,2,1,0,21,21
"net.sourceforge.jvlt.actions.RemoveExamplesAction",4,2,1,0,2,2
"net.sourceforge.jvlt.actions.RemoveSenseAction",4,3,1,0,3,2
"net.sourceforge.jvlt.actions.StatsUpdateAction",6,2,1,0,20,18
"net.sourceforge.jvlt.actions.UndoableAction",14,0,1,2,4,4
"net.sourceforge.jvlt.core.ArraySchemaAttribute",10,2,0,0,3,2
"net.sourceforge.jvlt.core.AttributeChoice",8,0,2,0,8,11
"net.sourceforge.jvlt.core.ChoiceSchemaAttribute",11,1,1,1,11,9
"net.sourceforge.jvlt.core.Dict",49,0,2,0,30,41
"net.sourceforge.jvlt.core.DictException",15,0,0,0,1,1
"net.sourceforge.jvlt.core.Entry",77,0,2,0,65,64
"net.sourceforge.jvlt.core.Entry.Comparator",4,0,1,0,3,10
"net.sourceforge.jvlt.core.Entry.Stats",7,0,1,0,2,5
"net.sourceforge.jvlt.core.Entry.Stats.UserFlag",8,n/a,2,n/a,6,15
"net.sourceforge.jvlt.core.EntryAttributeSchema",10,0,2,0,8,9
"net.sourceforge.jvlt.core.EntryClass",18,0,3,0,18,23
"net.sourceforge.jvlt.core.Example",37,0,1,0,22,28
"net.sourceforge.jvlt.core.Example.Comparator",3,0,1,0,3,2
"net.sourceforge.jvlt.core.Example.TextFragment",16,0,2,0,9,9
"net.sourceforge.jvlt.core.Reinitializable",n/a,n/a,n/a,n/a,2,n/a
"net.sourceforge.jvlt.core.SchemaAttribute",20,0,2,1,10,15
"net.sourceforge.jvlt.core.Sense",38,0,1,0,21,30
"net.sourceforge.jvlt.core.Sense.Comparator",5,0,1,0,2,3
"net.sourceforge.jvlt.core.StringPair",9,0,2,0,3,3
"net.sourceforge.jvlt.event.ComponentReplacementListener",n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.jvlt.event.ComponentReplacementListener.ComponentReplacementEvent",7,0,2,0,3,3
"net.sourceforge.jvlt.event.CopyPastePopupListener",5,1,1,0,5,6
"net.sourceforge.jvlt.event.DialogListener",n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.jvlt.event.DialogListener.DialogEvent",8,0,1,0,2,2
"net.sourceforge.jvlt.event.DictUpdateListener",n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.jvlt.event.DictUpdateListener.DictUpdateEvent",18,0,1,4,2,2
"net.sourceforge.jvlt.event.DictUpdateListener.EntryDictUpdateEvent",10,1,1,0,3,2
"net.sourceforge.jvlt.event.DictUpdateListener.ExampleDictUpdateEvent",7,1,1,0,3,2
"net.sourceforge.jvlt.event.DictUpdateListener.LanguageDictUpdateEvent",8,1,1,0,3,2
"net.sourceforge.jvlt.event.DictUpdateListener.NewDictDictUpdateEvent",12,1,1,0,3,2
"net.sourceforge.jvlt.event.FilterListener",n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.jvlt.event.FilterListener.FilterEvent",5,0,1,0,3,3
"net.sourceforge.jvlt.event.ModelResetEventListener",n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.jvlt.event.ModelResetEventListener.ModelResetEvent",4,0,2,0,4,4
"net.sourceforge.jvlt.event.PopupListener",1,0,1,1,5,6
"net.sourceforge.jvlt.event.SelectionListener",n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.jvlt.event.SelectionListener.SelectionEvent",7,0,2,0,4,4
"net.sourceforge.jvlt.event.SelectionNotifier",15,0,1,0,4,5
"net.sourceforge.jvlt.event.StateListener",n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.jvlt.event.StateListener.StateEvent",9,0,1,0,2,2
"net.sourceforge.jvlt.event.UndoableActionListener",n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.jvlt.event.UndoableActionListener.UndoableActionEvent",5,0,2,0,3,3
"net.sourceforge.jvlt.io.AbstractHandler",7,0,2,2,10,8
"net.sourceforge.jvlt.io.CSVDictReader",23,1,1,0,57,78
"net.sourceforge.jvlt.io.DictCSVWriter",12,1,1,0,25,37
"net.sourceforge.jvlt.io.DictCSVWriter.DictInfo",2,0,0,0,0,0
"net.sourceforge.jvlt.io.DictHandler",20,1,1,0,45,68
"net.sourceforge.jvlt.io.DictHtmlWriter",5,1,1,0,5,5
"net.sourceforge.jvlt.io.DictImporter",12,0,1,0,19,21
"net.sourceforge.jvlt.io.DictImporter.ImportInfo",4,0,0,0,0,0
"net.sourceforge.jvlt.io.DictReader",8,0,2,2,5,3
"net.sourceforge.jvlt.io.DictReaderException",12,1,1,0,7,5
"net.sourceforge.jvlt.io.DictWriter",5,0,1,3,2,1
"net.sourceforge.jvlt.io.DictXMLWriter",13,1,1,0,23,19
"net.sourceforge.jvlt.io.EntryAttributeSchemaReader",10,0,1,0,18,19
"net.sourceforge.jvlt.io.SAXDictReader",10,1,1,0,17,15
"net.sourceforge.jvlt.io.SAXDictReader.NonCloseableZipInputStream",1,0,2,0,3,3
"net.sourceforge.jvlt.io.StatsHandler",6,1,1,0,16,16
"net.sourceforge.jvlt.io.VersionException",5,0,1,0,2,2
"net.sourceforge.jvlt.io.XMLFormatter",12,0,5,0,45,27
"net.sourceforge.jvlt.io.XMLWriter",1,0,1,0,4,16
"net.sourceforge.jvlt.metadata.ArrayAttribute",8,1,2,2,8,9
"net.sourceforge.jvlt.metadata.ArrayChoiceAttribute",4,2,1,0,5,4
"net.sourceforge.jvlt.metadata.Attribute",n/a,n/a,n/a,n/a,5,n/a
"net.sourceforge.jvlt.metadata.AttributeComparator",4,0,1,0,3,4
"net.sourceforge.jvlt.metadata.BooleanAttribute",3,1,1,0,4,3
"net.sourceforge.jvlt.metadata.CalendarAttribute",3,1,1,0,4,3
"net.sourceforge.jvlt.metadata.ChoiceAttribute",n/a,n/a,n/a,n/a,3,n/a
"net.sourceforge.jvlt.metadata.CustomArrayAttribute",6,3,1,0,5,5
"net.sourceforge.jvlt.metadata.CustomAttribute",10,1,1,1,8,5
"net.sourceforge.jvlt.metadata.CustomChoiceAttribute",7,2,2,1,8,5
"net.sourceforge.jvlt.metadata.CustomFieldsAttribute",7,2,2,0,8,6
"net.sourceforge.jvlt.metadata.DefaultAttribute",23,0,2,16,12,14
"net.sourceforge.jvlt.metadata.DefaultChoiceAttribute",5,1,1,1,5,4
"net.sourceforge.jvlt.metadata.DefaultQuizzableAttribute",3,0,1,0,12,9
"net.sourceforge.jvlt.metadata.EntryMetaData",19,1,1,1,21,9
"net.sourceforge.jvlt.metadata.EntryMetaData.EntryClassAttribute",5,1,1,0,6,3
"net.sourceforge.jvlt.metadata.EntryMetaData.SensesAttribute",10,2,1,1,10,3
"net.sourceforge.jvlt.metadata.EntryMetaData.UserFlagsAttribute",10,1,1,0,8,5
"net.sourceforge.jvlt.metadata.ExampleMetaData",5,1,0,0,5,1
"net.sourceforge.jvlt.metadata.ExampleMetaData.TextAttribute",3,1,1,0,7,3
"net.sourceforge.jvlt.metadata.ExampleMetaData.TranslationAttribute",3,1,1,0,7,3
"net.sourceforge.jvlt.metadata.MetaData",34,0,1,5,14,23
"net.sourceforge.jvlt.metadata.NumberAttribute",3,1,1,0,4,3
"net.sourceforge.jvlt.metadata.QuizEntryMetaData",8,2,1,0,7,6
"net.sourceforge.jvlt.metadata.QuizzableAttribute",n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.jvlt.metadata.QuizzableSensesAttribute",5,3,1,0,3,5
"net.sourceforge.jvlt.metadata.SenseMetaData",5,1,0,0,4,1
"net.sourceforge.jvlt.model.AbstractModel",17,0,1,2,21,23
"net.sourceforge.jvlt.model.DictModel",52,1,1,0,72,57
"net.sourceforge.jvlt.model.JVLTModel",62,0,1,0,45,40
"net.sourceforge.jvlt.model.ModelException",3,0,0,0,1,1
"net.sourceforge.jvlt.model.QueryModel",14,1,2,0,14,14
"net.sourceforge.jvlt.multimedia.AudioFile",5,1,1,0,5,4
"net.sourceforge.jvlt.multimedia.CustomMultimediaFile",7,1,2,0,10,12
"net.sourceforge.jvlt.multimedia.ImageFile",7,1,1,0,8,6
"net.sourceforge.jvlt.multimedia.MultimediaFile",13,0,2,3,12,12
"net.sourceforge.jvlt.multimedia.MultimediaUtils",14,0,1,0,15,13
"net.sourceforge.jvlt.os.MacOSController",3,0,1,0,2,2
"net.sourceforge.jvlt.os.MacOSController.MacAdapter",2,0,1,0,7,4
"net.sourceforge.jvlt.os.OSController",n/a,n/a,n/a,n/a,1,n/a
"net.sourceforge.jvlt.query.BitmaskQueryItem",2,1,1,0,5,6
"net.sourceforge.jvlt.query.BooleanQueryItem",2,1,1,0,5,7
"net.sourceforge.jvlt.query.CalendarQueryItem",2,1,1,0,6,10
"net.sourceforge.jvlt.query.ChoiceObjectArrayQueryItem",5,2,1,0,5,13
"net.sourceforge.jvlt.query.ChoiceQueryItem",4,1,1,0,4,14
"net.sourceforge.jvlt.query.ContainerQueryItem",2,1,1,0,6,7
"net.sourceforge.jvlt.query.EntryClassQueryItem",3,1,1,0,6,7
"net.sourceforge.jvlt.query.EntryFilter",11,0,1,3,8,8
"net.sourceforge.jvlt.query.NumberQueryItem",2,1,1,0,5,6
"net.sourceforge.jvlt.query.ObjectArrayQueryItem",7,1,1,1,6,14
"net.sourceforge.jvlt.query.ObjectQuery",21,0,2,0,21,21
"net.sourceforge.jvlt.query.ObjectQueryItem",20,0,5,11,12,15
"net.sourceforge.jvlt.query.SenseArrayQueryItem",6,1,1,0,8,15
"net.sourceforge.jvlt.query.SimpleEntryFilter",10,1,1,0,18,4
"net.sourceforge.jvlt.query.StringEntryFilter",n/a,n/a,n/a,n/a,2,n/a
"net.sourceforge.jvlt.query.StringPairQueryItem",4,1,1,0,9,17
"net.sourceforge.jvlt.query.StringQueryItem",7,1,1,0,7,10
"net.sourceforge.jvlt.quiz.QueryResult",4,0,3,0,6,6
"net.sourceforge.jvlt.quiz.QuizDict",13,0,1,0,33,46
"net.sourceforge.jvlt.quiz.QuizInfo",10,0,5,0,11,10
"net.sourceforge.jvlt.tools.CSVImportTool",9,0,1,0,20,7
"net.sourceforge.jvlt.tools.JVLTUtils",13,0,1,0,31,35
"net.sourceforge.jvlt.tools.Line",2,0,1,0,2,3
"net.sourceforge.jvlt.tools.PropertiesFile",2,0,1,0,6,8
"net.sourceforge.jvlt.tools.ResourceBundleUtils",4,0,1,0,11,19
"net.sourceforge.jvlt.ui.AboutDialog",7,0,1,0,9,2
"net.sourceforge.jvlt.ui.AboutDialog.ActionEventHandler",1,0,1,0,1,2
"net.sourceforge.jvlt.ui.DictUpdater",3,0,1,0,5,4
"net.sourceforge.jvlt.ui.JVLTUI",76,0,3,0,160,142
"net.sourceforge.jvlt.ui.JVLTUI.AppendingErrorStream",1,0,1,0,2,2
"net.sourceforge.jvlt.ui.JVLTUI.ChangeHandler",3,0,1,0,4,2
"net.sourceforge.jvlt.ui.JVLTUI.EntryFilterListener",4,0,1,0,3,1
"net.sourceforge.jvlt.ui.JVLTUI.ExampleFilterListener",4,0,1,0,3,1
"net.sourceforge.jvlt.ui.OpenErrorDialog",4,1,3,0,13,6
"net.sourceforge.jvlt.ui.components.AttributeChoiceInputComponent",7,2,1,0,11,8
"net.sourceforge.jvlt.ui.components.AttributeChoiceListPanel",5,2,1,0,6,3
"net.sourceforge.jvlt.ui.components.AttributeSelectionPanel",5,1,0,0,5,1
"net.sourceforge.jvlt.ui.components.ButtonPanel",9,0,1,0,8,13
"net.sourceforge.jvlt.ui.components.ChoiceInputComponent",11,1,1,3,19,18
"net.sourceforge.jvlt.ui.components.ChoiceListPanel",10,1,1,1,19,8
"net.sourceforge.jvlt.ui.components.CustomTabbedPane",7,0,1,0,3,2
"net.sourceforge.jvlt.ui.components.CustomTextField",18,0,2,0,9,8
"net.sourceforge.jvlt.ui.components.CustomTextField.DocumentEventHandler",1,0,3,0,4,3
"net.sourceforge.jvlt.ui.components.DateChooser",4,1,2,0,11,12
"net.sourceforge.jvlt.ui.components.DateChooserButton",5,0,1,0,10,6
"net.sourceforge.jvlt.ui.components.FontChooserComboBox",7,0,2,0,9,6
"net.sourceforge.jvlt.ui.components.FontChooserComboBox.ActionHandler",2,0,1,0,5,4
"net.sourceforge.jvlt.ui.components.FontChooserComboBox.Model",3,0,1,0,6,11
"net.sourceforge.jvlt.ui.components.IndentedComboBox",5,1,1,0,7,4
"net.sourceforge.jvlt.ui.components.IndentedComboBox.IndentedComboBoxModel",3,0,1,0,18,16
"net.sourceforge.jvlt.ui.components.IndentedComboBox.IndentedComboBoxRenderer",2,0,1,0,3,2
"net.sourceforge.jvlt.ui.components.InputComponent",n/a,n/a,n/a,n/a,4,n/a
