Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"net.sourceforge.jvlt.JVLT",0,2,2,39,177
"net.sourceforge.jvlt.actions.AddDictObjectAction",0,2,4,5,88
"net.sourceforge.jvlt.actions.DictAction",0,1,1,7,99
"net.sourceforge.jvlt.actions.DictObjectAction",0,2,3,9,95
"net.sourceforge.jvlt.actions.EditDictObjectAction",0,3,5,7,91
"net.sourceforge.jvlt.actions.EditEntriesAction",0,5,22,3,86
"net.sourceforge.jvlt.actions.EditEntryAction",0,8,21,4,87
"net.sourceforge.jvlt.actions.ImportAction",0,3,18,2,86
"net.sourceforge.jvlt.actions.LanguageChangeAction",0,1,2,2,86
"net.sourceforge.jvlt.actions.MoveSenseAction",0,2,17,2,88
"net.sourceforge.jvlt.actions.QueryAction",0,1,1,2,87
"net.sourceforge.jvlt.actions.RemoveEntriesAction",0,9,28,2,86
"net.sourceforge.jvlt.actions.RemoveExamplesAction",0,2,18,2,86
"net.sourceforge.jvlt.actions.RemoveSenseAction",0,2,17,2,88
"net.sourceforge.jvlt.actions.StatsUpdateAction",0,4,19,2,86
"net.sourceforge.jvlt.actions.UndoableAction",0,0,0,14,106
"net.sourceforge.jvlt.core.ArraySchemaAttribute",0,1,5,9,119
"net.sourceforge.jvlt.core.AttributeChoice",0,0,0,8,125
"net.sourceforge.jvlt.core.ChoiceSchemaAttribute",0,3,4,8,121
"net.sourceforge.jvlt.core.Dict",0,8,23,41,104
"net.sourceforge.jvlt.core.DictException",0,0,0,15,164
"net.sourceforge.jvlt.core.Entry",2,10,13,68,162
"net.sourceforge.jvlt.core.Entry.Comparator",0,2,14,2,105
"net.sourceforge.jvlt.core.Entry.Stats",0,1,1,6,163
"net.sourceforge.jvlt.core.Entry.Stats.UserFlag",0,1,1,7,96
"net.sourceforge.jvlt.core.EntryAttributeSchema",0,1,2,9,115
"net.sourceforge.jvlt.core.EntryClass",0,1,1,17,175
"net.sourceforge.jvlt.core.Example",0,3,15,34,118
"net.sourceforge.jvlt.core.Example.Comparator",0,1,16,2,105
"net.sourceforge.jvlt.core.Example.TextFragment",0,1,14,15,123
"net.sourceforge.jvlt.core.SchemaAttribute",0,0,0,20,185
"net.sourceforge.jvlt.core.Sense",2,4,13,35,162
"net.sourceforge.jvlt.core.Sense.Comparator",2,1,13,4,162
"net.sourceforge.jvlt.core.StringPair",0,0,0,9,166
"net.sourceforge.jvlt.event.ComponentReplacementListener.ComponentReplacementEvent",0,0,0,7,95
"net.sourceforge.jvlt.event.CopyPastePopupListener",0,3,4,2,110
"net.sourceforge.jvlt.event.DialogListener.DialogEvent",0,0,0,8,91
"net.sourceforge.jvlt.event.DictUpdateListener.DictUpdateEvent",0,0,0,18,92
"net.sourceforge.jvlt.event.DictUpdateListener.EntryDictUpdateEvent",0,2,15,8,87
"net.sourceforge.jvlt.event.DictUpdateListener.ExampleDictUpdateEvent",0,2,17,5,86
"net.sourceforge.jvlt.event.DictUpdateListener.LanguageDictUpdateEvent",0,1,1,7,86
"net.sourceforge.jvlt.event.DictUpdateListener.NewDictDictUpdateEvent",0,2,25,10,86
"net.sourceforge.jvlt.event.FilterListener.FilterEvent",0,0,0,5,69
"net.sourceforge.jvlt.event.ModelResetEventListener.ModelResetEvent",2,1,30,4,89
"net.sourceforge.jvlt.event.PopupListener",0,0,0,1,111
"net.sourceforge.jvlt.event.SelectionListener.SelectionEvent",0,0,0,7,72
"net.sourceforge.jvlt.event.SelectionNotifier",0,2,2,13,70
"net.sourceforge.jvlt.event.StateListener.StateEvent",0,0,0,9,80
"net.sourceforge.jvlt.event.UndoableActionListener.UndoableActionEvent",0,1,1,4,91
"net.sourceforge.jvlt.io.AbstractHandler",0,5,28,2,88
"net.sourceforge.jvlt.io.CSVDictReader",0,21,31,2,74
"net.sourceforge.jvlt.io.DictCSVWriter",0,11,28,1,68
"net.sourceforge.jvlt.io.DictCSVWriter.DictInfo",0,1,1,1,69
"net.sourceforge.jvlt.io.DictHandler",0,19,30,1,87
"net.sourceforge.jvlt.io.DictHtmlWriter",0,4,32,1,68
"net.sourceforge.jvlt.io.DictImporter",0,11,26,1,74
"net.sourceforge.jvlt.io.DictImporter.ImportInfo",0,2,16,2,75
"net.sourceforge.jvlt.io.DictReader",0,3,26,5,88
"net.sourceforge.jvlt.io.DictReaderException",0,1,1,11,91
"net.sourceforge.jvlt.io.DictWriter",0,1,24,4,88
"net.sourceforge.jvlt.io.DictXMLWriter",0,9,30,4,86
"net.sourceforge.jvlt.io.EntryAttributeSchemaReader",0,8,8,2,110
"net.sourceforge.jvlt.io.SAXDictReader",1,8,34,3,86
"net.sourceforge.jvlt.io.SAXDictReader.NonCloseableZipInputStream",0,0,0,1,87
"net.sourceforge.jvlt.io.StatsHandler",1,6,34,1,86
"net.sourceforge.jvlt.io.VersionException",0,0,0,5,88
"net.sourceforge.jvlt.io.XMLFormatter",0,11,21,1,87
"net.sourceforge.jvlt.io.XMLWriter",0,0,0,1,88
"net.sourceforge.jvlt.metadata.ArrayAttribute",0,3,4,5,105
"net.sourceforge.jvlt.metadata.ArrayChoiceAttribute",0,2,6,2,89
"net.sourceforge.jvlt.metadata.AttributeComparator",0,2,20,2,77
"net.sourceforge.jvlt.metadata.BooleanAttribute",0,1,3,2,104
"net.sourceforge.jvlt.metadata.CalendarAttribute",0,1,3,2,104
"net.sourceforge.jvlt.metadata.CustomArrayAttribute",0,4,22,2,89
"net.sourceforge.jvlt.metadata.CustomAttribute",0,4,17,6,98
"net.sourceforge.jvlt.metadata.CustomChoiceAttribute",0,4,20,3,90
"net.sourceforge.jvlt.metadata.CustomFieldsAttribute",0,5,7,2,95
"net.sourceforge.jvlt.metadata.DefaultAttribute",0,2,2,21,124
"net.sourceforge.jvlt.metadata.DefaultChoiceAttribute",0,2,4,3,96
"net.sourceforge.jvlt.metadata.DefaultQuizzableAttribute",0,2,2,1,87
"net.sourceforge.jvlt.metadata.EntryMetaData",0,17,41,2,88
"net.sourceforge.jvlt.metadata.EntryMetaData.EntryClassAttribute",0,3,6,2,89
"net.sourceforge.jvlt.metadata.EntryMetaData.SensesAttribute",0,6,27,4,93
"net.sourceforge.jvlt.metadata.EntryMetaData.UserFlagsAttribute",0,7,19,3,89
"net.sourceforge.jvlt.metadata.ExampleMetaData",0,4,27,1,86
"net.sourceforge.jvlt.metadata.ExampleMetaData.TextAttribute",0,2,4,1,87
"net.sourceforge.jvlt.metadata.ExampleMetaData.TranslationAttribute",0,2,4,1,87
"net.sourceforge.jvlt.metadata.MetaData",0,6,8,28,103
"net.sourceforge.jvlt.metadata.NumberAttribute",0,1,3,2,104
"net.sourceforge.jvlt.metadata.QuizEntryMetaData",0,6,45,2,86
"net.sourceforge.jvlt.metadata.QuizzableSensesAttribute",0,4,29,1,87
"net.sourceforge.jvlt.metadata.SenseMetaData",0,3,25,2,94
"net.sourceforge.jvlt.model.AbstractModel",2,7,30,11,89
"net.sourceforge.jvlt.model.DictModel",0,31,77,21,85
"net.sourceforge.jvlt.model.JVLTModel",0,21,100,41,84
"net.sourceforge.jvlt.model.ModelException",0,0,0,3,90
"net.sourceforge.jvlt.model.QueryModel",0,8,67,6,85
"net.sourceforge.jvlt.multimedia.AudioFile",61,1,377,4,67
"net.sourceforge.jvlt.multimedia.CustomMultimediaFile",61,2,377,5,67
"net.sourceforge.jvlt.multimedia.ImageFile",61,3,377,4,67
"net.sourceforge.jvlt.multimedia.MultimediaFile",61,4,377,9,67
"net.sourceforge.jvlt.multimedia.MultimediaUtils",61,8,377,6,67
"net.sourceforge.jvlt.os.MacOSController",1,3,379,1,1
"net.sourceforge.jvlt.os.MacOSController.MacAdapter",1,2,379,1,1
"net.sourceforge.jvlt.query.BitmaskQueryItem",0,1,2,1,69
"net.sourceforge.jvlt.query.BooleanQueryItem",0,1,2,1,69
"net.sourceforge.jvlt.query.CalendarQueryItem",0,1,2,1,69
"net.sourceforge.jvlt.query.ChoiceObjectArrayQueryItem",0,3,3,2,69
"net.sourceforge.jvlt.query.ChoiceQueryItem",0,2,3,2,69
"net.sourceforge.jvlt.query.ContainerQueryItem",0,1,2,1,68
"net.sourceforge.jvlt.query.EntryClassQueryItem",0,2,4,1,69
"net.sourceforge.jvlt.query.EntryFilter",61,2,377,9,67
"net.sourceforge.jvlt.query.NumberQueryItem",0,1,2,1,69
"net.sourceforge.jvlt.query.ObjectArrayQueryItem",0,2,2,5,70
"net.sourceforge.jvlt.query.ObjectQuery",61,6,377,16,67
"net.sourceforge.jvlt.query.ObjectQueryItem",0,1,1,19,81
"net.sourceforge.jvlt.query.SenseArrayQueryItem",0,2,15,4,69
"net.sourceforge.jvlt.query.SimpleEntryFilter",61,9,377,1,67
"net.sourceforge.jvlt.query.StringPairQueryItem",0,2,3,2,68
"net.sourceforge.jvlt.query.StringQueryItem",0,1,2,6,70
"net.sourceforge.jvlt.quiz.QueryResult",0,1,14,3,68
"net.sourceforge.jvlt.quiz.QuizDict",61,11,377,2,67
"net.sourceforge.jvlt.quiz.QuizInfo",0,1,1,9,70
"net.sourceforge.jvlt.tools.CSVImportTool",0,9,378,0,0
"net.sourceforge.jvlt.tools.JVLTUtils",0,13,378,0,0
