Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"net.sourceforge.jvlt.core.Reinitializable",0,0,0,7,167
"net.sourceforge.jvlt.event.ComponentReplacementListener",0,1,1,5,94
"net.sourceforge.jvlt.event.DialogListener",0,1,1,7,90
"net.sourceforge.jvlt.event.DictUpdateListener",0,1,1,8,87
"net.sourceforge.jvlt.event.FilterListener",0,1,1,4,68
"net.sourceforge.jvlt.event.ModelResetEventListener",2,1,30,3,89
"net.sourceforge.jvlt.event.SelectionListener",0,1,1,4,71
"net.sourceforge.jvlt.event.StateListener",0,1,1,4,79
"net.sourceforge.jvlt.event.UndoableActionListener",0,1,2,3,90
"net.sourceforge.jvlt.metadata.Attribute",0,0,0,16,129
"net.sourceforge.jvlt.metadata.ChoiceAttribute",0,1,1,9,100
"net.sourceforge.jvlt.metadata.QuizzableAttribute",0,1,1,4,89
"net.sourceforge.jvlt.os.OSController",61,1,377,2,67
"net.sourceforge.jvlt.query.StringEntryFilter",0,0,0,4,68
"net.sourceforge.jvlt.ui.components.InputComponent",0,0,0,10,96
"net.sourceforge.jvlt.utils.Config",0,0,0,22,184

