Package,C(rec),LOC(rec),METH(rec)
"",424,25.144,2.052
"net",424,25.144,2.052
"net.sourceforge",424,25.144,2.052
"net.sourceforge.jvlt",424,25.144,2.052
"net.sourceforge.jvlt.actions",15,438,53
"net.sourceforge.jvlt.core",19,1.250,187
"net.sourceforge.jvlt.event",23,295,50
"net.sourceforge.jvlt.io",22,1.941,92
"net.sourceforge.jvlt.metadata",27,737,88
"net.sourceforge.jvlt.model",5,796,62
"net.sourceforge.jvlt.multimedia",5,272,26
"net.sourceforge.jvlt.os",3,46,6
"net.sourceforge.jvlt.query",17,739,84
"net.sourceforge.jvlt.quiz",3,331,37
"net.sourceforge.jvlt.tools",5,461,25
"net.sourceforge.jvlt.ui",260,16.515,1.197
"net.sourceforge.jvlt.ui.components",48,1.860,210
"net.sourceforge.jvlt.ui.dialogs",34,2.000,126
"net.sourceforge.jvlt.ui.io",28,1.648,123
"net.sourceforge.jvlt.ui.quiz",22,2.203,136
"net.sourceforge.jvlt.ui.table",10,737,78
"net.sourceforge.jvlt.ui.utils",9,710,60
"net.sourceforge.jvlt.ui.vocabulary",89,5.830,374
"net.sourceforge.jvlt.ui.vocabulary.entrydialog",40,2.047,134
"net.sourceforge.jvlt.ui.wizard",5,238,34
"net.sourceforge.jvlt.utils",19,1.238,137

