Package,v(G)avg,v(G)tot
"net.sourceforge.jvlt","1,25",10
"net.sourceforge.jvlt.actions","1,74",92
"net.sourceforge.jvlt.core","1,57",291
"net.sourceforge.jvlt.event","1,24",52
"net.sourceforge.jvlt.io","4,48",394
"net.sourceforge.jvlt.metadata","1,84",145
"net.sourceforge.jvlt.model","2,63",158
"net.sourceforge.jvlt.multimedia","2,12",55
"net.sourceforge.jvlt.os","1,20",6
"net.sourceforge.jvlt.query","2,43",197
"net.sourceforge.jvlt.quiz","1,89",70
"net.sourceforge.jvlt.tools","3,28",82
"net.sourceforge.jvlt.ui","3,66",183
"net.sourceforge.jvlt.ui.components","1,75",349
"net.sourceforge.jvlt.ui.dialogs","2,09",249
"net.sourceforge.jvlt.ui.io","2,06",247
"net.sourceforge.jvlt.ui.quiz","2,94",397
"net.sourceforge.jvlt.ui.table","1,87",146
"net.sourceforge.jvlt.ui.utils","2,15",129
"net.sourceforge.jvlt.ui.vocabulary","2,54",597
"net.sourceforge.jvlt.ui.vocabulary.entrydialog","2,43",294
"net.sourceforge.jvlt.ui.wizard","1,28",41
"net.sourceforge.jvlt.utils","2,17",258

