Package,PDcy,PDpt
"net.sourceforge.jvlt",1,11
"net.sourceforge.jvlt.actions",1,7
"net.sourceforge.jvlt.core",3,17
"net.sourceforge.jvlt.event",5,9
"net.sourceforge.jvlt.io",3,5
"net.sourceforge.jvlt.metadata",2,11
"net.sourceforge.jvlt.model",7,12
"net.sourceforge.jvlt.multimedia",6,6
"net.sourceforge.jvlt.os",1,1
"net.sourceforge.jvlt.query",4,5
"net.sourceforge.jvlt.quiz",5,2
"net.sourceforge.jvlt.tools",6,0
"net.sourceforge.jvlt.ui",18,4
"net.sourceforge.jvlt.ui.components",6,7
"net.sourceforge.jvlt.ui.dialogs",10,8
"net.sourceforge.jvlt.ui.io",13,1
"net.sourceforge.jvlt.ui.quiz",16,1
"net.sourceforge.jvlt.ui.table",5,3
"net.sourceforge.jvlt.ui.utils",3,11
"net.sourceforge.jvlt.ui.vocabulary",14,3
"net.sourceforge.jvlt.ui.vocabulary.entrydialog",11,1
"net.sourceforge.jvlt.ui.wizard",5,3
"net.sourceforge.jvlt.utils",2,19

