Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"java.lang.Exception",1,7,44,51,2,2,1,1,92,44,0,26,0,"1,33",1,17,8
"java.lang.Exception.SecurityManagerEx",2,3,60,63,2,2,0,2,29,27,0,52,0,"2,50",2,5,5
"org.apache.felix.eventadmin.impl.Configuration",2,27,23,50,2,1,0,1,527,393,0,11,0,"3,69",5,34,48
"org.apache.felix.eventadmin.impl.handler.EventAdminImpl",2,7,21,28,1,1,0,2,182,122,0,11,0,"2,44",3,16,22
"org.apache.felix.gogo.commands.Action",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.felix.gogo.commands.Argument",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"org.apache.felix.gogo.commands.Command",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"org.apache.felix.gogo.commands.CommandException",2,6,50,56,1,3,1,1,32,29,0,26,0,"1,29",1,13,9
"org.apache.felix.gogo.commands.CommandWithAction",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.apache.felix.gogo.commands.CompleterValues",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.felix.gogo.commands.Option",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a
"org.apache.felix.gogo.commands.SubShell",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.apache.felix.gogo.commands.basic.AbstractCommand",4,0,20,20,14,1,1,1,31,24,0,11,0,"1,25",4,8,5
"org.apache.felix.gogo.commands.basic.ActionPreparator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator",11,1,23,24,12,1,1,1,493,483,0,11,0,"3,92",5,101,98
"org.apache.felix.gogo.commands.converter.DefaultConverter",4,2,30,32,3,1,0,1,327,317,0,11,0,"4,78",17,92,86
"org.apache.felix.gogo.commands.converter.GenericType",4,4,25,29,2,2,0,1,149,145,0,11,3,"4,00",7,40,36
"org.apache.felix.gogo.commands.converter.ReifiedType",2,2,16,18,0,1,0,3,95,17,1,11,0,"1,00",3,4,4
