Class,OCavg,WMC
"java.lang.Exception","1,33",8
"java.lang.Exception.SecurityManagerEx","2,50",5
"org.apache.felix.eventadmin.impl.Configuration","3,69",48
"org.apache.felix.eventadmin.impl.handler.EventAdminImpl","2,44",22
"org.apache.felix.gogo.commands.CommandException","1,29",9
"org.apache.felix.gogo.commands.basic.AbstractCommand","1,25",5
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator","3,92",98
"org.apache.felix.gogo.commands.converter.DefaultConverter","4,78",86
"org.apache.felix.gogo.commands.converter.GenericType","4,00",36
"org.apache.felix.gogo.commands.converter.ReifiedType","1,00",4
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider","2,15",28
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManager","1,75",7
"org.apache.felix.webconsole.internal.servlet.KarafOsgiManagerActivator","2,00",4
"org.apache.karaf.bundle.command.BundleCommand","1,00",2
"org.apache.karaf.bundle.command.BundlesCommand","1,50",6
"org.apache.karaf.bundle.command.Capabilities","4,14",29
"org.apache.karaf.bundle.command.Classes","6,00",6
"org.apache.karaf.bundle.command.Diag","2,00",2
"org.apache.karaf.bundle.command.DynamicImport","2,00",2
"org.apache.karaf.bundle.command.FindClass","3,00",6
"org.apache.karaf.bundle.command.Headers","3,75",60
"org.apache.karaf.bundle.command.Id","1,00",1
"org.apache.karaf.bundle.command.Info","1,00",1
"org.apache.karaf.bundle.command.Install","12,00",12
"org.apache.karaf.bundle.command.List","4,00",36
"org.apache.karaf.bundle.command.ListServicesTest","1,00",4
"org.apache.karaf.bundle.command.LoadTest","4,60",23
"org.apache.karaf.bundle.command.Refresh","1,33",4
"org.apache.karaf.bundle.command.Requirements","3,43",24
"org.apache.karaf.bundle.command.Resolve","1,50",3
"org.apache.karaf.bundle.command.Restart","2,00",6
"org.apache.karaf.bundle.command.Services","3,75",15
"org.apache.karaf.bundle.command.ShowBundleTree","4,09",45
"org.apache.karaf.bundle.command.Start","1,50",3
"org.apache.karaf.bundle.command.StartLevel","4,00",4
"org.apache.karaf.bundle.command.Stop","1,50",3
"org.apache.karaf.bundle.command.TestBundleFactory","1,50",9
"org.apache.karaf.bundle.command.Uninstall","1,00",2
"org.apache.karaf.bundle.command.Update","2,00",4
"org.apache.karaf.bundle.command.Watch","8,00",16
"org.apache.karaf.bundle.command.bundletree.Node","1,82",20
"org.apache.karaf.bundle.command.bundletree.Tree","1,17",7
"org.apache.karaf.bundle.command.bundletree.TreeTest","1,00",8
"org.apache.karaf.bundle.core.BundleState",n/a,0
"org.apache.karaf.bundle.core.internal.BundleInfoImpl","1,76",30
"org.apache.karaf.bundle.core.internal.BundleSelectorImpl","3,75",30
"org.apache.karaf.bundle.core.internal.BundleServiceImpl","2,67",56
"org.apache.karaf.bundle.core.internal.BundleWatcherImpl","2,11",38
"org.apache.karaf.bundle.core.internal.BundlesMBeanImpl","1,59",35
"org.apache.karaf.bundle.core.internal.MavenConfigService","4,33",13
"org.apache.karaf.bundle.core.internal.MavenConfigServiceTest","1,00",4
"org.apache.karaf.bundle.core.internal.osgi.Activator","1,60",8
"org.apache.karaf.bundle.state.blueprint.internal.Activator","1,00",2
"org.apache.karaf.bundle.state.blueprint.internal.BlueprintStateService","3,12",25
"org.apache.karaf.bundle.state.spring.internal.Activator","1,00",2
"org.apache.karaf.bundle.state.spring.internal.SpringStateService","2,22",20
"org.apache.karaf.client.ClientConfig","3,00",51
"org.apache.karaf.client.Main","3,25",39
"org.apache.karaf.client.Main.ConsoleInputStream","2,83",17
"org.apache.karaf.config.command.CancelCommand","1,00",1
"org.apache.karaf.config.command.ConfigCommandSupport","1,00",4
"org.apache.karaf.config.command.ConfigPropertyCommandSupport","2,67",8
"org.apache.karaf.config.command.DeleteCommand","3,00",3
"org.apache.karaf.config.command.EditCommand","6,00",6
"org.apache.karaf.config.command.EditCommandTest","1,00",3
"org.apache.karaf.config.command.ListCommand","8,00",8
"org.apache.karaf.config.command.MetaCommand","1,00",2
"org.apache.karaf.config.command.MetaCommand.InnerCommand","3,75",15
"org.apache.karaf.config.command.MockCommandSession","1,00",13
"org.apache.karaf.config.command.PropAppendCommand","3,00",3
"org.apache.karaf.config.command.PropDelCommand","1,00",1
"org.apache.karaf.config.command.PropListCommand","1,50",3
"org.apache.karaf.config.command.PropSetCommand","1,00",1
"org.apache.karaf.config.command.UpdateCommand","3,00",3
"org.apache.karaf.config.command.UpdateCommandTest","1,00",3
"org.apache.karaf.config.command.completers.ConfigurationCompleter","1,80",9
"org.apache.karaf.config.command.completers.ConfigurationPropertyCompleter","3,40",17
"org.apache.karaf.config.core.impl.ConfigMBeanImpl","1,57",22
"org.apache.karaf.config.core.impl.ConfigRepositoryImpl","2,67",24
"org.apache.karaf.config.core.impl.osgi.Activator","2,00",2
"org.apache.karaf.demos.command.MyCommand","1,00",1
"org.apache.karaf.demos.command.MyCompleter","1,00",1
"org.apache.karaf.demos.deployer.bundle.Activator","1,00",2
"org.apache.karaf.deployer.blueprint.BlueprintDeploymentListener","1,33",8
"org.apache.karaf.deployer.blueprint.BlueprintDeploymentListenerTest","2,50",10
"org.apache.karaf.deployer.blueprint.BlueprintTransformer","4,40",22
"org.apache.karaf.deployer.blueprint.BlueprintURLHandler","2,00",2
"org.apache.karaf.deployer.blueprint.BlueprintURLHandler.Connection","1,00",3
"org.apache.karaf.deployer.blueprint.osgi.Activator","1,00",1
"org.apache.karaf.deployer.features.FeatureDeploymentListener","2,94",50
"org.apache.karaf.deployer.features.FeatureTransformer","3,50",7
"org.apache.karaf.deployer.features.FeatureURLHandler","1,50",3
"org.apache.karaf.deployer.features.FeatureURLHandler.Connection","1,00",3
"org.apache.karaf.deployer.features.osgi.Activator","2,00",4
"org.apache.karaf.deployer.kar.KarArtifactInstaller","1,71",12
"org.apache.karaf.deployer.kar.KarArtifactInstallerTest","1,00",5
"org.apache.karaf.deployer.kar.osgi.Activator","2,00",2
"org.apache.karaf.deployer.spring.SpringDeploymentListener","3,33",10
"org.apache.karaf.deployer.spring.SpringDeploymentListenerTest","1,00",2
"org.apache.karaf.deployer.spring.SpringTransformer","4,20",21
"org.apache.karaf.deployer.spring.SpringURLHandler","2,00",2
"org.apache.karaf.deployer.spring.SpringURLHandler.Connection","1,00",3
"org.apache.karaf.deployer.spring.osgi.Activator","1,00",1
"org.apache.karaf.deployer.wrap.WrapDeploymentListener","2,00",4
"org.apache.karaf.deployer.wrap.osgi.Activator","1,00",1
"org.apache.karaf.diagnostic.command.DumpCommand","4,00",4
"org.apache.karaf.diagnostic.common.FeaturesDumpProvider","3,00",6
"org.apache.karaf.diagnostic.common.LogDumpProvider","3,00",6
"org.apache.karaf.diagnostic.common.TextDumpProvider","1,00",2
"org.apache.karaf.diagnostic.core.Dump","1,50",6
"org.apache.karaf.diagnostic.core.common.ClosingEntryOutputStreamWrapper","1,00",5
"org.apache.karaf.diagnostic.core.common.DirectoryDumpDestination","1,50",6
"org.apache.karaf.diagnostic.core.common.TextDumpProvider","1,00",2
"org.apache.karaf.diagnostic.core.common.ZipDumpDestination","1,00",5
"org.apache.karaf.diagnostic.core.internal.Activator","1,67",5
"org.apache.karaf.diagnostic.core.internal.DumpHandler","1,00",3
"org.apache.karaf.diagnostic.core.providers.BundleDumpProvider","1,50",3
"org.apache.karaf.diagnostic.core.providers.EnvironmentDumpProvider","3,31",43
"org.apache.karaf.diagnostic.core.providers.HeapDumpProvider","5,00",5
"org.apache.karaf.diagnostic.core.providers.MemoryDumpProvider","1,00",2
"org.apache.karaf.diagnostic.core.providers.ThreadDumpProvider","6,33",19
"org.apache.karaf.diagnostic.demo.ScreenshotDumpProvider","2,00",2
"org.apache.karaf.diagnostic.internal.Activator","1,43",10
