Method,ev(G),iv(G),v(G)
"java.lang.Exception.Exception()",1,1,1
"java.lang.Exception.Exception(String)",1,1,1
"java.lang.Exception.Exception(String,Throwable)",1,1,1
"java.lang.Exception.Exception(String,Throwable,boolean,boolean)",1,4,4
"java.lang.Exception.Exception(Throwable)",1,1,1
"java.lang.Exception.SecurityManagerEx.getInstance()",1,1,2
"java.lang.Exception.SecurityManagerEx.getThrowableContext(Throwable)",3,2,4
"java.lang.Exception.getClassContext()",1,1,1
"null.aliases()",1,1,1
"null.annotationType()",1,1,1
"null.description()",1,1,1
"null.getNames(Session)",1,1,1
"null.handleRoles(Subject,Set<Principal>,String)",1,3,3
"null.multiValued()",1,1,1
"null.name()",1,1,1
"null.position(String,int)",1,1,1
"null.required()",1,1,1
"null.serviceChanged(ServiceEvent)",1,6,6
"null.valueToShowInHelp()",1,1,1
"org.apache.felix.eventadmin.impl.Configuration.Configuration(BundleContext)",1,3,4
"org.apache.felix.eventadmin.impl.Configuration.adaptEvents(EventAdmin)",1,1,1
"org.apache.felix.eventadmin.impl.Configuration.configure(Dictionary<String, ?>)",1,13,14
"org.apache.felix.eventadmin.impl.Configuration.destroy()",1,8,8
"org.apache.felix.eventadmin.impl.Configuration.getBooleanProperty(Object,boolean)",5,9,11
"org.apache.felix.eventadmin.impl.Configuration.getDoubleProperty(String,Object,double,double)",4,4,5
"org.apache.felix.eventadmin.impl.Configuration.getIntProperty(String,Object,int,int)",4,4,5
"org.apache.felix.eventadmin.impl.Configuration.startOrUpdate()",1,4,4
"org.apache.felix.eventadmin.impl.Configuration.tryToCreateManagedService()",1,1,2
"org.apache.felix.eventadmin.impl.Configuration.tryToCreateMetaTypeProvider(Object)",1,1,2
"org.apache.felix.eventadmin.impl.Configuration.updateFromConfigAdmin(Dictionary<String, ?>)",1,1,1
"org.apache.felix.eventadmin.impl.handler.EventAdminImpl.EventAdminImpl(BundleContext,DefaultThreadPool,DefaultThreadPool,int,String[],boolean,String[],boolean,boolean)",1,1,1
"org.apache.felix.eventadmin.impl.handler.EventAdminImpl.checkNull(Object,String)",2,1,2
"org.apache.felix.eventadmin.impl.handler.EventAdminImpl.checkTopic(Event)",4,3,4
"org.apache.felix.eventadmin.impl.handler.EventAdminImpl.getTracker()",2,1,2
"org.apache.felix.eventadmin.impl.handler.EventAdminImpl.postEvent(Event)",1,2,2
"org.apache.felix.eventadmin.impl.handler.EventAdminImpl.prepareEvent(Event)",1,9,10
"org.apache.felix.eventadmin.impl.handler.EventAdminImpl.sendEvent(Event)",1,2,2
"org.apache.felix.eventadmin.impl.handler.EventAdminImpl.stop()",1,1,1
"org.apache.felix.eventadmin.impl.handler.EventAdminImpl.update(int,String[],boolean,String[],boolean,boolean)",1,1,1
"org.apache.felix.gogo.commands.CommandException.CommandException()",1,1,1
"org.apache.felix.gogo.commands.CommandException.CommandException(String)",1,1,1
"org.apache.felix.gogo.commands.CommandException.CommandException(String,String)",1,1,1
"org.apache.felix.gogo.commands.CommandException.CommandException(String,String,Throwable)",1,1,1
"org.apache.felix.gogo.commands.CommandException.CommandException(String,Throwable)",1,1,1
"org.apache.felix.gogo.commands.CommandException.CommandException(Throwable)",1,1,1
"org.apache.felix.gogo.commands.CommandException.getNiceHelp()",1,3,3
"org.apache.felix.gogo.commands.basic.AbstractCommand.execute(CommandSession,List<Object>)",2,2,2
"org.apache.felix.gogo.commands.basic.AbstractCommand.getActionClass()",1,1,1
"org.apache.felix.gogo.commands.basic.AbstractCommand.getPreparator()",1,1,1
"org.apache.felix.gogo.commands.basic.AbstractCommand.releaseAction(Action)",1,1,1
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.convert(Action,CommandSession,Object,Type)",2,3,3
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.getWidth(CommandSession)",1,1,3
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.length(String)",1,1,1
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.loadDescription(Class,String)",1,5,7
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.prepare(Action,CommandSession,List<Object>)",28,45,50
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.printDefaultsTo(PrintStream,String)",1,1,1
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.printFormatted(String,String,int,PrintStream)",1,1,1
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.printFormatted(String,String,int,PrintStream,boolean)",3,6,8
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.printObjectDefaultsTo(PrintStream,Object)",1,5,6
"org.apache.felix.gogo.commands.basic.DefaultActionPreparator.printUsage(CommandSession,Action,Map<Option, Field>,Map<Argument, Field>,PrintStream)",1,25,28
"org.apache.felix.gogo.commands.converter.DefaultConverter.DefaultConverter(Object)",1,1,1
"org.apache.felix.gogo.commands.converter.DefaultConverter.convert(Object,ReifiedType)",10,15,19
"org.apache.felix.gogo.commands.converter.DefaultConverter.convert(Object,Type)",1,1,1
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertFromString(String,Class,Object)",22,23,29
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertToArray(Object,ReifiedType)",3,4,6
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertToCollection(Object,ReifiedType)",4,4,6
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertToDictionary(Object,ReifiedType)",4,4,6
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertToMap(Object,ReifiedType)",4,4,6
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertToNumber(Number,Class)",11,11,11
"org.apache.felix.gogo.commands.converter.DefaultConverter.convertWithConverters(Object,ReifiedType)",1,1,1
"org.apache.felix.gogo.commands.converter.DefaultConverter.createObject(String,Class)",2,3,5
"org.apache.felix.gogo.commands.converter.DefaultConverter.getCollection(Class)",6,5,6
"org.apache.felix.gogo.commands.converter.DefaultConverter.getMap(Class)",4,3,4
"org.apache.felix.gogo.commands.converter.DefaultConverter.getRealCause(Throwable)",2,3,3
"org.apache.felix.gogo.commands.converter.DefaultConverter.hasDefaultConstructor(Class)",5,3,6
"org.apache.felix.gogo.commands.converter.DefaultConverter.isAssignable(Object,ReifiedType)",1,3,3
"org.apache.felix.gogo.commands.converter.DefaultConverter.toClass(ReifiedType)",1,1,1
"org.apache.felix.gogo.commands.converter.DefaultConverter.unwrap(Class)",1,1,2
"org.apache.felix.gogo.commands.converter.GenericType.GenericType(Class,GenericType...)",1,1,1
"org.apache.felix.gogo.commands.converter.GenericType.GenericType(Type)",1,1,1
"org.apache.felix.gogo.commands.converter.GenericType.collapse(Type)",6,7,8
"org.apache.felix.gogo.commands.converter.GenericType.getActualTypeArgument(int)",2,2,2
"org.apache.felix.gogo.commands.converter.GenericType.getConcreteClass(Type)",3,2,3
"org.apache.felix.gogo.commands.converter.GenericType.parametersOf(Type)",6,5,7
"org.apache.felix.gogo.commands.converter.GenericType.parse(String,Object)",7,7,8
"org.apache.felix.gogo.commands.converter.GenericType.size()",1,1,1
"org.apache.felix.gogo.commands.converter.GenericType.toString()",4,6,6
"org.apache.felix.gogo.commands.converter.ReifiedType.ReifiedType(Class)",1,1,1
"org.apache.felix.gogo.commands.converter.ReifiedType.getActualTypeArgument(int)",1,1,1
"org.apache.felix.gogo.commands.converter.ReifiedType.getRawClass()",1,1,1
"org.apache.felix.gogo.commands.converter.ReifiedType.size()",1,1,1
"org.apache.felix.webconsole.internal.servlet.JaasSecurityProvider.JaasSecurityProvider()",1,1,1
