Module,v(G)avg,v(G)tot
"dump","2,00",2
"hibernate","1,57",22
"itests","1,42",389
"karaf-maven-plugin","3,53",798
"karaf-services-maven-plugin","12,50",25
"my-bundle","1,00",2
"org.apache.karaf.bundle.blueprintstate","2,90",29
"org.apache.karaf.bundle.core","3,10",645
"org.apache.karaf.bundle.springstate","2,00",22
"org.apache.karaf.client","2,34",185
"org.apache.karaf.config.core","2,42",184
"org.apache.karaf.demos.command","1,00",2
"org.apache.karaf.deployer.blueprint","3,12",53
"org.apache.karaf.deployer.features","3,52",81
"org.apache.karaf.deployer.kar","1,77",23
"org.apache.karaf.deployer.spring","3,13",47
"org.apache.karaf.deployer.wrap","3,00",9
"org.apache.karaf.diagnostic.boot","2,49",117
"org.apache.karaf.diagnostic.core","2,33",35
"org.apache.karaf.exception","1,88",15
"org.apache.karaf.features.command","3,65",197
"org.apache.karaf.features.core","2,96",2.733
"org.apache.karaf.http.core","1,84",46
"org.apache.karaf.instance.core","2,44",540
"org.apache.karaf.jaas.blueprint.config","3,78",34
"org.apache.karaf.jaas.blueprint.jasypt","2,20",88
"org.apache.karaf.jaas.boot","1,88",47
"org.apache.karaf.jaas.command","2,17",174
"org.apache.karaf.jaas.config","2,29",149
"org.apache.karaf.jaas.jasypt","2,12",17
"org.apache.karaf.jaas.modules","3,08",812
"org.apache.karaf.jdbc.core","2,45",125
"org.apache.karaf.jms.core","1,97",142
"org.apache.karaf.jndi.core","2,61",115
"org.apache.karaf.kar.core","2,77",119
"org.apache.karaf.log.core","2,73",327
"org.apache.karaf.main","2,11",627
"org.apache.karaf.management.server","2,12",362
"org.apache.karaf.obr.core","5,26",205
"org.apache.karaf.package.core","2,08",131
"org.apache.karaf.profile.core","2,51",711
"org.apache.karaf.scheduler.core","2,54",104
"org.apache.karaf.scr.command","3,18",70
"org.apache.karaf.scr.examples.component.factories","1,55",17
"org.apache.karaf.scr.examples.managed.service","1,92",23
"org.apache.karaf.scr.examples.service","1,00",5
"org.apache.karaf.scr.management","2,23",78
"org.apache.karaf.service.core","2,33",84
"org.apache.karaf.service.guard","2,64",312
"org.apache.karaf.services.coordinator","5,50",22
"org.apache.karaf.services.eventadmin","4,10",82
"org.apache.karaf.services.staticcm","2,38",50
"org.apache.karaf.shell.commands","4,54",668
"org.apache.karaf.shell.console","3,52",1.944
"org.apache.karaf.shell.core","3,15",1.898
"org.apache.karaf.shell.ssh","2,22",222
"org.apache.karaf.shell.table","1,70",75
"org.apache.karaf.subsystem.core","3,91",86
"org.apache.karaf.system.core","2,27",125
"org.apache.karaf.util","2,39",556
"org.apache.karaf.web.core","2,20",90
"org.apache.karaf.webconsole.console","2,76",47
"org.apache.karaf.webconsole.features","1,90",95
"org.apache.karaf.webconsole.gogo","3,84",564
"org.apache.karaf.webconsole.http","1,88",96
"org.apache.karaf.webconsole.instance","2,63",71
"org.apache.karaf.wrapper.core","3,31",86
"web","2,50",5

