Package,C(rec),LOC(rec),METH(rec)
"",1.306,137.912,6.461
"META-INF",n/a,460,n/a
"META-INF.maven",n/a,186,n/a
"META-INF.plexus",n/a,132,n/a
"META-INF.services",n/a,111,n/a
"META-INF.services.org",n/a,111,n/a
"META-INF.services.org.apache",n/a,111,n/a
"META-INF.services.org.apache.karaf",n/a,111,n/a
"META-INF.services.org.apache.karaf.shell",n/a,111,n/a
"OSGI-INF",n/a,2.053,n/a
"OSGI-INF.blueprint",n/a,168,n/a
"OSGI-INF.metatype",n/a,315,n/a
"activemq",n/a,38,n/a
"activemq.broker",n/a,20,n/a
"activemq.broker.profile",n/a,20,n/a
"activemq.client",n/a,18,n/a
"activemq.client.profile",n/a,18,n/a
"appended-resources",n/a,1.225,n/a
"camel",n/a,21,n/a
"camel.profile",n/a,21,n/a
"default",n/a,130,n/a
"default.profile",n/a,130,n/a
"example",n/a,279,n/a
"example.loanbroker",n/a,279,n/a
"example.loanbroker.bank1",n/a,56,n/a
"example.loanbroker.bank1.profile",n/a,56,n/a
"example.loanbroker.bank2",n/a,56,n/a
"example.loanbroker.bank2.profile",n/a,56,n/a
"example.loanbroker.bank3",n/a,56,n/a
"example.loanbroker.bank3.profile",n/a,56,n/a
"example.loanbroker.base",n/a,19,n/a
"example.loanbroker.base.profile",n/a,19,n/a
"example.loanbroker.broker",n/a,92,n/a
"example.loanbroker.broker.profile",n/a,92,n/a
"java",2,139,8
"java.lang",2,139,8
"karaf",n/a,132,n/a
"karaf.profile",n/a,132,n/a
"org",1.304,109.430,6.453
"org.apache",1.299,108.981,6.401
"org.apache.felix",26,2.656,134
"org.apache.felix.eventadmin",4,773,22
"org.apache.felix.eventadmin.impl",4,773,22
"org.apache.felix.eventadmin.impl.handler",1,212,9
"org.apache.felix.gogo",17,1.547,93
"org.apache.felix.gogo.commands",17,1.547,93
"org.apache.felix.gogo.commands.basic",6,606,31
"org.apache.felix.gogo.commands.converter",3,639,31
"org.apache.felix.webconsole",5,336,19
"org.apache.felix.webconsole.internal",5,336,19
"org.apache.felix.webconsole.internal.servlet",5,336,19
"org.apache.karaf",1.273,106.325,6.267
"org.apache.karaf.branding",n/a,24,n/a
"org.apache.karaf.bundle",58,4.326,280
"org.apache.karaf.bundle.command",39,2.515,114
"org.apache.karaf.bundle.command.bundletree",4,235,18
"org.apache.karaf.bundle.core",15,1.502,145
"org.apache.karaf.bundle.core.internal",9,1.259,94
"org.apache.karaf.bundle.core.internal.osgi",2,85,5
"org.apache.karaf.bundle.state",4,309,21
"org.apache.karaf.bundle.state.blueprint",2,164,10
"org.apache.karaf.bundle.state.blueprint.internal",2,164,10
"org.apache.karaf.bundle.state.spring",2,145,11
"org.apache.karaf.bundle.state.spring.internal",2,145,11
"org.apache.karaf.client",5,723,35
"org.apache.karaf.config",20,1.371,73
"org.apache.karaf.config.command",15,871,35
"org.apache.karaf.config.command.completers",2,204,10
"org.apache.karaf.config.core",5,500,38
"org.apache.karaf.config.core.impl",3,363,24
"org.apache.karaf.config.core.impl.osgi",1,43,1
"org.apache.karaf.demos",3,105,4
"org.apache.karaf.demos.command",2,76,2
"org.apache.karaf.demos.deployer",1,29,2
"org.apache.karaf.demos.deployer.bundle",1,29,2
"org.apache.karaf.deployer",21,1.588,66
"org.apache.karaf.deployer.blueprint",6,419,16
"org.apache.karaf.deployer.blueprint.osgi",1,37,1
"org.apache.karaf.deployer.features",6,491,26
"org.apache.karaf.deployer.features.osgi",1,56,2
"org.apache.karaf.deployer.kar",2,133,8
"org.apache.karaf.deployer.kar.osgi",1,38,1
"org.apache.karaf.deployer.spring",5,445,13
"org.apache.karaf.deployer.spring.osgi",1,37,1
"org.apache.karaf.deployer.wrap",2,100,3
"org.apache.karaf.deployer.wrap.osgi",1,36,1
"org.apache.karaf.diagnostic",23,1.542,73
"org.apache.karaf.diagnostic.command",1,73,1
"org.apache.karaf.diagnostic.common",3,198,7
"org.apache.karaf.diagnostic.core",14,1.020,51
"org.apache.karaf.diagnostic.core.common",4,250,17
"org.apache.karaf.diagnostic.core.internal",2,89,6
"org.apache.karaf.diagnostic.core.providers",5,545,21
"org.apache.karaf.diagnostic.demo",1,46,1
"org.apache.karaf.diagnostic.internal",2,90,7
"org.apache.karaf.diagnostic.management",2,115,6
"org.apache.karaf.diagnostic.management.internal",1,78,4
"org.apache.karaf.features",175,17.935,1.021
"org.apache.karaf.features.command",27,1.718,54
"org.apache.karaf.features.command.completers",9,360,17
"org.apache.karaf.features.internal",120,13.312,804
"org.apache.karaf.features.internal.download",18,986,69
"org.apache.karaf.features.internal.download.impl",13,863,58
"org.apache.karaf.features.internal.management",4,339,40
"org.apache.karaf.features.internal.model",16,1.817,140
"org.apache.karaf.features.internal.osgi",3,248,9
"org.apache.karaf.features.internal.region",16,1.810,111
"org.apache.karaf.features.internal.repository",10,887,43
"org.apache.karaf.features.internal.resolver",11,2.674,120
"org.apache.karaf.features.internal.service",32,3.656,197
"org.apache.karaf.features.internal.util",10,895,75
"org.apache.karaf.features.management",5,613,51
"org.apache.karaf.features.management.codec",4,519,32
"org.apache.karaf.http",9,400,27
"org.apache.karaf.http.command",1,54,2
"org.apache.karaf.http.core",8,346,25
"org.apache.karaf.http.core.internal",5,213,10
"org.apache.karaf.http.core.internal.osgi",2,56,3
"org.apache.karaf.info",1,34,11
"org.apache.karaf.instance",60,3.454,229
"org.apache.karaf.instance.command",19,1.021,30
"org.apache.karaf.instance.command.completers",3,116,5
"org.apache.karaf.instance.core",40,1.908,195
"org.apache.karaf.instance.core.internal",36,1.676,139
"org.apache.karaf.instance.core.internal.osgi",1,39,1
"org.apache.karaf.instance.main",1,137,4
"org.apache.karaf.instance.resources",n/a,388,n/a
"org.apache.karaf.instance.resources.bin",n/a,134,n/a
"org.apache.karaf.instance.resources.etc",n/a,254,n/a
"org.apache.karaf.jaas",91,7.306,477
"org.apache.karaf.jaas.blueprint",3,479,25
"org.apache.karaf.jaas.blueprint.config",1,264,9
"org.apache.karaf.jaas.blueprint.config.impl",1,157,9
