Package,v(G)avg,v(G)tot
"java.lang","1,88",15
"org.apache.felix.eventadmin.impl","5,18",57
"org.apache.felix.eventadmin.impl.handler","2,78",25
"org.apache.felix.gogo.commands","1,29",9
"org.apache.felix.gogo.commands.basic","5,71",120
"org.apache.felix.gogo.commands.converter","5,06",157
"org.apache.felix.webconsole.internal.servlet","2,76",47
"org.apache.karaf.bundle.command","4,00",364
"org.apache.karaf.bundle.command.bundletree","1,52",35
"org.apache.karaf.bundle.core.internal","2,62",241
"org.apache.karaf.bundle.core.internal.osgi","2,50",5
"org.apache.karaf.bundle.state.blueprint.internal","2,90",29
"org.apache.karaf.bundle.state.spring.internal","2,00",22
"org.apache.karaf.client","3,94",126
"org.apache.karaf.config.command","2,05",86
"org.apache.karaf.config.command.completers","3,10",31
"org.apache.karaf.config.core.impl","2,83",65
"org.apache.karaf.config.core.impl.osgi","2,00",2
"org.apache.karaf.demos.command","1,00",2
"org.apache.karaf.demos.deployer.bundle","1,00",2
"org.apache.karaf.deployer.blueprint","3,25",52
"org.apache.karaf.deployer.blueprint.osgi","1,00",1
"org.apache.karaf.deployer.features","3,67",77
"org.apache.karaf.deployer.features.osgi","2,00",4
"org.apache.karaf.deployer.kar","1,75",21
"org.apache.karaf.deployer.kar.osgi","2,00",2
"org.apache.karaf.deployer.spring","3,29",46
"org.apache.karaf.deployer.spring.osgi","1,00",1
"org.apache.karaf.deployer.wrap","4,00",8
"org.apache.karaf.deployer.wrap.osgi","1,00",1
"org.apache.karaf.diagnostic.command","5,00",5
"org.apache.karaf.diagnostic.common","2,50",15
"org.apache.karaf.diagnostic.core","2,50",10
"org.apache.karaf.diagnostic.core.common","1,25",20
"org.apache.karaf.diagnostic.core.internal","1,67",10
"org.apache.karaf.diagnostic.core.providers","3,67",77
"org.apache.karaf.diagnostic.demo","2,00",2
"org.apache.karaf.diagnostic.internal","1,75",7
"org.apache.karaf.diagnostic.management.internal","2,00",8
"org.apache.karaf.features","1,29",49
"org.apache.karaf.features.command","4,55",173
"org.apache.karaf.features.command.completers","1,50",24
"org.apache.karaf.features.internal.download","1,00",3
"org.apache.karaf.features.internal.download.impl","2,38",126
"org.apache.karaf.features.internal.management","1,92",71
"org.apache.karaf.features.internal.model","1,66",232
"org.apache.karaf.features.internal.osgi","6,00",24
"org.apache.karaf.features.internal.region","3,48",383
"org.apache.karaf.features.internal.repository","3,64",171
"org.apache.karaf.features.internal.resolver","5,02",582
"org.apache.karaf.features.internal.service","3,38",748
"org.apache.karaf.features.internal.support","1,16",58
"org.apache.karaf.features.internal.util","3,01",217
"org.apache.karaf.features.management.codec","2,12",68
"org.apache.karaf.http.command","1,50",3
"org.apache.karaf.http.core","1,54",20
"org.apache.karaf.http.core.internal","2,25",18
"org.apache.karaf.http.core.internal.osgi","2,50",5
