Chidamber-Kemerer metrics,Seg, 11 dez 2017 17:04:04 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.apache.log4j.Appender",n/a,n/a,n/a,n/a,12,n/a
"org.apache.log4j.AppenderSkeleton",64,2,4,21,32,31
"org.apache.log4j.AsyncAppender",14,3,2,0,56,30
"org.apache.log4j.AsyncAppender.DiscardSummary",4,1,1,0,10,4
"org.apache.log4j.AsyncAppender.Dispatcher",6,1,1,0,18,8
"org.apache.log4j.BasicConfigurator",14,1,3,0,9,4
"org.apache.log4j.Category",119,1,9,1,106,153
"org.apache.log4j.CategoryKey",1,1,0,0,6,5
"org.apache.log4j.ConsoleAppender",20,4,1,0,22,15
"org.apache.log4j.ConsoleAppender.SystemErrStream",1,2,2,0,10,6
"org.apache.log4j.ConsoleAppender.SystemOutStream",1,2,2,0,10,6
"org.apache.log4j.DailyRollingFileAppender",9,5,1,0,37,25
"org.apache.log4j.DefaultLoggerFactory",5,1,1,0,3,2
"org.apache.log4j.Dispatcher",4,2,1,0,14,9
"org.apache.log4j.FileAppender",28,4,1,3,38,23
"org.apache.log4j.HTMLLayout",14,3,4,0,46,33
"org.apache.log4j.Hierarchy",33,1,7,0,115,90
"org.apache.log4j.Layout",53,2,5,7,10,7
"org.apache.log4j.Level",92,2,1,3,19,30
"org.apache.log4j.LogManager",70,1,1,0,36,27
"org.apache.log4j.Logger",140,2,5,5,21,21
"org.apache.log4j.MDC",11,1,1,0,17,13
"org.apache.log4j.NDC",13,1,2,0,23,21
"org.apache.log4j.NDC.DiagnosticContext",1,1,0,0,1,2
"org.apache.log4j.PatternLayout",38,3,2,2,16,12
"org.apache.log4j.Priority",49,1,5,1,17,14
"org.apache.log4j.PropertyConfigurator",39,2,2,0,98,49
"org.apache.log4j.ProvisionNode",2,4,0,0,3,1
"org.apache.log4j.RollingCalendar",2,3,1,0,15,13
"org.apache.log4j.RollingFileAppender",12,5,1,1,29,19
"org.apache.log4j.SimpleLayout",13,3,2,0,11,3
"org.apache.log4j.TTCCLayout",7,4,2,0,23,14
"org.apache.log4j.ULogger",n/a,n/a,n/a,n/a,20,n/a
"org.apache.log4j.WriterAppender",22,3,3,3,42,43
"org.apache.log4j.WriterAppender.DefaultErrorHandler",8,1,7,0,11,8
"org.apache.log4j.concurrent.ConcurrentAppender",25,2,4,2,46,28
"org.apache.log4j.concurrent.ConcurrentAppender.FilterChain",3,1,1,0,13,13
"org.apache.log4j.concurrent.ConsoleAppender",8,4,1,0,22,15
"org.apache.log4j.concurrent.ConsoleAppender.SystemErrStream",1,2,2,0,10,6
"org.apache.log4j.concurrent.ConsoleAppender.SystemOutStream",1,2,2,0,10,6
"org.apache.log4j.concurrent.FileAppender",9,4,2,1,36,19
"org.apache.log4j.concurrent.ReadWriteLock",n/a,n/a,n/a,n/a,2,n/a
"org.apache.log4j.concurrent.ReentrantWriterPreferenceReadWriteLock",3,2,1,0,14,18
"org.apache.log4j.concurrent.RollingFileAppender",15,5,1,0,54,39
"org.apache.log4j.concurrent.RollingFileAppender.CountingOutputStream",2,2,1,0,12,6
"org.apache.log4j.concurrent.Sync",n/a,n/a,n/a,n/a,3,n/a
"org.apache.log4j.concurrent.SynchronizedBoolean",3,1,1,0,5,4
"org.apache.log4j.concurrent.WriterAppender",13,3,3,2,37,30
"org.apache.log4j.concurrent.WriterPreferenceReadWriteLock",6,1,1,1,14,22
"org.apache.log4j.concurrent.WriterPreferenceReadWriteLock.ReaderLock",4,2,3,0,17,17
"org.apache.log4j.concurrent.WriterPreferenceReadWriteLock.Signaller",4,1,1,2,1,0
"org.apache.log4j.concurrent.WriterPreferenceReadWriteLock.WriterLock",4,2,3,0,17,17
"org.apache.log4j.config.ConfigWatchdog",n/a,n/a,n/a,n/a,11,n/a
"org.apache.log4j.config.ConfiguratorBase",25,1,1,2,37,12
"org.apache.log4j.config.PropertyGetter",6,2,1,0,17,8
"org.apache.log4j.config.PropertyGetter.PropertyCallback",n/a,n/a,n/a,n/a,1,n/a
"org.apache.log4j.config.PropertyPrinter",8,1,3,0,39,26
"org.apache.log4j.config.PropertySetter",15,2,1,0,58,51
"org.apache.log4j.config.PropertySetterException",1,3,1,0,6,4
"org.apache.log4j.db.ConnectionSource",n/a,n/a,n/a,n/a,4,n/a
"org.apache.log4j.db.ConnectionSourceSkeleton",7,2,3,3,17,9
"org.apache.log4j.db.CustomSQLDBReceiver",9,4,5,0,28,21
"org.apache.log4j.db.CustomSQLDBReceiver.CustomReceiverJob",12,1,1,0,39,14
"org.apache.log4j.db.DBAppender",11,3,3,0,70,27
"org.apache.log4j.db.DBHelper",3,1,3,0,8,7
"org.apache.log4j.db.DBReceiver",8,4,2,0,17,12
"org.apache.log4j.db.DBReceiverJob",12,2,1,0,41,15
"org.apache.log4j.db.DataSourceConnectionSource",4,3,1,0,15,9
"org.apache.log4j.db.DriverManagerConnectionSource",3,3,2,0,15,8
"org.apache.log4j.db.JNDIConnectionSource",3,3,1,0,17,9
"org.apache.log4j.db.dialect.HSQLDBDialect",2,1,1,0,1,1
"org.apache.log4j.db.dialect.MsSQLDialect",2,1,1,0,1,1
"org.apache.log4j.db.dialect.MySQLDialect",2,1,1,0,1,1
"org.apache.log4j.db.dialect.OracleDialect",2,1,1,0,1,1
"org.apache.log4j.db.dialect.PostgreSQLDialect",2,1,1,0,1,1
"org.apache.log4j.db.dialect.SQLDialect",n/a,n/a,n/a,n/a,1,n/a
"org.apache.log4j.db.dialect.Util",11,2,3,0,13,14
"org.apache.log4j.filter.AndFilter",2,3,2,0,8,8
"org.apache.log4j.filter.DenyAllFilter",5,3,3,1,3,3
"org.apache.log4j.filter.ExpressionFilter",4,3,1,0,10,10
"org.apache.log4j.filter.LevelMatchFilter",7,3,1,1,9,10
"org.apache.log4j.filter.LevelRangeFilter",7,3,1,1,10,12
"org.apache.log4j.filter.LocationInfoFilter",5,3,1,0,12,8
"org.apache.log4j.filter.MapFilter",2,3,1,0,16,5
"org.apache.log4j.filter.PropertyFilter",2,3,1,0,21,7
"org.apache.log4j.filter.ReflectionFilter",3,3,1,0,17,5
"org.apache.log4j.filter.StringMatchFilter",4,3,1,1,7,8
"org.apache.log4j.helpers.AbsoluteTimeDateFormat",3,3,1,2,12,7
"org.apache.log4j.helpers.AppenderAttachableImpl",7,1,1,0,21,26
"org.apache.log4j.helpers.BoundedFIFO",3,1,1,0,12,19
"org.apache.log4j.helpers.Constants",n/a,n/a,n/a,n/a,0,n/a
"org.apache.log4j.helpers.CountingQuietWriter",4,4,1,0,8,4
"org.apache.log4j.helpers.CyclicBuffer",5,1,1,0,8,20
