Class,OCavg,WMC
"org.apache.log4j.AppenderSkeleton","1,48",31
"org.apache.log4j.AsyncAppender","1,76",30
"org.apache.log4j.AsyncAppender.DiscardSummary","1,33",4
"org.apache.log4j.AsyncAppender.Dispatcher","4,00",8
"org.apache.log4j.BasicConfigurator","1,00",4
"org.apache.log4j.Category","2,12",153
"org.apache.log4j.CategoryKey","1,67",5
"org.apache.log4j.ConsoleAppender","1,67",15
"org.apache.log4j.ConsoleAppender.SystemErrStream","1,00",6
"org.apache.log4j.ConsoleAppender.SystemOutStream","1,00",6
"org.apache.log4j.DailyRollingFileAppender","2,78",25
"org.apache.log4j.DefaultLoggerFactory","1,00",2
"org.apache.log4j.Dispatcher","3,00",9
"org.apache.log4j.FileAppender","1,35",23
"org.apache.log4j.HTMLLayout","1,65",33
"org.apache.log4j.Hierarchy","1,80",90
"org.apache.log4j.Layout","1,00",7
"org.apache.log4j.Level","3,00",30
"org.apache.log4j.LogManager","2,45",27
"org.apache.log4j.Logger","2,10",21
"org.apache.log4j.MDC","1,62",13
"org.apache.log4j.NDC","1,91",21
"org.apache.log4j.NDC.DiagnosticContext","2,00",2
"org.apache.log4j.PatternLayout","1,50",12
"org.apache.log4j.Priority","1,08",14
"org.apache.log4j.PropertyConfigurator","2,45",49
"org.apache.log4j.ProvisionNode","1,00",1
"org.apache.log4j.RollingCalendar","2,60",13
"org.apache.log4j.RollingFileAppender","1,58",19
"org.apache.log4j.SimpleLayout","1,00",3
"org.apache.log4j.TTCCLayout","1,40",14
"org.apache.log4j.WriterAppender","2,05",43
"org.apache.log4j.WriterAppender.DefaultErrorHandler","1,00",8
"org.apache.log4j.concurrent.ConcurrentAppender","1,33",28
"org.apache.log4j.concurrent.ConcurrentAppender.FilterChain","2,60",13
"org.apache.log4j.concurrent.ConsoleAppender","1,67",15
"org.apache.log4j.concurrent.ConsoleAppender.SystemErrStream","1,00",6
"org.apache.log4j.concurrent.ConsoleAppender.SystemOutStream","1,00",6
"org.apache.log4j.concurrent.FileAppender","1,19",19
"org.apache.log4j.concurrent.ReentrantWriterPreferenceReadWriteLock","3,60",18
"org.apache.log4j.concurrent.RollingFileAppender","2,79",39
"org.apache.log4j.concurrent.RollingFileAppender.CountingOutputStream","1,00",6
"org.apache.log4j.concurrent.SynchronizedBoolean","1,00",4
"org.apache.log4j.concurrent.WriterAppender","1,88",30
"org.apache.log4j.concurrent.WriterPreferenceReadWriteLock","1,69",22
"org.apache.log4j.concurrent.WriterPreferenceReadWriteLock.ReaderLock","4,25",17
"org.apache.log4j.concurrent.WriterPreferenceReadWriteLock.Signaller",n/a,0
"org.apache.log4j.concurrent.WriterPreferenceReadWriteLock.WriterLock","4,25",17
"org.apache.log4j.config.ConfiguratorBase","1,71",12
"org.apache.log4j.config.PropertyGetter","2,00",8
"org.apache.log4j.config.PropertyPrinter","2,60",26
"org.apache.log4j.config.PropertySetter","3,40",51
"org.apache.log4j.config.PropertySetterException","1,33",4
"org.apache.log4j.db.ConnectionSourceSkeleton","1,12",9
"org.apache.log4j.db.CustomSQLDBReceiver","1,40",21
"org.apache.log4j.db.CustomSQLDBReceiver.CustomReceiverJob","14,00",14
"org.apache.log4j.db.DBAppender","3,00",27
"org.apache.log4j.db.DBHelper","2,33",7
"org.apache.log4j.db.DBReceiver","1,50",12
"org.apache.log4j.db.DBReceiverJob","3,00",15
"org.apache.log4j.db.DataSourceConnectionSource","2,25",9
"org.apache.log4j.db.DriverManagerConnectionSource","1,33",8
"org.apache.log4j.db.JNDIConnectionSource","1,80",9
"org.apache.log4j.db.dialect.HSQLDBDialect","1,00",1
"org.apache.log4j.db.dialect.MsSQLDialect","1,00",1
"org.apache.log4j.db.dialect.MySQLDialect","1,00",1
"org.apache.log4j.db.dialect.OracleDialect","1,00",1
"org.apache.log4j.db.dialect.PostgreSQLDialect","1,00",1
"org.apache.log4j.db.dialect.Util","3,50",14
"org.apache.log4j.filter.AndFilter","2,00",8
"org.apache.log4j.filter.DenyAllFilter","1,00",3
"org.apache.log4j.filter.ExpressionFilter","1,25",10
"org.apache.log4j.filter.LevelMatchFilter","2,00",10
"org.apache.log4j.filter.LevelRangeFilter","1,71",12
"org.apache.log4j.filter.LocationInfoFilter","1,33",8
"org.apache.log4j.filter.MapFilter","5,00",5
"org.apache.log4j.filter.PropertyFilter","2,33",7
"org.apache.log4j.filter.ReflectionFilter","5,00",5
"org.apache.log4j.filter.StringMatchFilter","1,60",8
"org.apache.log4j.helpers.AbsoluteTimeDateFormat","1,00",7
"org.apache.log4j.helpers.AppenderAttachableImpl","3,25",26
"org.apache.log4j.helpers.BoundedFIFO","1,90",19
"org.apache.log4j.helpers.CountingQuietWriter","1,00",4
"org.apache.log4j.helpers.CyclicBuffer","2,86",20
"org.apache.log4j.helpers.DateLayout","1,92",23
"org.apache.log4j.helpers.DateTimeDateFormat","1,00",3
"org.apache.log4j.helpers.FileWatchdog","2,00",8
"org.apache.log4j.helpers.FormattingInfo","1,00",2
"org.apache.log4j.helpers.ISO8601DateFormat","1,00",2
"org.apache.log4j.helpers.IntializationUtil","2,50",5
"org.apache.log4j.helpers.JNDIUtil","1,50",3
"org.apache.log4j.helpers.Loader","2,80",14
"org.apache.log4j.helpers.LogLog","1,67",15
"org.apache.log4j.helpers.LoggerTraverse","3,09",34
"org.apache.log4j.helpers.MessageFormatter","5,50",11
"org.apache.log4j.helpers.NullEnumeration","1,00",4
"org.apache.log4j.helpers.OnlyOnceErrorHandler","1,00",7
"org.apache.log4j.helpers.Option","1,00",1
"org.apache.log4j.helpers.OptionConverter","3,75",60
"org.apache.log4j.helpers.PatternConverter","3,00",12
"org.apache.log4j.helpers.PatternParser","7,29",51
"org.apache.log4j.helpers.PatternParser.BasicPatternConverter","4,00",8
"org.apache.log4j.helpers.PatternParser.CategoryPatternConverter","1,00",2
"org.apache.log4j.helpers.PatternParser.ClassNamePatternConverter","1,00",2
"org.apache.log4j.helpers.PatternParser.DatePatternConverter","1,00",2
"org.apache.log4j.helpers.PatternParser.LiteralPatternConverter","1,00",3
"org.apache.log4j.helpers.PatternParser.LocationPatternConverter","3,50",7
"org.apache.log4j.helpers.PatternParser.MDCPatternConverter","1,50",3
"org.apache.log4j.helpers.PatternParser.NamedPatternConverter","2,50",5
"org.apache.log4j.helpers.PlatformInfo","2,00",8
"org.apache.log4j.helpers.QuietWriter","1,25",5
"org.apache.log4j.helpers.ReaderWriterLock","2,29",16
"org.apache.log4j.helpers.RelativeTimeDateFormat","1,00",4
"org.apache.log4j.helpers.SyslogQuietWriter","1,00",4
"org.apache.log4j.helpers.SyslogWriter","2,20",11
"org.apache.log4j.helpers.ThreadLocalMap","2,00",2
"org.apache.log4j.helpers.Transform","5,00",10
"org.apache.log4j.helpers.UtilLoggingLevel","3,67",22
"org.apache.log4j.jdbc.JDBCAppender","1,33",28
"org.apache.log4j.jmx.AbstractDynamicMBean","1,75",14
"org.apache.log4j.jmx.Agent","1,00",2
"org.apache.log4j.jmx.AppenderDynamicMBean","2,80",28
"org.apache.log4j.jmx.HierarchyDynamicMBean","1,72",31
"org.apache.log4j.jmx.LayoutDynamicMBean","2,75",22
"org.apache.log4j.jmx.LoggerDynamicMBean","2,08",25
"org.apache.log4j.jmx.MethodUnion","1,00",1
"org.apache.log4j.joran.JoranConfigurator","1,00",17
"org.apache.log4j.joran.action.Action","1,67",5
"org.apache.log4j.joran.action.ActionConst",n/a,0
"org.apache.log4j.joran.action.ActionData","1,00",1
"org.apache.log4j.joran.action.AppenderAction","2,33",7
"org.apache.log4j.joran.action.AppenderRefAction","2,33",7
"org.apache.log4j.joran.action.ConfigurationAction","2,67",8
"org.apache.log4j.joran.action.ConversionRuleAction","2,00",6
"org.apache.log4j.joran.action.ImplicitAction",n/a,0
"org.apache.log4j.joran.action.JndiSubstitutionPropertyAction","2,50",10
"org.apache.log4j.joran.action.LayoutAction","1,67",5
"org.apache.log4j.joran.action.LevelAction","2,00",6
"org.apache.log4j.joran.action.LoggerAction","2,33",7
"org.apache.log4j.joran.action.LoggerFactoryAction","1,50",3
"org.apache.log4j.joran.action.NestComponentIA","3,50",14
"org.apache.log4j.joran.action.NewRuleAction","1,67",5
"org.apache.log4j.joran.action.ParamAction","1,67",5
"org.apache.log4j.joran.action.PluginAction","2,00",6
"org.apache.log4j.joran.action.PriorityAction","1,00",1
"org.apache.log4j.joran.action.PropertyAction","1,67",5
"org.apache.log4j.joran.action.RepositoryPropertyAction","2,50",5
"org.apache.log4j.joran.action.RootLoggerAction","1,67",5
"org.apache.log4j.joran.action.SubstitutionPropertyAction","1,00",2
"org.apache.log4j.joran.spi.ActionException","1,00",4
"org.apache.log4j.joran.spi.ExecutionContext","1,33",20
"org.apache.log4j.joran.spi.Interpreter","1,68",47
"org.apache.log4j.joran.spi.JoranDocument","1,82",20
"org.apache.log4j.joran.spi.JoranDocument.ElementEvent","1,67",5
"org.apache.log4j.joran.spi.JoranDocument.EndElementEvent","1,00",2
"org.apache.log4j.joran.spi.JoranDocument.StartElementEvent","1,00",2
"org.apache.log4j.joran.spi.Pattern","2,42",29
"org.apache.log4j.joran.spi.SimpleRuleStore","2,40",12
"org.apache.log4j.lbel.LBELEventEvaluator","3,00",12
"org.apache.log4j.lbel.Node","1,40",14
"org.apache.log4j.lbel.Operator","3,75",15
"org.apache.log4j.lbel.Parser","4,15",54
"org.apache.log4j.lbel.ScanError","1,00",3
"org.apache.log4j.lbel.Token","4,80",24
"org.apache.log4j.lbel.TokenStream","6,75",27
"org.apache.log4j.lbel.comparator.ClassComparator","1,00",2
"org.apache.log4j.lbel.comparator.LevelComparator","4,00",8
"org.apache.log4j.lbel.comparator.LoggerComparator","1,00",2
