Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.log4j.AppenderSkeleton",120,11,171,53,421
"org.apache.log4j.AsyncAppender",1,9,174,6,7
"org.apache.log4j.AsyncAppender.DiscardSummary",0,2,172,2,8
"org.apache.log4j.AsyncAppender.Dispatcher",1,6,174,1,7
"org.apache.log4j.BasicConfigurator",0,6,172,8,9
"org.apache.log4j.Category",120,13,171,109,421
"org.apache.log4j.CategoryKey",0,0,0,1,422
"org.apache.log4j.ConsoleAppender",120,7,171,13,421
"org.apache.log4j.ConsoleAppender.SystemErrStream",0,0,0,1,422
"org.apache.log4j.ConsoleAppender.SystemOutStream",0,0,0,1,422
"org.apache.log4j.DailyRollingFileAppender",1,8,174,2,2
"org.apache.log4j.DefaultLoggerFactory",120,2,171,3,421
"org.apache.log4j.Dispatcher",0,4,176,0,0
"org.apache.log4j.FileAppender",0,6,172,22,36
"org.apache.log4j.HTMLLayout",0,12,173,2,3
"org.apache.log4j.Hierarchy",120,24,171,9,421
"org.apache.log4j.Layout",120,3,171,50,421
"org.apache.log4j.Level",1,1,1,92,430
"org.apache.log4j.LogManager",120,13,171,60,421
"org.apache.log4j.Logger",120,7,171,137,421
"org.apache.log4j.MDC",0,1,1,10,422
"org.apache.log4j.NDC",0,1,1,12,422
"org.apache.log4j.NDC.DiagnosticContext",0,0,0,1,423
"org.apache.log4j.PatternLayout",120,8,171,31,421
"org.apache.log4j.Priority",1,1,1,49,430
"org.apache.log4j.PropertyConfigurator",120,25,171,16,421
"org.apache.log4j.ProvisionNode",120,1,171,1,421
"org.apache.log4j.RollingCalendar",1,1,174,2,2
"org.apache.log4j.RollingFileAppender",0,8,174,4,6
"org.apache.log4j.SimpleLayout",0,3,172,10,14
"org.apache.log4j.TTCCLayout",0,5,174,2,3
"org.apache.log4j.WriterAppender",120,9,171,14,421
"org.apache.log4j.WriterAppender.DefaultErrorHandler",120,8,171,1,421
"org.apache.log4j.concurrent.ConcurrentAppender",0,15,181,10,11
"org.apache.log4j.concurrent.ConcurrentAppender.FilterChain",0,2,172,1,12
"org.apache.log4j.concurrent.ConsoleAppender",0,7,185,1,1
"org.apache.log4j.concurrent.ConsoleAppender.SystemErrStream",0,0,0,1,2
"org.apache.log4j.concurrent.ConsoleAppender.SystemOutStream",0,0,0,1,2
"org.apache.log4j.concurrent.FileAppender",0,6,183,3,4
"org.apache.log4j.concurrent.ReentrantWriterPreferenceReadWriteLock",0,2,6,1,12
"org.apache.log4j.concurrent.RollingFileAppender",1,14,189,2,2
"org.apache.log4j.concurrent.RollingFileAppender.CountingOutputStream",1,2,189,1,2
"org.apache.log4j.concurrent.SynchronizedBoolean",0,0,0,3,13
"org.apache.log4j.concurrent.WriterAppender",0,9,182,4,8
"org.apache.log4j.concurrent.WriterPreferenceReadWriteLock",2,5,5,3,15
"org.apache.log4j.concurrent.WriterPreferenceReadWriteLock.ReaderLock",2,4,5,2,15
"org.apache.log4j.concurrent.WriterPreferenceReadWriteLock.Signaller",0,0,0,4,16
"org.apache.log4j.concurrent.WriterPreferenceReadWriteLock.WriterLock",2,4,5,2,15
"org.apache.log4j.config.ConfiguratorBase",120,14,171,11,421
"org.apache.log4j.config.PropertyGetter",0,5,173,1,1
"org.apache.log4j.config.PropertyPrinter",0,8,174,0,0
"org.apache.log4j.config.PropertySetter",120,9,171,6,421
"org.apache.log4j.config.PropertySetterException",0,0,0,1,422
"org.apache.log4j.db.ConnectionSourceSkeleton",0,4,180,3,3
"org.apache.log4j.db.CustomSQLDBReceiver",1,9,177,1,1
"org.apache.log4j.db.CustomSQLDBReceiver.CustomReceiverJob",1,12,177,1,1
"org.apache.log4j.db.DBAppender",0,11,181,0,0
