Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"org.apache.log4j.Appender.addFilter(Filter)",n/a,7,2,n/a,n/a,1,n/a,n/a
"org.apache.log4j.Appender.clearFilters()",n/a,2,2,n/a,n/a,0,n/a,n/a
"org.apache.log4j.Appender.close()",n/a,7,23,n/a,n/a,0,n/a,n/a
"org.apache.log4j.Appender.doAppend(LoggingEvent)",n/a,2,4,n/a,n/a,1,n/a,n/a
"org.apache.log4j.Appender.getErrorHandler()",n/a,0,2,n/a,n/a,0,n/a,n/a
"org.apache.log4j.Appender.getFilter()",n/a,0,2,n/a,n/a,0,n/a,n/a
"org.apache.log4j.Appender.getLayout()",n/a,4,2,n/a,n/a,0,n/a,n/a
"org.apache.log4j.Appender.getName()",n/a,14,2,n/a,n/a,0,n/a,n/a
"org.apache.log4j.Appender.requiresLayout()",n/a,0,24,n/a,n/a,0,n/a,n/a
"org.apache.log4j.Appender.setErrorHandler(ErrorHandler)",n/a,0,3,n/a,n/a,1,n/a,n/a
"org.apache.log4j.Appender.setLayout(Layout)",n/a,3,2,n/a,n/a,1,n/a,n/a
"org.apache.log4j.Appender.setName(String)",n/a,9,2,n/a,n/a,1,n/a,n/a
"org.apache.log4j.AppenderSkeleton.AppenderSkeleton()",0,1,n/a,10,0,0,1,1
"org.apache.log4j.AppenderSkeleton.AppenderSkeleton(boolean)",0,27,n/a,8,0,1,1,1
"org.apache.log4j.AppenderSkeleton.activateOptions()",0,38,n/a,7,0,0,1,1
"org.apache.log4j.AppenderSkeleton.addFilter(Filter)",1,7,n/a,14,1,1,5,2
"org.apache.log4j.AppenderSkeleton.append(LoggingEvent)",n/a,2,22,n/a,n/a,1,n/a,n/a
"org.apache.log4j.AppenderSkeleton.clearFilters()",0,2,n/a,9,0,0,2,1
"org.apache.log4j.AppenderSkeleton.doAppend(LoggingEvent)",9,6,n/a,44,3,1,24,9
"org.apache.log4j.AppenderSkeleton.finalize()",3,3,n/a,15,1,0,4,2
"org.apache.log4j.AppenderSkeleton.getErrorHandler()",0,0,n/a,10,0,0,1,1
"org.apache.log4j.AppenderSkeleton.getFilter()",0,0,n/a,8,0,0,1,1
"org.apache.log4j.AppenderSkeleton.getFirstFilter()",0,0,n/a,7,0,0,1,1
"org.apache.log4j.AppenderSkeleton.getLayout()",0,13,n/a,6,0,0,1,1
"org.apache.log4j.AppenderSkeleton.getName()",0,23,n/a,6,0,0,1,1
"org.apache.log4j.AppenderSkeleton.getThreshold()",0,3,n/a,9,0,0,1,1
"org.apache.log4j.AppenderSkeleton.isActive()",0,8,n/a,8,0,0,1,2
"org.apache.log4j.AppenderSkeleton.isAsSevereAsThreshold(Level)",1,1,n/a,8,0,1,1,2
"org.apache.log4j.AppenderSkeleton.isAsSevereAsThreshold(Priority)",1,1,n/a,9,0,1,1,2
"org.apache.log4j.AppenderSkeleton.isClosed()",0,6,n/a,7,0,0,1,1
"org.apache.log4j.AppenderSkeleton.setErrorHandler(ErrorHandler)",0,0,n/a,9,0,1,0,1
"org.apache.log4j.AppenderSkeleton.setLayout(Layout)",0,44,n/a,8,0,1,1,1
"org.apache.log4j.AppenderSkeleton.setName(String)",0,32,n/a,6,0,1,1,1
"org.apache.log4j.AppenderSkeleton.setThreshold(Priority)",0,7,n/a,15,0,1,1,1
"org.apache.log4j.AsyncAppender.AsyncAppender()",8,13,n/a,19,0,0,7,1
"org.apache.log4j.AsyncAppender.DiscardSummary.DiscardSummary(LoggingEvent)",0,1,n/a,9,0,1,2,1
"org.apache.log4j.AsyncAppender.DiscardSummary.add(LoggingEvent)",4,1,n/a,11,1,1,3,2
"org.apache.log4j.AsyncAppender.DiscardSummary.createEvent()",6,1,n/a,17,0,0,2,1
"org.apache.log4j.AsyncAppender.Dispatcher.Dispatcher(AsyncAppender,List,Map,AppenderAttachableImpl)",0,1,n/a,16,0,4,4,1
"org.apache.log4j.AsyncAppender.Dispatcher.run()",18,0,n/a,63,5,0,28,9
"org.apache.log4j.AsyncAppender.addAppender(Appender)",1,10,n/a,10,1,1,2,1
"org.apache.log4j.AsyncAppender.append(LoggingEvent)",17,2,n/a,75,4,1,29,14
"org.apache.log4j.AsyncAppender.close()",10,17,n/a,36,4,0,14,5
"org.apache.log4j.AsyncAppender.getAllAppenders()",1,11,n/a,9,1,0,2,1
"org.apache.log4j.AsyncAppender.getAppender(String)",1,1,n/a,11,1,1,2,1
"org.apache.log4j.AsyncAppender.getBlocking()",0,2,n/a,10,0,0,1,1
"org.apache.log4j.AsyncAppender.getBufferSize()",0,2,n/a,7,0,0,1,1
"org.apache.log4j.AsyncAppender.getLocationInfo()",0,1,n/a,9,0,0,1,1
"org.apache.log4j.AsyncAppender.isAttached(Appender)",1,3,n/a,10,1,1,2,1
"org.apache.log4j.AsyncAppender.removeAllAppenders()",1,1,n/a,8,1,0,2,1
"org.apache.log4j.AsyncAppender.removeAppender(Appender)",1,2,n/a,9,1,1,2,1
"org.apache.log4j.AsyncAppender.removeAppender(String)",1,2,n/a,9,1,1,2,1
"org.apache.log4j.AsyncAppender.requiresLayout()",0,1,n/a,6,0,0,1,1
"org.apache.log4j.AsyncAppender.setBlocking(boolean)",1,3,n/a,12,1,1,3,1
"org.apache.log4j.AsyncAppender.setBufferSize(int)",2,4,n/a,24,1,1,5,3
"org.apache.log4j.AsyncAppender.setLocationInfo(boolean)",0,4,n/a,16,0,1,1,1
"org.apache.log4j.BasicConfigurator.BasicConfigurator()",0,0,n/a,2,0,0,0,1
"org.apache.log4j.BasicConfigurator.configure()",4,8,n/a,10,0,0,2,1
"org.apache.log4j.BasicConfigurator.configure(Appender)",2,2,n/a,8,0,1,2,1
"org.apache.log4j.BasicConfigurator.resetConfiguration()",1,1,n/a,8,0,0,1,1
"org.apache.log4j.Category.Category(String)",1,1,n/a,15,0,1,2,1
"org.apache.log4j.Category.addAppender(Appender)",5,95,n/a,23,2,1,7,2
"org.apache.log4j.Category.assertLog(boolean,String)",1,0,n/a,19,1,2,2,2
"org.apache.log4j.Category.callAppenders(LoggingEvent)",4,6,n/a,33,3,1,13,5
"org.apache.log4j.Category.closeNestedAppenders()",4,2,n/a,17,3,0,6,4
"org.apache.log4j.Category.debug(Object)",4,314,n/a,31,1,1,4,3
"org.apache.log4j.Category.debug(Object,Object)",6,30,n/a,30,2,2,8,4
"org.apache.log4j.Category.debug(Object,Throwable)",4,22,n/a,19,1,2,4,3
"org.apache.log4j.Category.debug(String,Object,Object)",5,23,n/a,22,1,3,5,3
"org.apache.log4j.Category.error(Object)",4,95,n/a,30,1,1,4,3
"org.apache.log4j.Category.error(Object,Object)",6,18,n/a,30,2,2,8,4
"org.apache.log4j.Category.error(Object,Throwable)",4,110,n/a,19,1,2,4,3
"org.apache.log4j.Category.error(String,Object,Object)",5,0,n/a,22,1,3,5,3
"org.apache.log4j.Category.exists(String)",1,0,n/a,10,0,1,1,1
"org.apache.log4j.Category.fatal(Object)",4,17,n/a,29,1,1,4,3
"org.apache.log4j.Category.fatal(Object,Object)",6,0,n/a,30,2,2,8,4
"org.apache.log4j.Category.fatal(Object,Throwable)",4,1,n/a,19,1,2,4,3
"org.apache.log4j.Category.forcedLog(String,Priority,Object,Throwable)",2,39,n/a,8,0,4,1,1
"org.apache.log4j.Category.getAdditivity()",0,1,n/a,6,0,0,1,1
"org.apache.log4j.Category.getAllAppenders()",4,12,n/a,21,2,0,8,2
