Package,C(rec),LOC(rec),METH(rec)
"",404,46.249,2.464
"org",404,46.249,2.464
"org.apache",404,46.249,2.464
"org.apache.log4j",404,46.249,2.464
"org.apache.log4j.concurrent",17,2.359,137
"org.apache.log4j.config",7,830,52
"org.apache.log4j.db",18,2.098,78
"org.apache.log4j.db.dialect",7,581,10
"org.apache.log4j.filter",10,802,43
"org.apache.log4j.helpers",40,3.803,186
"org.apache.log4j.jdbc",1,287,21
"org.apache.log4j.jmx",7,1.160,60
"org.apache.log4j.joran",39,2.618,163
"org.apache.log4j.joran.action",22,1.400,60
"org.apache.log4j.joran.spi",10,986,85
"org.apache.log4j.lbel",17,1.220,64
"org.apache.log4j.lbel.comparator",9,454,20
"org.apache.log4j.multiplex",8,253,27
"org.apache.log4j.net",41,5.679,369
"org.apache.log4j.net.test",4,354,15
"org.apache.log4j.nt",1,478,16
"org.apache.log4j.or",6,461,19
"org.apache.log4j.or.jms",1,79,2
"org.apache.log4j.or.sax",1,58,2
"org.apache.log4j.pattern",34,2.920,126
"org.apache.log4j.plugins",8,697,50
"org.apache.log4j.rolling",17,2.062,88
"org.apache.log4j.rolling.helper",6,546,23
"org.apache.log4j.rule",24,1.449,92
"org.apache.log4j.scheduler",3,237,15
"org.apache.log4j.selector",2,299,6
"org.apache.log4j.selector.servlet",1,86,2
"org.apache.log4j.spi",36,3.396,252
"org.apache.log4j.spi.location",2,302,11
"org.apache.log4j.test",n/a,1.212,n/a
"org.apache.log4j.test.witness",n/a,831,n/a
"org.apache.log4j.test.xml",n/a,381,n/a
"org.apache.log4j.varia",16,1.554,77
"org.apache.log4j.watchdog",3,392,21
"org.apache.log4j.xml",14,2.151,65
"org.apache.log4j.xml.examples",2,281,8
"org.apache.log4j.xml.test",1,94,4

