Package,v(G)avg,v(G)tot
"org.apache.log4j","1,93",776
"org.apache.log4j.concurrent","2,16",279
"org.apache.log4j.config","3,10",121
"org.apache.log4j.db","2,42",155
"org.apache.log4j.db.dialect","2,44",22
"org.apache.log4j.filter","1,91",82
"org.apache.log4j.helpers","2,74",502
"org.apache.log4j.jdbc","1,57",33
"org.apache.log4j.jmx","2,39",141
"org.apache.log4j.joran","1,42",17
"org.apache.log4j.joran.action","2,47",136
"org.apache.log4j.joran.spi","1,95",160
"org.apache.log4j.lbel","3,53",152
"org.apache.log4j.lbel.comparator","2,89",52
"org.apache.log4j.multiplex","1,21",23
"org.apache.log4j.net","2,09",725
"org.apache.log4j.net.test","1,93",29
"org.apache.log4j.nt","1,62",26
"org.apache.log4j.or","2,21",31
"org.apache.log4j.or.jms","3,50",7
"org.apache.log4j.or.sax","2,50",5
"org.apache.log4j.pattern","2,30",283
"org.apache.log4j.plugins","1,51",53
"org.apache.log4j.rolling","2,33",135
"org.apache.log4j.rolling.helper","2,53",48
"org.apache.log4j.rule","2,24",199
"org.apache.log4j.scheduler","2,57",36
"org.apache.log4j.selector","2,50",10
"org.apache.log4j.selector.servlet","3,50",7
"org.apache.log4j.spi","1,76",290
"org.apache.log4j.spi.location","3,55",39
"org.apache.log4j.varia","2,07",157
"org.apache.log4j.watchdog","2,12",36
"org.apache.log4j.xml","3,58",186
"org.apache.log4j.xml.examples","1,12",9
"org.apache.log4j.xml.test","1,25",5

