Chidamber-Kemerer metrics,Seg, 11 dez 2017 18:40:55 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"conf.ConfLoader",1,0,0,0,0,0
"org.apache.lucene.LucenePackage",2,0,1,0,2,2
"org.apache.lucene.TestAssertions",8,1,1,0,1,1
"org.apache.lucene.TestAssertions.TestAnalyzer1",3,1,2,0,2,2
"org.apache.lucene.TestAssertions.TestAnalyzer2",3,1,2,0,2,2
"org.apache.lucene.TestAssertions.TestAnalyzer3",3,1,2,0,2,2
"org.apache.lucene.TestAssertions.TestAnalyzer4",3,1,2,0,2,2
"org.apache.lucene.TestAssertions.TestTokenStream1",2,2,1,0,1,1
"org.apache.lucene.TestAssertions.TestTokenStream2",2,2,1,0,1,1
"org.apache.lucene.TestAssertions.TestTokenStream3",2,2,1,0,1,1
"org.apache.lucene.TestDemo",18,1,1,0,20,3
"org.apache.lucene.TestMergeSchedulerExternal",17,1,1,0,28,3
"org.apache.lucene.TestMergeSchedulerExternal.FailOnlyOnMerge",4,1,1,0,1,3
"org.apache.lucene.TestMergeSchedulerExternal.MyMergeScheduler",6,2,3,0,7,3
"org.apache.lucene.TestMergeSchedulerExternal.MyMergeScheduler.MyMergeThread",5,1,0,0,2,1
"org.apache.lucene.TestMergeSchedulerExternal.ReportingMergeScheduler",6,1,2,0,6,4
"org.apache.lucene.TestSearch",21,1,2,0,29,7
"org.apache.lucene.TestSearchForDuplicates",22,1,1,0,31,11
"org.apache.lucene.analysis.ASCIIFoldingFilter",14,3,1,0,10,240
"org.apache.lucene.analysis.Analyzer",417,0,5,117,14,12
"org.apache.lucene.analysis.BaseCharFilter",8,2,1,4,6,15
"org.apache.lucene.analysis.BaseTokenStreamTestCase",11,1,1,169,51,59
"org.apache.lucene.analysis.BaseTokenStreamTestCase.AnalysisThread",3,0,1,0,4,2
"org.apache.lucene.analysis.BaseTokenStreamTestCase.CheckClearAttributesAttribute",n/a,n/a,n/a,n/a,1,n/a
"org.apache.lucene.analysis.BaseTokenStreamTestCase.CheckClearAttributesAttributeImpl",2,1,1,0,5,5
"org.apache.lucene.analysis.CachingTokenFilter",16,3,1,0,10,10
"org.apache.lucene.analysis.CannedTokenStream",11,2,1,0,14,3
"org.apache.lucene.analysis.CharArrayMap",22,0,7,1,39,78
"org.apache.lucene.analysis.CharArrayMap.EmptyCharArrayMap",3,2,6,0,9,13
"org.apache.lucene.analysis.CharArrayMap.EntryIterator",6,0,2,0,10,11
"org.apache.lucene.analysis.CharArrayMap.EntrySet",5,0,4,0,9,9
"org.apache.lucene.analysis.CharArrayMap.MapEntry",3,0,1,0,6,7
"org.apache.lucene.analysis.CharArrayMap.UnmodifiableCharArrayMap",4,1,7,1,10,8
"org.apache.lucene.analysis.CharArraySet",131,0,1,1,36,30
"org.apache.lucene.analysis.CharArraySet.CharArraySetIterator",5,0,2,0,6,7
"org.apache.lucene.analysis.CharFilter",10,1,1,6,9,8
"org.apache.lucene.analysis.CharReader",21,1,3,0,8,9
"org.apache.lucene.analysis.CharStream",30,0,1,3,1,0
"org.apache.lucene.analysis.CharTokenizer",25,3,2,10,35,35
"org.apache.lucene.analysis.CollationTestBase",35,1,2,6,45,20
"org.apache.lucene.analysis.EmptyTokenizer",1,3,1,0,3,2
"org.apache.lucene.analysis.FilteringTokenFilter",17,3,1,5,12,13
"org.apache.lucene.analysis.ISOLatin1AccentFilter",8,3,1,0,8,43
"org.apache.lucene.analysis.KeywordAnalyzer",14,2,1,0,4,2
"org.apache.lucene.analysis.KeywordMarkerFilter",48,3,1,0,10,6
"org.apache.lucene.analysis.KeywordTokenizer",84,3,1,0,18,11
"org.apache.lucene.analysis.LengthFilter",7,4,1,0,5,3
"org.apache.lucene.analysis.LetterTokenizer",8,4,1,4,10,7
"org.apache.lucene.analysis.LimitTokenCountAnalyzer",6,1,1,0,11,6
"org.apache.lucene.analysis.LimitTokenCountFilter",4,3,1,0,6,4
"org.apache.lucene.analysis.LowerCaseFilter",67,3,1,0,9,5
"org.apache.lucene.analysis.LowerCaseTokenizer",33,5,1,0,10,7
"org.apache.lucene.analysis.MappingCharFilter",12,3,1,0,12,30
"org.apache.lucene.analysis.MockAnalyzer",355,1,2,0,18,18
"org.apache.lucene.analysis.MockAnalyzer.SavedStreams",4,0,0,0,0,0
"org.apache.lucene.analysis.MockCharFilter",4,1,1,0,6,13
"org.apache.lucene.analysis.MockFixedLengthPayloadFilter",9,3,1,0,7,3
"org.apache.lucene.analysis.MockReaderWrapper",3,0,4,0,9,11
"org.apache.lucene.analysis.MockTokenizer",8,3,1,0,21,26
"org.apache.lucene.analysis.MockTokenizer.State",1,n/a,0,n/a,0,0
"org.apache.lucene.analysis.MockVariableLengthPayloadFilter",7,3,1,0,8,3
"org.apache.lucene.analysis.NormalizeCharMap",8,0,1,0,1,5
"org.apache.lucene.analysis.NumericTokenStream",12,2,1,0,25,23
"org.apache.lucene.analysis.PayloadSetter",6,3,1,0,7,3
"org.apache.lucene.analysis.PerFieldAnalyzerWrapper",9,1,1,0,13,13
"org.apache.lucene.analysis.PorterStemFilter",14,3,1,0,12,4
"org.apache.lucene.analysis.PorterStemmer",4,0,1,0,29,155
"org.apache.lucene.analysis.ReusableAnalyzerBase",20,1,1,206,8,4
"org.apache.lucene.analysis.ReusableAnalyzerBase.TokenStreamComponents",142,0,2,3,5,4
"org.apache.lucene.analysis.SimpleAnalyzer",19,2,1,0,5,3
"org.apache.lucene.analysis.StopAnalyzer",37,3,1,0,11,5
"org.apache.lucene.analysis.StopFilter",62,4,3,0,21,16
"org.apache.lucene.analysis.StopwordAnalyzerBase",54,2,3,35,12,7
"org.apache.lucene.analysis.TeeSinkTokenFilter",14,3,1,0,19,18
"org.apache.lucene.analysis.TeeSinkTokenFilter.SinkFilter",10,0,2,10,2,1
"org.apache.lucene.analysis.TeeSinkTokenFilter.SinkTokenStream",10,2,3,0,10,11
"org.apache.lucene.analysis.TestASCIIFoldingFilter",13,2,2,0,13,11
"org.apache.lucene.analysis.TestAnalyzers",21,2,4,0,32,14
"org.apache.lucene.analysis.TestAnalyzers.LowerCaseWhitespaceAnalyzer",6,1,1,0,3,1
"org.apache.lucene.analysis.TestAnalyzers.LowerCaseWhitespaceAnalyzerBWComp",5,1,1,0,3,1
"org.apache.lucene.analysis.TestCachingTokenFilter",17,2,1,0,24,5
"org.apache.lucene.analysis.TestCharArrayMap",6,1,1,0,29,12
"org.apache.lucene.analysis.TestCharArraySet",5,1,1,0,34,55
"org.apache.lucene.analysis.TestCharFilter",5,1,4,0,9,4
"org.apache.lucene.analysis.TestCharFilter.CharFilter1",3,2,1,0,3,2
"org.apache.lucene.analysis.TestCharFilter.CharFilter2",3,2,1,0,3,2
"org.apache.lucene.analysis.TestCharTokenizers",15,2,1,0,27,31
"org.apache.lucene.analysis.TestCharTokenizers.TestingCharTokenizer",3,4,2,0,4,3
"org.apache.lucene.analysis.TestCharTokenizers.TestingCharTokenizerNormalize",3,4,2,0,4,3
"org.apache.lucene.analysis.TestCharTokenizers.TestingCharTokenizerNormalizeIsTokenChar",3,4,4,0,6,5
"org.apache.lucene.analysis.TestClassicAnalyzer",16,2,3,0,55,30
"org.apache.lucene.analysis.TestDuelingAnalyzers",14,1,1,0,25,22
"org.apache.lucene.analysis.TestISOLatin1AccentFilter",7,2,1,0,6,2
"org.apache.lucene.analysis.TestKeywordAnalyzer",25,2,3,0,35,5
"org.apache.lucene.analysis.TestKeywordMarkerFilter",7,2,1,0,9,2
"org.apache.lucene.analysis.TestKeywordMarkerFilter.LowerCaseFilterMock",6,3,1,0,8,4
"org.apache.lucene.analysis.TestLengthFilter",8,2,2,0,7,4
"org.apache.lucene.analysis.TestMappingCharFilter",11,2,1,0,21,16
"org.apache.lucene.analysis.TestMockAnalyzer",11,2,1,0,23,10
"org.apache.lucene.analysis.TestMockCharFilter",7,2,1,0,2,3
"org.apache.lucene.analysis.TestNumericTokenStream",6,2,2,0,12,7
"org.apache.lucene.analysis.TestPerFieldAnalzyerWrapper",9,2,1,0,7,1
"org.apache.lucene.analysis.TestPorterStemFilter",12,2,3,0,14,6
"org.apache.lucene.analysis.TestStandardAnalyzer",9,2,3,0,40,32
"org.apache.lucene.analysis.TestStopAnalyzer",9,2,3,0,13,8
"org.apache.lucene.analysis.TestStopFilter",17,2,1,0,22,20
"org.apache.lucene.analysis.TestStopFilter.MockSynonymFilter",7,3,1,0,12,6
"org.apache.lucene.analysis.TestTeeSinkTokenFilter",20,2,1,0,26,19
"org.apache.lucene.analysis.TestTeeSinkTokenFilter.ModuloSinkFilter",3,1,1,0,2,2
"org.apache.lucene.analysis.TestTeeSinkTokenFilter.ModuloTokenFilter",3,3,1,0,4,3
"org.apache.lucene.analysis.TestToken",18,1,8,0,36,16
"org.apache.lucene.analysis.TestToken.SenselessAttribute",n/a,n/a,n/a,n/a,0,n/a
"org.apache.lucene.analysis.TestToken.SenselessAttributeImpl",3,1,2,0,4,4
"org.apache.lucene.analysis.TestTypeTokenFilter",12,2,1,0,19,10
"org.apache.lucene.analysis.TestUAX29URLEmailAnalyzer",5,2,3,0,38,32
"org.apache.lucene.analysis.TestUAX29URLEmailTokenizer",11,2,4,0,42,54
