Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"conf.ConfLoader",1,0,0,0,0,0,0,0,19,2,0,0,0,n/a,0,0,0
"org.apache.lucene.LucenePackage",2,0,2,2,0,0,0,1,8,6,0,0,0,"1,00",1,2,2
"org.apache.lucene.analysis.ASCIIFoldingFilter",12,8,38,46,26,3,0,1,2.015,1.960,0,24,0,"60,00",2,10,240
"org.apache.lucene.analysis.Analyzer",250,1,9,10,29,0,0,5,116,63,33,0,0,"1,50",6,14,12
"org.apache.lucene.analysis.BaseCharFilter",8,4,13,17,13,2,0,1,107,54,4,6,1,"3,75",2,6,15
"org.apache.lucene.analysis.CachingTokenFilter",10,8,39,47,26,3,0,1,53,40,0,20,2,"2,00",1,10,10
"org.apache.lucene.analysis.CharArrayMap",21,10,31,41,13,0,0,7,405,306,1,0,0,"2,23",26,39,78
"org.apache.lucene.analysis.CharArrayMap.EmptyCharArrayMap",3,8,43,51,13,2,0,6,46,41,0,19,6,"1,86",6,9,13
"org.apache.lucene.analysis.CharArrayMap.EntryIterator",4,3,9,12,13,0,0,2,47,41,0,0,0,"1,22",6,10,11
"org.apache.lucene.analysis.CharArrayMap.EntrySet",3,1,6,7,13,0,0,4,36,35,0,0,0,"1,50",4,9,9
"org.apache.lucene.analysis.CharArrayMap.MapEntry",3,2,5,7,13,0,0,1,29,27,0,0,0,"1,40",4,6,7
"org.apache.lucene.analysis.CharArrayMap.UnmodifiableCharArrayMap",4,8,36,44,13,1,0,7,34,33,1,15,7,"1,00",6,10,8
"org.apache.lucene.analysis.CharArraySet",111,3,20,23,13,0,0,1,240,101,1,0,0,"1,50",14,36,30
"org.apache.lucene.analysis.CharArraySet.CharArraySetIterator",3,2,6,8,13,0,0,2,34,27,0,0,0,"1,17",3,6,7
"org.apache.lucene.analysis.CharFilter",6,1,9,10,1,1,0,1,49,33,2,0,0,"1,00",4,9,8
"org.apache.lucene.analysis.CharReader",9,1,9,10,1,1,0,3,40,34,0,0,0,"1,12",4,8,9
"org.apache.lucene.analysis.CharStream",18,0,1,1,0,0,0,1,19,3,2,0,0,n/a,1,1,0
"org.apache.lucene.analysis.CharTokenizer",16,18,54,72,33,3,0,2,333,169,4,22,2,"2,33",7,35,35
"org.apache.lucene.analysis.FilteringTokenFilter",11,8,40,48,27,3,0,1,77,49,5,22,1,"2,60",3,12,13
"org.apache.lucene.analysis.ISOLatin1AccentFilter",6,8,37,45,26,3,0,1,229,198,0,24,0,"14,33",1,8,43
"org.apache.lucene.analysis.KeywordAnalyzer",8,1,15,16,36,2,0,1,12,8,0,9,0,"1,00",1,4,2
"org.apache.lucene.analysis.KeywordMarkerFilter",44,8,37,45,40,3,0,1,52,25,0,24,0,"2,00",1,10,6
"org.apache.lucene.analysis.KeywordTokenizer",71,10,46,56,28,3,0,1,56,52,0,22,2,"1,57",1,18,11
"org.apache.lucene.analysis.LengthFilter",5,11,43,54,28,4,0,1,34,19,0,28,0,"1,00",1,5,3
"org.apache.lucene.analysis.LetterTokenizer",7,14,61,75,34,4,0,1,96,27,2,30,1,"1,00",1,10,7
"org.apache.lucene.analysis.LimitTokenCountAnalyzer",4,3,15,18,32,1,0,1,39,32,0,3,3,"1,00",5,11,6
"org.apache.lucene.analysis.LimitTokenCountFilter",4,7,37,44,26,3,0,1,28,21,0,22,1,"1,33",1,6,4
"org.apache.lucene.analysis.LowerCaseFilter",54,7,37,44,31,3,0,1,44,26,0,24,0,"1,67",1,9,5
"org.apache.lucene.analysis.LowerCaseTokenizer",13,14,68,82,35,5,0,1,99,27,0,31,1,"1,00",1,10,7
"org.apache.lucene.analysis.MappingCharFilter",9,9,21,30,16,3,0,1,104,96,0,9,1,"3,75",4,12,30
"org.apache.lucene.analysis.NormalizeCharMap",5,3,1,4,0,0,0,1,37,25,0,0,0,"5,00",0,1,5
"org.apache.lucene.analysis.NumericTokenStream",9,13,42,55,30,2,0,1,202,95,0,19,2,"1,92",7,25,23
"org.apache.lucene.analysis.PerFieldAnalyzerWrapper",3,3,17,20,30,1,0,1,99,51,0,3,3,"1,62",5,13,13
"org.apache.lucene.analysis.PorterStemFilter",10,8,36,44,28,3,0,1,40,16,0,24,0,"2,00",1,12,4
"org.apache.lucene.analysis.PorterStemmer",4,7,27,34,11,0,0,1,438,333,0,0,0,"5,74",15,29,155
"org.apache.lucene.analysis.ReusableAnalyzerBase",13,1,13,14,33,1,0,1,75,24,157,5,1,"1,33",4,8,4
"org.apache.lucene.analysis.ReusableAnalyzerBase.TokenStreamComponents",117,2,4,6,27,0,0,2,61,20,3,0,0,"1,00",2,5,4
