Class,OCavg,WMC
"conf.ConfLoader",n/a,0
"org.apache.lucene.LucenePackage","1,00",2
"org.apache.lucene.TestAssertions","1,00",1
"org.apache.lucene.TestAssertions.TestAnalyzer1","1,00",2
"org.apache.lucene.TestAssertions.TestAnalyzer2","1,00",2
"org.apache.lucene.TestAssertions.TestAnalyzer3","1,00",2
"org.apache.lucene.TestAssertions.TestAnalyzer4","1,00",2
"org.apache.lucene.TestAssertions.TestTokenStream1","1,00",1
"org.apache.lucene.TestAssertions.TestTokenStream2","1,00",1
"org.apache.lucene.TestAssertions.TestTokenStream3","1,00",1
"org.apache.lucene.TestDemo","3,00",3
"org.apache.lucene.TestMergeSchedulerExternal","1,50",3
"org.apache.lucene.TestMergeSchedulerExternal.FailOnlyOnMerge","3,00",3
"org.apache.lucene.TestMergeSchedulerExternal.MyMergeScheduler","1,00",3
"org.apache.lucene.TestMergeSchedulerExternal.MyMergeScheduler.MyMergeThread","1,00",1
"org.apache.lucene.TestMergeSchedulerExternal.ReportingMergeScheduler","2,00",4
"org.apache.lucene.TestSearch","2,33",7
"org.apache.lucene.TestSearchForDuplicates","2,75",11
"org.apache.lucene.analysis.ASCIIFoldingFilter","60,00",240
"org.apache.lucene.analysis.Analyzer","1,50",12
"org.apache.lucene.analysis.BaseCharFilter","3,75",15
"org.apache.lucene.analysis.BaseTokenStreamTestCase","2,27",59
"org.apache.lucene.analysis.BaseTokenStreamTestCase.AnalysisThread","1,00",2
"org.apache.lucene.analysis.BaseTokenStreamTestCase.CheckClearAttributesAttributeImpl","1,00",5
"org.apache.lucene.analysis.CachingTokenFilter","2,00",10
"org.apache.lucene.analysis.CannedTokenStream","1,50",3
"org.apache.lucene.analysis.CharArrayMap","2,23",78
"org.apache.lucene.analysis.CharArrayMap.EmptyCharArrayMap","1,86",13
"org.apache.lucene.analysis.CharArrayMap.EntryIterator","1,22",11
"org.apache.lucene.analysis.CharArrayMap.EntrySet","1,50",9
"org.apache.lucene.analysis.CharArrayMap.MapEntry","1,40",7
"org.apache.lucene.analysis.CharArrayMap.UnmodifiableCharArrayMap","1,00",8
"org.apache.lucene.analysis.CharArraySet","1,50",30
"org.apache.lucene.analysis.CharArraySet.CharArraySetIterator","1,17",7
"org.apache.lucene.analysis.CharFilter","1,00",8
"org.apache.lucene.analysis.CharReader","1,12",9
"org.apache.lucene.analysis.CharStream",n/a,0
"org.apache.lucene.analysis.CharTokenizer","2,33",35
"org.apache.lucene.analysis.CollationTestBase","2,50",20
"org.apache.lucene.analysis.EmptyTokenizer","1,00",2
"org.apache.lucene.analysis.FilteringTokenFilter","2,60",13
"org.apache.lucene.analysis.ISOLatin1AccentFilter","14,33",43
"org.apache.lucene.analysis.KeywordAnalyzer","1,00",2
"org.apache.lucene.analysis.KeywordMarkerFilter","2,00",6
"org.apache.lucene.analysis.KeywordTokenizer","1,57",11
"org.apache.lucene.analysis.LengthFilter","1,00",3
"org.apache.lucene.analysis.LetterTokenizer","1,00",7
"org.apache.lucene.analysis.LimitTokenCountAnalyzer","1,00",6
"org.apache.lucene.analysis.LimitTokenCountFilter","1,33",4
"org.apache.lucene.analysis.LowerCaseFilter","1,67",5
"org.apache.lucene.analysis.LowerCaseTokenizer","1,00",7
"org.apache.lucene.analysis.MappingCharFilter","3,75",30
"org.apache.lucene.analysis.MockAnalyzer","2,00",18
"org.apache.lucene.analysis.MockAnalyzer.SavedStreams",n/a,0
"org.apache.lucene.analysis.MockCharFilter","2,17",13
"org.apache.lucene.analysis.MockFixedLengthPayloadFilter","1,50",3
"org.apache.lucene.analysis.MockReaderWrapper","1,38",11
"org.apache.lucene.analysis.MockTokenizer","2,17",26
"org.apache.lucene.analysis.MockTokenizer.State",n/a,0
"org.apache.lucene.analysis.MockVariableLengthPayloadFilter","1,50",3
"org.apache.lucene.analysis.NormalizeCharMap","5,00",5
"org.apache.lucene.analysis.NumericTokenStream","1,92",23
"org.apache.lucene.analysis.PayloadSetter","1,50",3
"org.apache.lucene.analysis.PerFieldAnalyzerWrapper","1,62",13
"org.apache.lucene.analysis.PorterStemFilter","2,00",4
"org.apache.lucene.analysis.PorterStemmer","5,74",155
"org.apache.lucene.analysis.ReusableAnalyzerBase","1,33",4
"org.apache.lucene.analysis.ReusableAnalyzerBase.TokenStreamComponents","1,00",4
"org.apache.lucene.analysis.SimpleAnalyzer","1,00",3
"org.apache.lucene.analysis.StopAnalyzer","1,00",5
"org.apache.lucene.analysis.StopFilter","1,07",16
"org.apache.lucene.analysis.StopwordAnalyzerBase","1,17",7
"org.apache.lucene.analysis.TeeSinkTokenFilter","2,25",18
"org.apache.lucene.analysis.TeeSinkTokenFilter.SinkFilter","1,00",1
"org.apache.lucene.analysis.TeeSinkTokenFilter.SinkTokenStream","1,57",11
"org.apache.lucene.analysis.TestASCIIFoldingFilter","1,57",11
"org.apache.lucene.analysis.TestAnalyzers","1,17",14
"org.apache.lucene.analysis.TestAnalyzers.LowerCaseWhitespaceAnalyzer","1,00",1
"org.apache.lucene.analysis.TestAnalyzers.LowerCaseWhitespaceAnalyzerBWComp","1,00",1
"org.apache.lucene.analysis.TestCachingTokenFilter","1,67",5
"org.apache.lucene.analysis.TestCharArrayMap","2,40",12
"org.apache.lucene.analysis.TestCharArraySet","3,06",55
"org.apache.lucene.analysis.TestCharFilter","1,00",4
