Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.lucene.analysis.BaseTokenStreamTestCase.CheckClearAttributesAttribute",0,1,1,3,186
"org.apache.lucene.analysis.TestToken.SenselessAttribute",0,1,1,2,2
"org.apache.lucene.analysis.compound.TestCompoundWordTokenFilter.MockRetainAttribute",0,1,1,3,3
"org.apache.lucene.analysis.compound.hyphenation.PatternConsumer",0,0,0,0,0
"org.apache.lucene.analysis.icu.tokenattributes.ScriptAttribute",0,1,1,1,2
"org.apache.lucene.analysis.ja.dict.Dictionary",0,0,0,3,18
"org.apache.lucene.analysis.ja.tokenattributes.BaseFormAttribute",0,2,4,1,2
"org.apache.lucene.analysis.ja.tokenattributes.InflectionAttribute",0,2,4,0,0
"org.apache.lucene.analysis.ja.tokenattributes.PartOfSpeechAttribute",0,2,4,1,2
"org.apache.lucene.analysis.ja.tokenattributes.ReadingAttribute",0,2,4,1,2
"org.apache.lucene.analysis.payloads.PayloadEncoder",0,1,12,1,1
"org.apache.lucene.analysis.standard.StandardTokenizerInterface",0,1,2,9,204
"org.apache.lucene.analysis.tokenattributes.CharTermAttribute",0,1,1,286,3.550
"org.apache.lucene.analysis.tokenattributes.FlagsAttribute",0,1,1,24,646
"org.apache.lucene.analysis.tokenattributes.KeywordAttribute",0,1,1,45,163
"org.apache.lucene.analysis.tokenattributes.OffsetAttribute",0,1,1,115,3.176
"org.apache.lucene.analysis.tokenattributes.PayloadAttribute",0,2,13,63,2.926
"org.apache.lucene.analysis.tokenattributes.PositionIncrementAttribute",0,1,1,110,3.090
"org.apache.lucene.analysis.tokenattributes.PositionLengthAttribute",0,1,1,4,188
"org.apache.lucene.analysis.tokenattributes.TermAttribute",0,1,1,6,3.547
"org.apache.lucene.analysis.tokenattributes.TypeAttribute",0,1,1,66,3.043
"org.apache.lucene.benchmark.byTask.feeds.HTMLParser",0,0,0,0,0
"org.apache.lucene.benchmark.byTask.feeds.QueryMaker",0,2,420,7,88
"org.apache.lucene.benchmark.byTask.feeds.demohtml.HTMLParserConstants",0,0,0,0,0
"org.apache.lucene.benchmark.quality.Judge",0,0,0,2,3
"org.apache.lucene.benchmark.quality.QualityQueryParser",0,2,421,2,3
"org.apache.lucene.document.FieldSelector",0,1,1,37,2.864
"org.apache.lucene.document.Fieldable",0,2,26,115,3.047
"org.apache.lucene.facet.enhancements.CategoryEnhancement",1,6,35,8,16
"org.apache.lucene.facet.enhancements.params.EnhancementsIndexingParams",1,3,35,12,16
"org.apache.lucene.facet.index.attributes.CategoryAttribute",0,2,3,14,140
"org.apache.lucene.facet.index.attributes.CategoryProperty",0,0,0,17,144
"org.apache.lucene.facet.index.categorypolicy.OrdinalPolicy",0,1,2,6,108
"org.apache.lucene.facet.index.categorypolicy.PathPolicy",0,1,2,6,108
"org.apache.lucene.facet.index.params.FacetIndexingParams",0,3,6,33,105
"org.apache.lucene.facet.search.CategoryListIterator",0,0,0,8,95
"org.apache.lucene.facet.search.Heap",0,0,0,6,61
"org.apache.lucene.facet.search.ScoredDocIDs",0,1,2,15,24
"org.apache.lucene.facet.search.ScoredDocIDsIterator",0,0,0,8,17
"org.apache.lucene.facet.search.aggregator.Aggregator",0,0,0,10,61
"org.apache.lucene.facet.search.results.FacetResultNode",0,2,4,25,62
"org.apache.lucene.facet.search.results.IntermediateFacetResult",8,1,480,7,55
"org.apache.lucene.facet.search.sampling.SampleFixer",0,2,482,0,0
"org.apache.lucene.facet.taxonomy.TaxonomyReader",0,1,1,57,208
"org.apache.lucene.facet.taxonomy.TaxonomyReader.ChildrenArrays",0,0,0,6,210
"org.apache.lucene.facet.taxonomy.TaxonomyWriter",0,1,1,33,210
"org.apache.lucene.facet.taxonomy.directory.DirectoryTaxonomyWriter.OrdinalMap",0,0,0,5,47
"org.apache.lucene.facet.taxonomy.writercache.TaxonomyWriterCache",0,1,2,4,49
"org.apache.lucene.index.IndexDeletionPolicy",220,1,418,37,2.858
"org.apache.lucene.index.IndexReader.ReaderClosedListener",220,1,418,3,2.858
"org.apache.lucene.index.SegmentReader.CoreClosedListener",220,1,418,3,2.858
"org.apache.lucene.index.TermDocs",0,2,8,140,2.875
"org.apache.lucene.index.TermFreqVector",0,0,0,54,2.867
"org.apache.lucene.index.TermPositionVector",0,2,2,25,2.863
