Package,PDcy,PDpt
"",0,0
"backwards",0,0
"backwards.lib",0,0
"backwards.src.test-framework.java",0,0
"backwards.src.test-framework.java.org.apache.lucene.analysis",9,77
"backwards.src.test-framework.java.org.apache.lucene.index",10,38
"backwards.src.test-framework.java.org.apache.lucene.queryParser",12,3
"backwards.src.test-framework.java.org.apache.lucene.search",8,14
"backwards.src.test-framework.java.org.apache.lucene.store",3,24
"backwards.src.test-framework.java.org.apache.lucene.util",10,191
"backwards.src.test.org.apache.lucene",10,0
"backwards.src.test.org.apache.lucene.analysis",15,0
"backwards.src.test.org.apache.lucene.analysis.tokenattributes",5,0
"backwards.src.test.org.apache.lucene.collation",4,0
"backwards.src.test.org.apache.lucene.document",6,0
"backwards.src.test.org.apache.lucene.index",16,1
"backwards.src.test.org.apache.lucene.queryParser",14,0
"backwards.src.test.org.apache.lucene.search",20,0
"backwards.src.test.org.apache.lucene.search.function",12,0
"backwards.src.test.org.apache.lucene.search.payloads",16,0
"backwards.src.test.org.apache.lucene.search.spans",19,0
"backwards.src.test.org.apache.lucene.store",12,1
"backwards.src.test.org.apache.lucene.util",11,1
"backwards.src.test.org.apache.lucene.util.packed",3,0
"client",0,0
"client.ruby.flare",0,0
"client.ruby.flare.app.controllers",0,0
"client.ruby.flare.app.helpers",0,0
"client.ruby.flare.app.views.browse",0,0
"client.ruby.flare.app.views.document",0,0
"client.ruby.flare.app.views.i18n",0,0
"client.ruby.flare.app.views.layouts",0,0
"client.ruby.flare.config",0,0
"client.ruby.flare.config.environments",0,0
"client.ruby.flare.db",0,0
"client.ruby.flare.lib.tasks",0,0
"client.ruby.flare.public",0,0
"client.ruby.flare.public.javascripts",0,0
"client.ruby.flare.public.plugin_assets",0,0
"client.ruby.flare.public.stylesheets",0,0
"client.ruby.flare.script",0,0
"client.ruby.flare.script.performance",0,0
"client.ruby.flare.script.process",0,0
"client.ruby.flare.test",0,0
"client.ruby.flare.test.functional",0,0
"client.ruby.flare.vendor.plugins.engines",0,0
"client.ruby.flare.vendor.plugins.engines.generators.plugin_migration",0,0
