Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.apache.nutch.crawl.AbstractFetchSchedule",4,3,17,20,19,0,1,4,189,75,2,0,0,"1,70",7,20,17
"org.apache.nutch.crawl.AdaptiveFetchSchedule",6,9,20,29,20,1,1,1,160,117,1,6,2,"7,00",1,16,21
"org.apache.nutch.crawl.CrawlDatum",70,43,37,80,18,0,0,3,449,385,0,0,0,"2,27",21,40,84
"org.apache.nutch.crawl.CrawlDatum.Comparator",2,0,2,2,18,0,0,1,37,36,0,0,0,"6,00",1,3,12
"org.apache.nutch.crawl.CrawlDb",21,10,16,26,61,1,0,2,258,247,0,4,0,"3,80",3,16,38
"org.apache.nutch.crawl.CrawlDbFilter",5,11,3,14,61,0,0,2,64,56,0,0,0,"3,00",0,8,9
"org.apache.nutch.crawl.CrawlDbMerger",8,1,6,7,63,0,0,2,111,91,0,0,0,"2,33",2,9,14
"org.apache.nutch.crawl.CrawlDbMerger.Merger",4,3,3,6,22,0,0,2,48,45,0,0,0,"3,00",0,9,9
"org.apache.nutch.crawl.CrawlDbReader",15,2,12,14,70,0,0,2,425,416,0,0,0,"6,67",4,25,80
"org.apache.nutch.crawl.CrawlDbReader.CrawlDatumCsvOutputFormat",3,0,1,1,20,0,0,1,9,9,0,0,0,"1,00",1,2,1
"org.apache.nutch.crawl.CrawlDbReader.CrawlDatumCsvOutputFormat.LineRecordWriter",4,1,3,4,19,0,0,1,55,55,0,0,0,"2,00",0,13,6
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbDumpMapper",2,5,3,8,19,0,0,2,52,48,0,0,0,"4,00",0,7,12
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatCombiner",1,1,4,5,0,0,0,3,38,38,0,0,0,"2,25",0,4,9
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatMapper",2,2,3,5,19,0,0,2,26,26,0,0,0,"1,33",0,6,4
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatReducer",1,0,3,3,0,0,0,3,51,49,0,0,0,"5,00",0,3,15
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbTopNMapper",2,2,3,5,19,0,0,2,18,18,0,0,0,"1,33",0,4,4
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbTopNReducer",1,2,3,5,0,0,0,2,19,19,0,0,0,"1,33",0,3,4
"org.apache.nutch.crawl.CrawlDbReducer",9,8,3,11,61,0,0,2,262,236,0,0,0,"19,33",0,31,58
"org.apache.nutch.crawl.DeduplicationJob",12,7,10,17,65,1,0,2,94,83,0,4,0,"2,33",2,8,7
"org.apache.nutch.crawl.DeduplicationJob.DBFilter",2,0,3,3,65,0,0,3,26,23,0,0,0,"1,67",0,6,5
