Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.nutch.crawl.AbstractFetchSchedule",0,2,19,2,55
"org.apache.nutch.crawl.AdaptiveFetchSchedule",0,5,20,1,1
"org.apache.nutch.crawl.CrawlDatum",2,5,18,67,109
"org.apache.nutch.crawl.CrawlDatum.Comparator",2,2,18,1,109
"org.apache.nutch.crawl.CrawlDb",2,11,61,12,49
"org.apache.nutch.crawl.CrawlDbFilter",2,4,61,2,49
"org.apache.nutch.crawl.CrawlDbMerger",0,8,63,0,0
"org.apache.nutch.crawl.CrawlDbMerger.Merger",0,3,22,1,1
"org.apache.nutch.crawl.CrawlDbReader",0,13,70,2,26
"org.apache.nutch.crawl.CrawlDbReader.CrawlDatumCsvOutputFormat",0,2,20,1,27
"org.apache.nutch.crawl.CrawlDbReader.CrawlDatumCsvOutputFormat.LineRecordWriter",0,3,19,1,28
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbDumpMapper",0,1,19,1,27
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatCombiner",0,0,0,1,27
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatMapper",0,1,19,1,27
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbStatReducer",0,0,0,1,27
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbTopNMapper",0,1,19,1,27
"org.apache.nutch.crawl.CrawlDbReader.CrawlDbTopNReducer",0,0,0,1,27
"org.apache.nutch.crawl.CrawlDbReducer",2,9,61,1,49
"org.apache.nutch.crawl.DeduplicationJob",2,11,65,3,28
"org.apache.nutch.crawl.DeduplicationJob.DBFilter",2,2,65,1,28
"org.apache.nutch.crawl.DeduplicationJob.DedupReducer",2,2,65,1,28
"org.apache.nutch.crawl.DeduplicationJob.StatusUpdateReducer",0,1,19,1,29
"org.apache.nutch.crawl.DefaultFetchSchedule",0,2,20,1,52
"org.apache.nutch.crawl.FetchScheduleFactory",0,3,21,3,51
"org.apache.nutch.crawl.Generator",2,18,78,6,33
"org.apache.nutch.crawl.Generator.CrawlDbUpdater",0,2,19,1,34
"org.apache.nutch.crawl.Generator.DecreasingFloatComparator",0,0,0,1,34
"org.apache.nutch.crawl.Generator.GeneratorOutputFormat",0,1,20,1,34
"org.apache.nutch.crawl.Generator.HashComparator",0,0,0,2,34
"org.apache.nutch.crawl.Generator.PartitionReducer",0,2,20,1,34
"org.apache.nutch.crawl.Generator.Selector",2,13,78,1,33
"org.apache.nutch.crawl.Generator.SelectorEntry",0,1,19,7,37
"org.apache.nutch.crawl.Generator.SelectorInverseMapper",0,1,20,1,34
"org.apache.nutch.crawl.Injector",2,10,64,4,28
"org.apache.nutch.crawl.Injector.InjectMapper",2,8,64,1,28
"org.apache.nutch.crawl.Injector.InjectReducer",2,2,64,1,28
"org.apache.nutch.crawl.Inlink",0,0,0,6,77
"org.apache.nutch.crawl.InlinkPriorityQueue",0,1,19,1,50
"org.apache.nutch.crawl.Inlinks",0,1,1,13,76
"org.apache.nutch.crawl.LinkDb",1,16,42,5,32
"org.apache.nutch.crawl.LinkDbFilter",0,4,21,2,33
"org.apache.nutch.crawl.LinkDbMerger",1,8,42,1,32
"org.apache.nutch.crawl.LinkDbReader",0,8,44,0,0
"org.apache.nutch.crawl.LinkDbReader.LinkDBDumpMapper",0,1,2,1,1
"org.apache.nutch.crawl.MD5Signature",0,3,20,3,29
"org.apache.nutch.crawl.MapWritable",0,6,22,0,0
"org.apache.nutch.crawl.MapWritable.ClassIdEntry",0,0,0,1,1
"org.apache.nutch.crawl.MapWritable.KeyValueEntry",0,0,0,1,1
"org.apache.nutch.crawl.MimeAdaptiveFetchSchedule",0,8,22,0,0
"org.apache.nutch.crawl.MimeAdaptiveFetchSchedule.AdaptiveRate",0,0,0,1,1
"org.apache.nutch.crawl.NutchWritable",0,14,35,12,49
"org.apache.nutch.crawl.Signature",0,2,19,9,30
