Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.nutch.crawl.FetchSchedule",2,1,18,9,109
"org.apache.nutch.indexer.IndexWriter",0,2,10,1,32
"org.apache.nutch.indexer.IndexingFilter",0,6,33,1,31
"org.apache.nutch.metadata.CreativeCommons",0,0,0,1,166
"org.apache.nutch.metadata.DublinCore",0,0,0,2,166
"org.apache.nutch.metadata.Feed",0,0,0,1,166
"org.apache.nutch.metadata.HttpHeaders",0,0,0,9,166
"org.apache.nutch.metadata.Nutch",0,0,0,23,167
"org.apache.nutch.net.URLFilter",0,1,1,3,69
"org.apache.nutch.net.URLNormalizer",0,0,0,2,68
"org.apache.nutch.net.protocols.Response",0,2,7,2,115
"org.apache.nutch.parse.HtmlParseFilter",0,4,21,1,1
"org.apache.nutch.parse.Parse",5,1,15,21,99
"org.apache.nutch.parse.Parser",0,3,20,3,29
"org.apache.nutch.plugin.Pluggable",0,0,0,7,88
"org.apache.nutch.protocol.Protocol",0,3,22,7,29
"org.apache.nutch.scoring.ScoringFilter",0,8,33,2,52
"org.apache.nutch.segment.SegmentMergeFilter",0,4,27,1,4
"org.apache.nutch.service.ConfManager",0,1,1,7,26
"org.apache.nutch.service.JobManager",0,3,4,5,26
"org.apache.nutch.service.NutchReader",0,1,1,4,30
"org.apache.nutch.tools.CommonCrawlFormat",0,3,19,3,7
"org.apache.nutch.webui.client.NutchClient",0,6,9,7,9
"org.apache.nutch.webui.client.impl.CrawlingCycleListener",0,2,9,2,2
"org.apache.nutch.webui.service.CrawlService",0,2,6,3,18
"org.apache.nutch.webui.service.NutchInstanceService",0,1,2,6,19
"org.apache.nutch.webui.service.NutchService",0,2,4,5,17
"org.apache.nutch.webui.service.SeedListService",0,1,2,4,18

