Package,v(G)avg,v(G)tot
"org.apache.nutch.crawl","3,49",989
"org.apache.nutch.fetcher","3,78",299
"org.apache.nutch.indexer","3,33",250
"org.apache.nutch.metadata","1,91",63
"org.apache.nutch.net","3,63",69
"org.apache.nutch.net.protocols","1,00",10
"org.apache.nutch.parse","2,49",436
"org.apache.nutch.plugin","2,25",205
"org.apache.nutch.protocol","2,18",157
"org.apache.nutch.scoring","1,35",31
"org.apache.nutch.scoring.webgraph","2,36",378
"org.apache.nutch.segment","5,90",289
"org.apache.nutch.service","1,29",22
"org.apache.nutch.service.impl","2,59",132
"org.apache.nutch.service.model.request","1,33",60
"org.apache.nutch.service.model.response","1,03",40
"org.apache.nutch.service.resources","1,91",63
"org.apache.nutch.tools","2,83",438
"org.apache.nutch.tools.arc","3,30",66
"org.apache.nutch.tools.warc","3,44",31
"org.apache.nutch.util","3,05",449
"org.apache.nutch.util.domain","2,06",66
"org.apache.nutch.webui","1,38",11
"org.apache.nutch.webui.client","1,33",4
"org.apache.nutch.webui.client.impl","1,25",55
"org.apache.nutch.webui.client.model","1,00",51
"org.apache.nutch.webui.config","1,35",27
"org.apache.nutch.webui.model","1,44",52
"org.apache.nutch.webui.pages","1,40",14
"org.apache.nutch.webui.pages.assets","1,00",2
"org.apache.nutch.webui.pages.components","1,09",12
"org.apache.nutch.webui.pages.crawls","1,12",9
"org.apache.nutch.webui.pages.instances","1,00",7
"org.apache.nutch.webui.pages.menu","1,00",1
"org.apache.nutch.webui.pages.seed","1,00",9
"org.apache.nutch.webui.pages.settings","1,50",3
"org.apache.nutch.webui.service.impl","1,89",36

