Chidamber-Kemerer metrics,Seg, 11 dez 2017 19:51:30 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantBooleanObjectInspector",1,0,1,0,2,3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantDoubleObjectInspector",1,0,1,0,2,3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantFloatObjectInspector",1,0,1,0,2,3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantIntObjectInspector",1,0,1,0,2,3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantLongObjectInspector",1,0,1,0,2,3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantStringObjectInspector",1,0,1,0,2,3
"org.apache.pig.Accumulator",n/a,n/a,n/a,n/a,3,n/a
"org.apache.pig.AccumulatorEvalFunc",8,1,1,5,4,1
"org.apache.pig.Algebraic",n/a,n/a,n/a,n/a,3,n/a
"org.apache.pig.AlgebraicEvalFunc",12,2,1,2,20,11
"org.apache.pig.CollectableLoadFunc",n/a,n/a,n/a,n/a,1,n/a
"org.apache.pig.ComparisonFunc",8,0,2,0,5,3
"org.apache.pig.EvalFunc",211,0,16,183,35,37
"org.apache.pig.EvalFunc.SchemaType",5,n/a,0,n/a,0,0
"org.apache.pig.ExceptionalFunction",n/a,n/a,n/a,n/a,1,n/a
"org.apache.pig.ExecType",n/a,n/a,n/a,n/a,5,n/a
"org.apache.pig.ExecTypeProvider",7,0,1,0,5,7
"org.apache.pig.Expression",24,0,1,6,1,1
"org.apache.pig.Expression.BetweenExpression",3,1,2,0,4,4
"org.apache.pig.Expression.BinaryExpression",6,1,2,0,5,4
"org.apache.pig.Expression.Column",6,1,1,0,4,4
"org.apache.pig.Expression.Const",4,1,1,0,3,4
"org.apache.pig.Expression.InExpression",3,1,1,0,3,5
"org.apache.pig.Expression.OpType",11,n/a,0,n/a,3,3
"org.apache.pig.Expression.UnaryExpression",4,1,1,0,4,3
"org.apache.pig.FileInputLoadFunc",10,1,1,5,2,2
"org.apache.pig.FileSplitComparable",2,0,1,0,10,20
"org.apache.pig.FilterFunc",4,1,1,3,1,1
"org.apache.pig.FuncSpec",104,0,6,0,20,41
"org.apache.pig.Function",n/a,n/a,n/a,n/a,1,n/a
"org.apache.pig.IndexableLoadFunc",n/a,n/a,n/a,n/a,3,n/a
"org.apache.pig.IteratingAccumulatorEvalFunc",6,2,2,0,8,13
"org.apache.pig.IteratingAccumulatorEvalFunc.DelayedQueueIterator",2,0,2,0,3,8
"org.apache.pig.JVMReuseImpl",2,0,1,0,4,9
"org.apache.pig.JVMReuseManager",10,0,1,0,4,7
"org.apache.pig.LoadCaster",n/a,n/a,n/a,n/a,12,n/a
"org.apache.pig.LoadFunc",59,0,10,13,17,26
"org.apache.pig.LoadFuncMetadataWrapper",7,2,1,1,14,8
"org.apache.pig.LoadFuncWrapper",7,1,1,1,19,13
"org.apache.pig.LoadMetadata",n/a,n/a,n/a,n/a,4,n/a
"org.apache.pig.LoadPredicatePushdown",n/a,n/a,n/a,n/a,3,n/a
"org.apache.pig.LoadPushDown",n/a,n/a,n/a,n/a,2,n/a
"org.apache.pig.LoadPushDown.OperatorSet",6,n/a,0,n/a,0,0
"org.apache.pig.LoadPushDown.RequiredField",6,0,4,0,11,13
"org.apache.pig.LoadPushDown.RequiredFieldList",9,0,1,0,5,8
"org.apache.pig.LoadPushDown.RequiredFieldResponse",7,0,1,0,3,3
"org.apache.pig.LoadStoreCaster",n/a,n/a,n/a,n/a,0,n/a
"org.apache.pig.Main",31,0,4,0,80,125
"org.apache.pig.Main.ExecMode",1,n/a,0,n/a,0,0
"org.apache.pig.OrderedLoadFunc",n/a,n/a,n/a,n/a,1,n/a
"org.apache.pig.OverwritableStoreFunc",n/a,n/a,n/a,n/a,2,n/a
"org.apache.pig.PigConfiguration",44,0,0,0,1,1
"org.apache.pig.PigConstants",12,0,0,0,1,1
"org.apache.pig.PigCounters",8,n/a,0,n/a,0,0
"org.apache.pig.PigException",206,0,7,2,37,46
"org.apache.pig.PigRunner",4,0,1,0,3,1
"org.apache.pig.PigRunner.ReturnCode",6,0,0,0,0,0
"org.apache.pig.PigServer",54,0,4,1,174,145
"org.apache.pig.PigServer.Graph",22,0,2,0,57,74
"org.apache.pig.PigStreamingBase",11,0,2,2,7,3
"org.apache.pig.PigToStream",n/a,n/a,n/a,n/a,1,n/a
"org.apache.pig.PigWarning",44,n/a,0,n/a,0,0
"org.apache.pig.PrimitiveEvalFunc",3,2,2,1,10,5
"org.apache.pig.ResourceSchema",49,0,2,0,26,49
"org.apache.pig.ResourceSchema.Order",1,n/a,0,n/a,0,0
"org.apache.pig.ResourceSchema.ResourceFieldSchema",35,0,2,0,24,23
"org.apache.pig.ResourceStatistics",19,0,2,0,15,22
"org.apache.pig.ResourceStatistics.ResourceFieldStatistics",2,0,3,0,13,20
"org.apache.pig.SortColInfo",6,0,3,0,9,11
"org.apache.pig.SortColInfo.Order",4,n/a,0,n/a,0,0
