Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantBooleanObjectInspector",1,1,2,3,0,0,0,1,19,15,0,0,0,"1,50",1,2,3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantDoubleObjectInspector",1,1,2,3,0,0,0,1,19,15,0,0,0,"1,50",1,2,3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantFloatObjectInspector",1,1,2,3,0,0,0,1,19,15,0,0,0,"1,50",1,2,3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantIntObjectInspector",1,1,2,3,0,0,0,1,19,15,0,0,0,"1,50",1,2,3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantLongObjectInspector",1,1,2,3,0,0,0,1,19,15,0,0,0,"1,50",1,2,3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantStringObjectInspector",1,1,2,3,0,0,0,1,15,15,0,0,0,"1,50",1,2,3
"org.apache.pig.Accumulator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.apache.pig.AccumulatorEvalFunc",8,5,32,37,849,1,1,1,22,15,5,22,0,"1,00",2,4,1
"org.apache.pig.Algebraic",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.apache.pig.AlgebraicEvalFunc",12,21,43,64,851,2,2,1,155,98,2,23,0,"2,20",5,20,11
"org.apache.pig.CollectableLoadFunc",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.pig.ComparisonFunc",8,1,4,5,848,0,0,2,50,16,0,0,0,"1,00",2,5,3
"org.apache.pig.EvalFunc",211,6,25,31,848,0,0,16,283,133,183,0,0,"1,54",16,35,37
"org.apache.pig.EvalFunc.SchemaType",5,2,0,2,0,n/a,0,0,8,4,n/a,0,0,n/a,0,0,0
"org.apache.pig.ExceptionalFunction",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.pig.ExecType",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"org.apache.pig.ExecTypeProvider",7,1,3,4,848,0,0,1,45,33,0,0,0,"2,33",3,5,7
"org.apache.pig.Expression",24,1,1,2,1,0,0,1,15,8,6,0,0,"1,00",1,1,1
"org.apache.pig.Expression.BetweenExpression",3,3,5,8,2,1,0,2,21,19,0,1,0,"1,00",3,4,4
"org.apache.pig.Expression.BinaryExpression",6,3,5,8,2,1,0,2,36,20,0,1,0,"1,00",3,5,4
"org.apache.pig.Expression.Column",6,2,5,7,2,1,0,1,29,17,0,1,0,"1,00",2,4,4
"org.apache.pig.Expression.Const",4,2,4,6,2,1,0,1,24,15,0,1,0,"1,33",2,3,4
"org.apache.pig.Expression.InExpression",3,2,4,6,2,1,0,1,25,25,0,1,0,"1,67",2,3,5
"org.apache.pig.Expression.OpType",11,21,3,24,0,n/a,0,0,38,32,n/a,0,0,"1,00",1,3,3
"org.apache.pig.Expression.UnaryExpression",4,2,4,6,2,1,0,1,16,14,0,1,0,"1,00",2,4,3
"org.apache.pig.FileInputLoadFunc",10,0,12,12,848,1,1,1,24,18,5,6,0,"2,00",1,2,2
"org.apache.pig.FileSplitComparable",2,3,8,11,848,0,0,1,76,63,0,0,0,"2,50",4,10,20
"org.apache.pig.FilterFunc",4,5,26,31,848,1,0,1,9,5,3,21,1,"1,00",0,1,1
"org.apache.pig.FuncSpec",104,4,18,22,848,0,0,6,209,144,0,0,0,"2,28",10,20,41
"org.apache.pig.Function",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.pig.IndexableLoadFunc",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.apache.pig.IteratingAccumulatorEvalFunc",6,18,39,57,851,2,2,2,99,80,0,23,0,"2,17",3,8,13
"org.apache.pig.IteratingAccumulatorEvalFunc.DelayedQueueIterator",2,1,3,4,851,0,0,2,31,31,0,0,0,"2,67",2,3,8
"org.apache.pig.JVMReuseImpl",2,1,2,3,2,0,0,1,41,41,0,0,0,"4,50",1,4,9
"org.apache.pig.JVMReuseManager",10,3,4,7,2,0,0,1,62,31,0,0,0,"1,75",2,4,7
"org.apache.pig.LoadCaster",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12,n/a
"org.apache.pig.LoadFunc",59,0,13,13,848,0,0,10,260,116,13,0,0,"2,89",9,17,26
"org.apache.pig.LoadFuncMetadataWrapper",7,2,32,34,850,2,1,1,44,34,1,16,0,"1,14",4,14,8
"org.apache.pig.LoadFuncWrapper",7,1,21,22,849,1,0,1,71,53,1,3,3,"1,18",6,19,13
"org.apache.pig.LoadMetadata",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4,n/a
"org.apache.pig.LoadPredicatePushdown",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.apache.pig.LoadPushDown",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.apache.pig.LoadPushDown.OperatorSet",6,1,0,1,0,n/a,0,0,4,1,n/a,0,0,n/a,0,0,0
"org.apache.pig.LoadPushDown.RequiredField",6,5,11,16,0,0,0,4,81,52,0,0,0,"1,18",5,11,13
"org.apache.pig.LoadPushDown.RequiredFieldList",9,2,5,7,1,0,0,1,51,34,0,0,0,"1,60",2,5,8
"org.apache.pig.LoadPushDown.RequiredFieldResponse",7,1,3,4,0,0,0,1,30,14,0,0,0,"1,00",1,3,3
"org.apache.pig.LoadStoreCaster",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.apache.pig.Main",31,13,22,35,859,0,0,4,874,794,0,0,0,"5,43",17,80,125
"org.apache.pig.Main.ExecMode",1,4,0,4,0,n/a,0,0,1,1,n/a,0,0,n/a,0,0,0
"org.apache.pig.OrderedLoadFunc",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.pig.OverwritableStoreFunc",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.apache.pig.PigConfiguration",44,75,1,76,0,0,0,0,314,91,0,0,0,"1,00",0,1,1
"org.apache.pig.PigConstants",12,8,1,9,0,0,0,0,33,14,0,0,0,"1,00",0,1,1
"org.apache.pig.PigCounters",8,3,0,3,0,n/a,0,0,11,5,n/a,0,0,n/a,0,0,0
"org.apache.pig.PigException",206,12,37,49,3,0,0,7,412,159,2,0,0,"1,24",12,37,46
"org.apache.pig.PigRunner",4,0,1,1,860,0,0,1,10,7,0,0,0,"1,00",1,3,1
"org.apache.pig.PigRunner.ReturnCode",6,10,0,10,0,0,0,0,13,12,0,0,0,n/a,0,0,0
"org.apache.pig.PigServer",54,13,77,90,848,0,0,4,1.201,704,1,0,0,"1,88",35,174,145
"org.apache.pig.PigServer.Graph",22,9,23,32,848,0,0,2,387,308,0,0,0,"2,96",11,57,74
"org.apache.pig.PigStreamingBase",11,0,8,8,848,0,2,2,63,25,2,0,0,"1,50",5,7,3
"org.apache.pig.PigToStream",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.pig.PigWarning",44,47,0,47,0,n/a,0,0,54,50,n/a,0,0,n/a,0,0,0
"org.apache.pig.PrimitiveEvalFunc",3,7,34,41,850,2,0,2,33,26,1,25,0,"1,25",3,10,5
"org.apache.pig.ResourceSchema",49,6,17,23,848,0,0,2,262,173,0,0,0,"2,88",11,26,49
"org.apache.pig.ResourceSchema.Order",1,2,0,2,0,n/a,0,0,1,1,n/a,0,0,n/a,0,0,0
"org.apache.pig.ResourceSchema.ResourceFieldSchema",35,5,16,21,848,0,0,2,150,98,0,0,0,"1,44",11,24,23
"org.apache.pig.ResourceStatistics",19,5,14,19,2,0,0,2,121,78,0,0,0,"1,57",12,15,22
"org.apache.pig.ResourceStatistics.ResourceFieldStatistics",2,6,13,19,1,0,0,3,122,84,0,0,0,"1,54",13,13,20
"org.apache.pig.SortColInfo",6,4,7,11,848,0,0,3,77,46,0,0,0,"1,57",6,9,11
"org.apache.pig.SortColInfo.Order",4,2,0,2,0,n/a,0,0,1,1,n/a,0,0,n/a,0,0,0
"org.apache.pig.SortInfo",8,3,6,9,848,0,0,2,65,39,0,0,0,"1,50",5,8,9
"org.apache.pig.StaticDataCleanup",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.apache.pig.StoreCaster",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13,n/a
"org.apache.pig.StoreFunc",13,0,20,20,848,0,1,10,160,39,1,0,0,"1,14",2,14,8
"org.apache.pig.StoreFuncInterface",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a
"org.apache.pig.StoreFuncMetadataWrapper",6,2,29,31,850,1,2,1,39,28,1,11,0,"1,20",1,10,6
"org.apache.pig.StoreFuncWrapper",6,1,22,23,849,0,1,1,80,61,1,0,0,"1,15",4,23,15
"org.apache.pig.StoreMetadata",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.apache.pig.StoreResources",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.apache.pig.StreamToPig",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"org.apache.pig.TerminatingAccumulator",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"org.apache.pig.TypedOutputEvalFunc",6,6,33,39,849,1,0,2,124,84,1,22,0,"2,62",4,11,21
"org.apache.pig.backend.BackendException",8,7,44,51,4,1,0,0,125,43,2,13,0,"1,00",0,24,12
"org.apache.pig.backend.datastorage.ContainerDescriptor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"org.apache.pig.backend.datastorage.DataStorage",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19,n/a
"org.apache.pig.backend.datastorage.DataStorageException",8,7,56,63,5,2,0,0,124,43,0,13,0,"1,00",0,24,12
"org.apache.pig.backend.datastorage.ElementDescriptor",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16,n/a
"org.apache.pig.backend.datastorage.ImmutableOutputStream",1,1,2,3,0,0,0,1,10,10,0,0,0,"1,00",0,2,2
"org.apache.pig.backend.datastorage.SeekableInputStream",7,0,2,2,1,0,0,2,24,4,1,0,0,n/a,1,2,0
"org.apache.pig.backend.datastorage.SeekableInputStream.FLAGS",3,3,0,3,0,n/a,0,0,5,5,n/a,0,0,n/a,0,0,0
"org.apache.pig.backend.executionengine.ExecException",318,7,56,63,5,2,0,0,124,43,2,13,0,"1,00",0,24,12
