Class,OCavg,WMC
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantBooleanObjectInspector","1,50",3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantDoubleObjectInspector","1,50",3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantFloatObjectInspector","1,50",3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantIntObjectInspector","1,50",3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantLongObjectInspector","1,50",3
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantStringObjectInspector","1,50",3
"org.apache.pig.AccumulatorEvalFunc","1,00",1
"org.apache.pig.AlgebraicEvalFunc","2,20",11
"org.apache.pig.ComparisonFunc","1,00",3
"org.apache.pig.EvalFunc","1,54",37
"org.apache.pig.EvalFunc.SchemaType",n/a,0
"org.apache.pig.ExecTypeProvider","2,33",7
"org.apache.pig.Expression","1,00",1
"org.apache.pig.Expression.BetweenExpression","1,00",4
"org.apache.pig.Expression.BinaryExpression","1,00",4
"org.apache.pig.Expression.Column","1,00",4
"org.apache.pig.Expression.Const","1,33",4
"org.apache.pig.Expression.InExpression","1,67",5
"org.apache.pig.Expression.OpType","1,00",3
"org.apache.pig.Expression.UnaryExpression","1,00",3
"org.apache.pig.FileInputLoadFunc","2,00",2
"org.apache.pig.FileSplitComparable","2,50",20
"org.apache.pig.FilterFunc","1,00",1
"org.apache.pig.FuncSpec","2,28",41
"org.apache.pig.IteratingAccumulatorEvalFunc","2,17",13
"org.apache.pig.IteratingAccumulatorEvalFunc.DelayedQueueIterator","2,67",8
"org.apache.pig.JVMReuseImpl","4,50",9
"org.apache.pig.JVMReuseManager","1,75",7
"org.apache.pig.LoadFunc","2,89",26
"org.apache.pig.LoadFuncMetadataWrapper","1,14",8
"org.apache.pig.LoadFuncWrapper","1,18",13
"org.apache.pig.LoadPushDown.OperatorSet",n/a,0
"org.apache.pig.LoadPushDown.RequiredField","1,18",13
"org.apache.pig.LoadPushDown.RequiredFieldList","1,60",8
"org.apache.pig.LoadPushDown.RequiredFieldResponse","1,00",3
"org.apache.pig.Main","5,43",125
"org.apache.pig.Main.ExecMode",n/a,0
"org.apache.pig.PigConfiguration","1,00",1
"org.apache.pig.PigConstants","1,00",1
"org.apache.pig.PigCounters",n/a,0
"org.apache.pig.PigException","1,24",46
"org.apache.pig.PigRunner","1,00",1
"org.apache.pig.PigRunner.ReturnCode",n/a,0
"org.apache.pig.PigServer","1,88",145
"org.apache.pig.PigServer.Graph","2,96",74
"org.apache.pig.PigStreamingBase","1,50",3
"org.apache.pig.PigWarning",n/a,0
"org.apache.pig.PrimitiveEvalFunc","1,25",5
"org.apache.pig.ResourceSchema","2,88",49
"org.apache.pig.ResourceSchema.Order",n/a,0
"org.apache.pig.ResourceSchema.ResourceFieldSchema","1,44",23
"org.apache.pig.ResourceStatistics","1,57",22
"org.apache.pig.ResourceStatistics.ResourceFieldStatistics","1,54",20
"org.apache.pig.SortColInfo","1,57",11
"org.apache.pig.SortColInfo.Order",n/a,0
"org.apache.pig.SortInfo","1,50",9
"org.apache.pig.StoreFunc","1,14",8
"org.apache.pig.StoreFuncMetadataWrapper","1,20",6
"org.apache.pig.StoreFuncWrapper","1,15",15
"org.apache.pig.TypedOutputEvalFunc","2,62",21
"org.apache.pig.backend.BackendException","1,00",12
"org.apache.pig.backend.datastorage.DataStorageException","1,00",12
"org.apache.pig.backend.datastorage.ImmutableOutputStream","1,00",2
"org.apache.pig.backend.datastorage.SeekableInputStream",n/a,0
"org.apache.pig.backend.datastorage.SeekableInputStream.FLAGS",n/a,0
"org.apache.pig.backend.executionengine.ExecException","1,00",12
"org.apache.pig.backend.executionengine.ExecJob.JOB_STATUS",n/a,0
"org.apache.pig.backend.hadoop.BigDecimalWritable","1,10",11
"org.apache.pig.backend.hadoop.BigDecimalWritable.Comparator","1,00",2
"org.apache.pig.backend.hadoop.BigIntegerWritable","1,10",11
"org.apache.pig.backend.hadoop.BigIntegerWritable.Comparator","1,00",2
"org.apache.pig.backend.hadoop.DateTimeWritable","1,10",11
"org.apache.pig.backend.hadoop.DateTimeWritable.Comparator","1,00",2
"org.apache.pig.backend.hadoop.DoubleWritable","1,30",13
"org.apache.pig.backend.hadoop.DoubleWritable.Comparator","2,00",4
"org.apache.pig.backend.hadoop.HDataType","13,50",81
"org.apache.pig.backend.hadoop.accumulo.AbstractAccumuloStorage","2,70",108
"org.apache.pig.backend.hadoop.accumulo.AccumuloBinaryConverter","1,24",31
"org.apache.pig.backend.hadoop.accumulo.AccumuloStorage","5,71",40
"org.apache.pig.backend.hadoop.accumulo.AccumuloStorageOptions","1,29",9
"org.apache.pig.backend.hadoop.accumulo.Column","2,86",20
"org.apache.pig.backend.hadoop.accumulo.Column.Type",n/a,0
"org.apache.pig.backend.hadoop.accumulo.FixedByteArrayOutputStream","1,00",3
"org.apache.pig.backend.hadoop.accumulo.Utils","4,30",43
"org.apache.pig.backend.hadoop.datastorage.ConfigurationUtil","2,17",13
"org.apache.pig.backend.hadoop.datastorage.HConfiguration","2,00",6
"org.apache.pig.backend.hadoop.datastorage.HDataStorage","1,45",32
"org.apache.pig.backend.hadoop.datastorage.HDirectory","1,69",22
"org.apache.pig.backend.hadoop.datastorage.HFile","1,00",11
"org.apache.pig.backend.hadoop.datastorage.HPath","1,17",28
"org.apache.pig.backend.hadoop.datastorage.HSeekableInputStream","1,33",16
"org.apache.pig.backend.hadoop.executionengine.HExecutionEngine","2,26",43
"org.apache.pig.backend.hadoop.executionengine.HJob","1,26",24
"org.apache.pig.backend.hadoop.executionengine.JobCreationException","1,00",12
"org.apache.pig.backend.hadoop.executionengine.Launcher","3,92",47
"org.apache.pig.backend.hadoop.executionengine.Launcher.HangingJobKiller","1,00",2
"org.apache.pig.backend.hadoop.executionengine.Launcher.JobControlThreadExceptionHandler","1,00",1
"org.apache.pig.backend.hadoop.executionengine.MapRedResult","1,00",1
"org.apache.pig.backend.hadoop.executionengine.TaskContext","1,00",3
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchContext","1,00",2
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchLauncher","2,60",13
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchOptimizer","3,25",13
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchOptimizer.FetchablePlanVisitor","1,12",29
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchPOStoreImpl","1,75",7
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchProgressableReporter","1,00",2
"org.apache.pig.backend.hadoop.executionengine.fetch.FetchTaskContext","1,67",10
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.AccumulatorOptimizer","1,00",2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.ColumnChainInfo","1,82",20
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.ColumnInfo","1,27",14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.CombinerOptimizer","1,00",4
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.DistinctCombiner",n/a,0
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.DistinctCombiner.Combine","1,00",2
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.FileBasedOutputSizeReader","3,33",10
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.IllustrateDummyReporter","1,00",5
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.InputSizeReducerEstimator","3,50",14
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler","6,77",210
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.JoinDistributedCacheVisitor","3,25",13
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.ParallelConstantVisitor","2,50",5
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigBagWritableComparator","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigBigDecimalWritableComparator","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigBigIntegerWritableComparator","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigBooleanWritableComparator","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigCharArrayWritableComparator","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigDBAWritableComparator","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigDateTimeWritableComparator","1,00",1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler.PigDoubleWritableComparator","1,00",1
