Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.pig.Accumulator",0,1,7,24,1.157
"org.apache.pig.Algebraic",0,0,0,24,1.156
"org.apache.pig.CollectableLoadFunc",0,0,0,4,1.156
"org.apache.pig.ExceptionalFunction",0,0,0,2,3
"org.apache.pig.ExecType",605,4,848,25,1.155
"org.apache.pig.Function",0,1,1,1,2
"org.apache.pig.IndexableLoadFunc",0,1,7,6,1.156
"org.apache.pig.LoadCaster",605,3,848,23,1.155
"org.apache.pig.LoadMetadata",605,3,848,17,1.155
"org.apache.pig.LoadPredicatePushdown",0,2,2,2,1.156
"org.apache.pig.LoadPushDown",0,4,14,7,1.156
"org.apache.pig.LoadStoreCaster",605,2,848,5,1.155
"org.apache.pig.OrderedLoadFunc",0,0,0,6,1.156
"org.apache.pig.OverwritableStoreFunc",605,1,848,4,1.155
"org.apache.pig.PigToStream",0,1,7,5,1.156
"org.apache.pig.StoreCaster",605,4,848,3,1.155
"org.apache.pig.StoreFuncInterface",605,2,848,31,1.155
"org.apache.pig.StoreMetadata",605,2,848,7,1.155
"org.apache.pig.StoreResources",0,0,0,5,1.156
"org.apache.pig.StreamToPig",605,2,848,7,1.155
"org.apache.pig.TerminatingAccumulator",0,1,8,2,1.156
"org.apache.pig.backend.datastorage.ContainerDescriptor",2,1,10,8,1.159
"org.apache.pig.backend.datastorage.DataStorage",2,3,10,12,1.159
"org.apache.pig.backend.datastorage.ElementDescriptor",2,2,10,12,1.159
"org.apache.pig.backend.executionengine.ExecJob",605,5,848,3,1.155
"org.apache.pig.backend.executionengine.ExecutionEngine",605,11,848,12,1.155
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigReducerEstimator",605,1,848,7,1.155
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.PigStatsOutputSizeReader",605,1,848,2,1.155
"org.apache.pig.backend.hadoop.executionengine.optimizer.SecondaryKeyOptimizer",0,0,0,2,1.156
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.PigLogger",0,0,0,8,1.156
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.PigProgressable",0,0,0,15,1.158
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.ComparisonOperator",0,2,8,3,1.156
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.regex.RegexImpl",0,0,0,5,1.159
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.AccumulativeTupleBuffer",0,1,7,4,1.157
"org.apache.pig.backend.hadoop.executionengine.tez.plan.optimizer.TezParallelismEstimator",10,3,876,2,50
"org.apache.pig.backend.hadoop.executionengine.tez.runtime.TezInput",0,1,6,12,69
"org.apache.pig.backend.hadoop.executionengine.tez.runtime.TezOutput",0,1,6,9,65
"org.apache.pig.backend.hadoop.executionengine.tez.runtime.TezTaskConfigurable",0,1,6,4,63
"org.apache.pig.builtin.AlgebraicMathBase.KnownOpProvider",0,1,1,10,83
"org.apache.pig.builtin.InvokerFunction",0,1,7,2,1.157
"org.apache.pig.data.DataBag",0,2,8,187,1.157
"org.apache.pig.data.InterSedes",0,3,8,17,1.156
"org.apache.pig.data.Tuple",0,1,6,476,1.213
"org.apache.pig.data.TupleMaker",0,1,7,6,1.156
"org.apache.pig.data.TupleRawComparator",0,0,0,12,1.157
"org.apache.pig.data.TypeAwareTuple",605,5,848,3,1.155
"org.apache.pig.impl.util.GroupingSpillable",0,0,0,2,1.157
"org.apache.pig.impl.util.Spillable",0,0,0,6,1.160
"org.apache.pig.newplan.OperatorPlan",4,3,9,156,1.186
"org.apache.pig.newplan.logical.rules.LogicalRelationalNodeValidator",0,1,10,1,1.156
"org.apache.pig.newplan.optimizer.PlanTransformListener",0,2,10,3,1.157
"org.apache.pig.pen.Illustrable",605,2,848,2,1.155
"org.apache.pig.tools.pigstats.PigProgressNotificationListener",605,3,848,8,1.155
"org.apache.pig.validator.PigCommandFilter",0,2,11,6,1.156

