Method,ev(G),iv(G),v(G)
"null.accept(Path)",1,2,2
"null.allocate(Ruby,RubyClass)",1,1,1
"null.compare(Node,Node)",1,1,3
"null.initialValue()",1,1,1
"null.put(String,Operator)",1,1,1
"null.run()",1,1,1
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantBooleanObjectInspector.JavaConstantBooleanObjectInspector(Boolean)",1,1,1
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantBooleanObjectInspector.getWritableConstantValue()",2,1,2
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantDoubleObjectInspector.JavaConstantDoubleObjectInspector(Double)",1,1,1
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantDoubleObjectInspector.getWritableConstantValue()",2,1,2
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantFloatObjectInspector.JavaConstantFloatObjectInspector(Float)",1,1,1
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantFloatObjectInspector.getWritableConstantValue()",2,1,2
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantIntObjectInspector.JavaConstantIntObjectInspector(Integer)",1,1,1
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantIntObjectInspector.getWritableConstantValue()",2,1,2
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantLongObjectInspector.JavaConstantLongObjectInspector(Long)",1,1,1
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantLongObjectInspector.getWritableConstantValue()",2,1,2
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantStringObjectInspector.JavaConstantStringObjectInspector(String)",1,1,1
"org.apache.hadoop.hive.serde2.objectinspector.primitive.JavaConstantStringObjectInspector.getWritableConstantValue()",2,1,2
"org.apache.pig.AccumulatorEvalFunc.exec(Tuple)",1,1,1
"org.apache.pig.AlgebraicEvalFunc.AlgebraicEvalFunc(String...)",1,1,1
"org.apache.pig.AlgebraicEvalFunc.accumulate(Tuple)",1,6,6
"org.apache.pig.AlgebraicEvalFunc.cleanup()",1,1,1
"org.apache.pig.AlgebraicEvalFunc.getValue()",1,1,2
"org.apache.pig.AlgebraicEvalFunc.makeEvalFunc(String)",1,3,3
"org.apache.pig.ComparisonFunc.ComparisonFunc()",1,1,1
"org.apache.pig.ComparisonFunc.compare(WritableComparable,WritableComparable)",1,1,1
"org.apache.pig.ComparisonFunc.setReporter(PigProgressable)",1,1,1
"org.apache.pig.EvalFunc.EvalFunc()",6,7,13
"org.apache.pig.EvalFunc.allowCompileTimeCalculation()",1,1,1
"org.apache.pig.EvalFunc.finish()",1,1,1
"org.apache.pig.EvalFunc.getArgToFuncMapping()",1,1,1
"org.apache.pig.EvalFunc.getCacheFiles()",1,1,1
"org.apache.pig.EvalFunc.getInputSchema()",1,1,1
"org.apache.pig.EvalFunc.getLogger()",1,1,1
"org.apache.pig.EvalFunc.getPigLogger()",1,1,1
"org.apache.pig.EvalFunc.getReporter()",1,1,1
"org.apache.pig.EvalFunc.getReturnType()",1,1,1
"org.apache.pig.EvalFunc.getReturnTypeFromSpec(FuncSpec)",1,1,2
"org.apache.pig.EvalFunc.getSchemaName(String,Schema)",1,3,3
"org.apache.pig.EvalFunc.getSchemaType()",1,1,1
"org.apache.pig.EvalFunc.getShipFiles()",1,1,1
"org.apache.pig.EvalFunc.isAsynchronous()",1,1,1
"org.apache.pig.EvalFunc.needEndOfAllInputProcessing()",1,1,1
"org.apache.pig.EvalFunc.outputSchema(Schema)",1,2,3
"org.apache.pig.EvalFunc.progress()",1,2,2
"org.apache.pig.EvalFunc.setEndOfAllInput(boolean)",1,1,1
"org.apache.pig.EvalFunc.setInputSchema(Schema)",1,1,1
"org.apache.pig.EvalFunc.setPigLogger(PigLogger)",1,1,1
"org.apache.pig.EvalFunc.setReporter(PigProgressable)",1,1,1
"org.apache.pig.EvalFunc.setUDFContextSignature(String)",1,1,1
"org.apache.pig.EvalFunc.warn(String,Enum)",1,2,2
"org.apache.pig.ExecTypeProvider.fromString(String)",1,1,1
"org.apache.pig.ExecTypeProvider.getSingleton(ExecType)",3,1,3
"org.apache.pig.ExecTypeProvider.selectExecType(Properties)",3,3,3
"org.apache.pig.Expression.BetweenExpression.BetweenExpression(Object,Object)",1,1,1
"org.apache.pig.Expression.BetweenExpression.getLower()",1,1,1
"org.apache.pig.Expression.BetweenExpression.getUpper()",1,1,1
"org.apache.pig.Expression.BetweenExpression.toString()",1,1,1
"org.apache.pig.Expression.BinaryExpression.BinaryExpression(Expression,Expression,OpType)",1,1,1
"org.apache.pig.Expression.BinaryExpression.getLhs()",1,1,1
"org.apache.pig.Expression.BinaryExpression.getRhs()",1,1,1
"org.apache.pig.Expression.BinaryExpression.toString()",1,1,1
"org.apache.pig.Expression.Column.Column(String)",1,1,1
"org.apache.pig.Expression.Column.getName()",1,1,1
"org.apache.pig.Expression.Column.setName(String)",1,1,1
"org.apache.pig.Expression.Column.toString()",1,1,1
"org.apache.pig.Expression.Const.Const(Object)",1,1,1
"org.apache.pig.Expression.Const.getValue()",1,1,1
"org.apache.pig.Expression.Const.toString()",1,2,2
"org.apache.pig.Expression.InExpression.InExpression(List<Object>)",1,1,1
"org.apache.pig.Expression.InExpression.getValues()",1,1,1
"org.apache.pig.Expression.InExpression.toString()",1,3,3
"org.apache.pig.Expression.OpType.OpType()",1,1,1
"org.apache.pig.Expression.OpType.OpType(String)",1,1,1
"org.apache.pig.Expression.OpType.toString()",1,1,1
"org.apache.pig.Expression.UnaryExpression.UnaryExpression(Expression,OpType)",1,1,1
"org.apache.pig.Expression.UnaryExpression.getExpression()",1,1,1
"org.apache.pig.Expression.UnaryExpression.toString()",1,1,1
"org.apache.pig.Expression.getOpType()",1,1,1
"org.apache.pig.FileInputLoadFunc.getSplitComparable(InputSplit)",2,1,2
"org.apache.pig.FileSplitComparable.FileSplitComparable()",1,1,1
"org.apache.pig.FileSplitComparable.FileSplitComparable(String,long)",1,1,1
"org.apache.pig.FileSplitComparable.compareTo(FileSplitComparable)",1,2,2
"org.apache.pig.FileSplitComparable.equals(Object)",10,3,10
"org.apache.pig.FileSplitComparable.hashCode()",1,3,3
"org.apache.pig.FileSplitComparable.readFields(DataInput)",1,1,1
"org.apache.pig.FileSplitComparable.toString()",1,1,1
"org.apache.pig.FileSplitComparable.write(DataOutput)",1,1,1
"org.apache.pig.FilterFunc.finish()",1,1,1
"org.apache.pig.FuncSpec.FuncSpec(String)",1,3,3
"org.apache.pig.FuncSpec.FuncSpec(String,Schema)",1,1,1
"org.apache.pig.FuncSpec.FuncSpec(String,String)",1,1,1
"org.apache.pig.FuncSpec.FuncSpec(String,String[])",1,1,1
"org.apache.pig.FuncSpec.FuncSpec(String,String[],Schema)",1,1,1
"org.apache.pig.FuncSpec.clone()",1,2,4
"org.apache.pig.FuncSpec.equals(Object)",8,4,13
"org.apache.pig.FuncSpec.getArgStringFromSpec(String)",2,2,2
"org.apache.pig.FuncSpec.getClassName()",1,1,1
"org.apache.pig.FuncSpec.getClassNameFromSpec(String)",2,2,2
"org.apache.pig.FuncSpec.getCtorArgs()",1,1,1
"org.apache.pig.FuncSpec.getInputArgsSchema()",1,1,1
"org.apache.pig.FuncSpec.hashCode()",1,2,2
"org.apache.pig.FuncSpec.parseArguments(String)",1,6,8
"org.apache.pig.FuncSpec.setClassName(String)",1,1,1
"org.apache.pig.FuncSpec.setCtorArgs(String[])",1,1,1
"org.apache.pig.FuncSpec.setInputArgsSchema(Schema)",1,1,1
"org.apache.pig.FuncSpec.toString()",1,4,4
"org.apache.pig.IteratingAccumulatorEvalFunc.DelayedQueueIterator.hasNext()",5,2,6
"org.apache.pig.IteratingAccumulatorEvalFunc.DelayedQueueIterator.next()",2,1,2
