Package,C(rec),LOC(rec),METH(rec)
"",1.557,287.415,10.595
"META-INF",n/a,32,n/a
"META-INF.services",n/a,32,n/a
"docs",n/a,107.993,n/a
"docs.jdiff",n/a,84.433,n/a
"docs.src",n/a,23.378,n/a
"docs.src.documentation",n/a,23.378,n/a
"docs.src.documentation.classes",n/a,58,n/a
"docs.src.documentation.conf",n/a,307,n/a
"docs.src.documentation.content",n/a,21.842,n/a
"docs.src.documentation.content.xdocs",n/a,21.738,n/a
"docs.src.documentation.content.xdocs.images",n/a,142,n/a
"docs.src.documentation.resources",n/a,145,n/a
"docs.src.documentation.resources.images",n/a,28,n/a
"docs.src.documentation.resources.schema",n/a,86,n/a
"docs.src.documentation.resources.stylesheets",n/a,31,n/a
"docs.src.documentation.translations",n/a,545,n/a
"main",n/a,376,n/a
"main.jruby",n/a,376,n/a
"org",1.557,178.209,10.595
"org.apache",1.557,178.209,10.595
"org.apache.hadoop",6,234,12
"org.apache.hadoop.hive",6,234,12
"org.apache.hadoop.hive.serde2",6,234,12
"org.apache.hadoop.hive.serde2.objectinspector",6,234,12
"org.apache.hadoop.hive.serde2.objectinspector.primitive",6,234,12
"org.apache.pig",1.551,177.975,10.583
"org.apache.pig.backend",449,60.026,3.585
"org.apache.pig.backend.datastorage",7,498,51
"org.apache.pig.backend.executionengine",4,421,37
"org.apache.pig.backend.hadoop",437,58.963,3.485
"org.apache.pig.backend.hadoop.accumulo",8,1.799,101
"org.apache.pig.backend.hadoop.datastorage",7,816,94
"org.apache.pig.backend.hadoop.executionengine",405,53.794,3.128
"org.apache.pig.backend.hadoop.executionengine.fetch",7,676,49
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer",177,16.775,827
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.partitioners",5,519,22
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans",17,971,67
"org.apache.pig.backend.hadoop.executionengine.optimizer",1,28,3
"org.apache.pig.backend.hadoop.executionengine.physicalLayer",106,19.691,1.429
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators",36,6.487,456
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.regex",5,327,12
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans",8,1.647,131
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators",47,9.978,695
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.util",7,607,69
"org.apache.pig.backend.hadoop.executionengine.tez",89,12.915,649
"org.apache.pig.backend.hadoop.executionengine.tez.plan",57,8.708,484
"org.apache.pig.backend.hadoop.executionengine.tez.plan.operator",18,2.493,166
"org.apache.pig.backend.hadoop.executionengine.tez.plan.optimizer",12,1.758,53
"org.apache.pig.backend.hadoop.executionengine.tez.plan.udf",4,304,14
"org.apache.pig.backend.hadoop.executionengine.tez.runtime",13,987,49
"org.apache.pig.backend.hadoop.executionengine.tez.util",4,667,27
"org.apache.pig.backend.hadoop.executionengine.util",16,2.414,93
"org.apache.pig.backend.hadoop.hbase",7,1.641,99
"org.apache.pig.backend.hadoop.streaming",1,237,9
"org.apache.pig.builtin",337,21.504,1.283
"org.apache.pig.builtin.mock",9,592,71
"org.apache.pig.classification",8,81,2
"org.apache.pig.data",113,13.100,998
"org.apache.pig.data.utils",9,622,47
"org.apache.pig.impl",177,21.102,1.253
"org.apache.pig.impl.builtin",20,2.026,87
"org.apache.pig.impl.io",41,3.471,254
"org.apache.pig.impl.logicalLayer",7,2.594,124
"org.apache.pig.impl.logicalLayer.schema",4,2.123,89
"org.apache.pig.impl.logicalLayer.validators",1,167,14
"org.apache.pig.impl.plan",24,3.963,267
"org.apache.pig.impl.plan.optimizer",1,143,12
"org.apache.pig.impl.streaming",23,2.079,125
"org.apache.pig.impl.util",59,6.125,327
"org.apache.pig.impl.util.avro",11,1.590,85
"org.apache.pig.impl.util.hive",8,720,46
"org.apache.pig.newplan",182,24.174,1.414
"org.apache.pig.newplan.logical",159,21.135,1.207
"org.apache.pig.newplan.logical.expression",33,3.964,291
"org.apache.pig.newplan.logical.optimizer",13,1.191,96
"org.apache.pig.newplan.logical.relational",34,6.037,373
"org.apache.pig.newplan.logical.rules",45,4.377,210
"org.apache.pig.newplan.logical.visitor",31,5.150,200
"org.apache.pig.newplan.optimizer",5,489,21
"org.apache.pig.parser",26,9.006,265
"org.apache.pig.pen",18,3.770,196
"org.apache.pig.pen.util",5,840,48
"org.apache.pig.scripting",99,7.052,432
"org.apache.pig.scripting.groovy",44,1.428,87
"org.apache.pig.scripting.jruby",37,2.668,190
"org.apache.pig.scripting.js",4,769,45
"org.apache.pig.scripting.jython",5,775,23
"org.apache.pig.scripting.streaming",1,123,5
"org.apache.pig.scripting.streaming.python",1,123,5
"org.apache.pig.tools",57,9.090,607
"org.apache.pig.tools.cmdline",2,179,6
"org.apache.pig.tools.counters",1,73,2
"org.apache.pig.tools.grunt",7,1.749,79
"org.apache.pig.tools.parameters",3,988,20
"org.apache.pig.tools.pigscript",n/a,826,n/a
"org.apache.pig.tools.pigscript.parser",n/a,826,n/a
"org.apache.pig.tools.pigstats",37,4.833,478
"org.apache.pig.tools.pigstats.mapreduce",6,1.171,81
"org.apache.pig.tools.pigstats.tez",9,1.348,106
"org.apache.pig.tools.streams",2,133,6
"org.apache.pig.tools.timer",3,162,9
"org.apache.pig.validator",5,300,29
"packages",n/a,318,n/a
"packages.templates",n/a,15,n/a
"packages.templates.conf",n/a,15,n/a
"python",n/a,377,n/a
"python.streaming",n/a,377,n/a

