Package,v(G)avg,v(G)tot
"org.apache.hadoop.hive.serde2.objectinspector.primitive","1,50",18
"org.apache.pig","2,24",951
"org.apache.pig.backend","1,00",12
"org.apache.pig.backend.datastorage","1,00",14
"org.apache.pig.backend.executionengine","1,00",12
"org.apache.pig.backend.hadoop","2,57",139
"org.apache.pig.backend.hadoop.accumulo","2,84",281
"org.apache.pig.backend.hadoop.datastorage","1,52",138
"org.apache.pig.backend.hadoop.executionengine","2,27",150
"org.apache.pig.backend.hadoop.executionengine.fetch","1,67",82
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer","3,22",2.340
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.partitioners","3,50",77
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans","1,79",120
"org.apache.pig.backend.hadoop.executionengine.physicalLayer","1,39",103
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators","3,00",1.287
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.regex","6,82",75
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans","2,27",297
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators","2,41",1.651
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.util","1,44",95
"org.apache.pig.backend.hadoop.executionengine.tez","4,66",410
"org.apache.pig.backend.hadoop.executionengine.tez.plan","2,33",585
"org.apache.pig.backend.hadoop.executionengine.tez.plan.operator","2,34",389
"org.apache.pig.backend.hadoop.executionengine.tez.plan.optimizer","5,71",291
"org.apache.pig.backend.hadoop.executionengine.tez.plan.udf","2,64",37
"org.apache.pig.backend.hadoop.executionengine.tez.runtime","2,67",107
"org.apache.pig.backend.hadoop.executionengine.tez.util","2,89",78
"org.apache.pig.backend.hadoop.executionengine.util","4,14",385
"org.apache.pig.backend.hadoop.hbase","3,08",305
"org.apache.pig.backend.hadoop.streaming","3,89",35
"org.apache.pig.builtin","2,54",3.005
"org.apache.pig.builtin.mock","1,30",92
"org.apache.pig.classification","1,00",1
"org.apache.pig.data","2,75",2.313
"org.apache.pig.data.utils","2,51",118
"org.apache.pig.impl","1,84",127
"org.apache.pig.impl.builtin","3,13",272
"org.apache.pig.impl.io","1,90",477
"org.apache.pig.impl.logicalLayer","1,00",21
"org.apache.pig.impl.logicalLayer.schema","3,92",349
"org.apache.pig.impl.logicalLayer.validators","1,00",14
"org.apache.pig.impl.plan","2,34",583
"org.apache.pig.impl.plan.optimizer","1,00",12
"org.apache.pig.impl.streaming","2,15",265
"org.apache.pig.impl.util","3,03",570
"org.apache.pig.impl.util.avro","3,23",265
"org.apache.pig.impl.util.hive","3,78",174
"org.apache.pig.newplan","2,51",399
"org.apache.pig.newplan.logical","1,78",66
"org.apache.pig.newplan.logical.expression","2,18",628
"org.apache.pig.newplan.logical.optimizer","1,72",162
"org.apache.pig.newplan.logical.relational","2,92",1.087
"org.apache.pig.newplan.logical.rules","3,83",785
"org.apache.pig.newplan.logical.visitor","4,21",829
"org.apache.pig.newplan.optimizer","4,20",63
"org.apache.pig.parser","2,81",744
"org.apache.pig.pen","4,17",604
"org.apache.pig.pen.util","2,94",141
"org.apache.pig.scripting","2,29",179
"org.apache.pig.scripting.groovy","2,97",235
"org.apache.pig.scripting.jruby","2,00",370
"org.apache.pig.scripting.js","2,40",108
"org.apache.pig.scripting.jython","5,91",136
"org.apache.pig.scripting.streaming.python","2,60",13
"org.apache.pig.tools","1,43",10
"org.apache.pig.tools.cmdline","4,67",28
"org.apache.pig.tools.counters","6,00",12
"org.apache.pig.tools.grunt","3,65",285
"org.apache.pig.tools.parameters","3,30",66
"org.apache.pig.tools.pigstats","1,66",412
"org.apache.pig.tools.pigstats.mapreduce","2,62",212
"org.apache.pig.tools.pigstats.tez","2,42",247
"org.apache.pig.tools.streams","2,40",12
"org.apache.pig.tools.timer","1,56",14
"org.apache.pig.validator","1,68",47

