Package,PDcy,PDpt
"",0,0
"META-INF.services",0,0
"docs",0,0
"docs.jdiff",0,0
"docs.src.documentation",0,0
"docs.src.documentation.classes",0,0
"docs.src.documentation.conf",0,0
"docs.src.documentation.content",0,0
"docs.src.documentation.content.xdocs",0,0
"docs.src.documentation.content.xdocs.images",0,0
"docs.src.documentation.resources.images",0,0
"docs.src.documentation.resources.schema",0,0
"docs.src.documentation.resources.stylesheets",0,0
"docs.src.documentation.translations",0,0
"main.jruby",0,0
"org.apache.hadoop.hive.serde2.objectinspector.primitive",0,1
"org.apache.pig",28,57
"org.apache.pig.backend",1,5
"org.apache.pig.backend.datastorage",1,10
"org.apache.pig.backend.executionengine",10,43
"org.apache.pig.backend.hadoop",4,6
"org.apache.pig.backend.hadoop.accumulo",8,0
"org.apache.pig.backend.hadoop.datastorage",5,21
"org.apache.pig.backend.hadoop.executionengine",22,8
"org.apache.pig.backend.hadoop.executionengine.fetch",18,1
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer",27,31
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.partitioners",10,4
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans",10,5
"org.apache.pig.backend.hadoop.executionengine.optimizer",0,2
"org.apache.pig.backend.hadoop.executionengine.physicalLayer",8,25
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators",14,17
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.expressionOperators.regex",1,1
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans",11,22
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators",22,26
"org.apache.pig.backend.hadoop.executionengine.physicalLayer.util",9,12
"org.apache.pig.backend.hadoop.executionengine.tez",27,2
"org.apache.pig.backend.hadoop.executionengine.tez.plan",24,6
"org.apache.pig.backend.hadoop.executionengine.tez.plan.operator",22,5
"org.apache.pig.backend.hadoop.executionengine.tez.plan.optimizer",21,3
"org.apache.pig.backend.hadoop.executionengine.tez.plan.udf",7,5
"org.apache.pig.backend.hadoop.executionengine.tez.runtime",21,6
"org.apache.pig.backend.hadoop.executionengine.tez.util",18,5
"org.apache.pig.backend.hadoop.executionengine.util",16,9
"org.apache.pig.backend.hadoop.hbase",8,1
"org.apache.pig.backend.hadoop.streaming",5,1
"org.apache.pig.builtin",17,15
"org.apache.pig.builtin.mock",7,0
"org.apache.pig.classification",0,0
"org.apache.pig.data",14,45
"org.apache.pig.data.utils",2,1
"org.apache.pig.impl",7,45
"org.apache.pig.impl.builtin",18,14
"org.apache.pig.impl.io",12,29
"org.apache.pig.impl.logicalLayer",4,32
"org.apache.pig.impl.logicalLayer.schema",4,20
"org.apache.pig.impl.logicalLayer.validators",2,1
"org.apache.pig.impl.plan",5,35
"org.apache.pig.impl.plan.optimizer",1,4
"org.apache.pig.impl.streaming",10,13
"org.apache.pig.impl.util",17,46
"org.apache.pig.impl.util.avro",3,1
"org.apache.pig.impl.util.hive",5,1
"org.apache.pig.newplan",6,20
"org.apache.pig.newplan.logical",6,6
"org.apache.pig.newplan.logical.expression",17,9
"org.apache.pig.newplan.logical.optimizer",10,5
"org.apache.pig.newplan.logical.relational",25,19
"org.apache.pig.newplan.logical.rules",19,3
"org.apache.pig.newplan.logical.visitor",18,2
"org.apache.pig.newplan.optimizer",2,3
"org.apache.pig.parser",22,15
"org.apache.pig.pen",22,5
"org.apache.pig.pen.util",6,3
"org.apache.pig.scripting",9,7
"org.apache.pig.scripting.groovy",10,0
"org.apache.pig.scripting.jruby",10,0
"org.apache.pig.scripting.js",10,0
"org.apache.pig.scripting.jython",9,0
"org.apache.pig.scripting.streaming.python",4,0
"org.apache.pig.tools",7,0
"org.apache.pig.tools.cmdline",0,1
"org.apache.pig.tools.counters",2,1
"org.apache.pig.tools.grunt",10,3
"org.apache.pig.tools.parameters",3,2
"org.apache.pig.tools.pigscript.parser",0,0
"org.apache.pig.tools.pigstats",17,26
"org.apache.pig.tools.pigstats.mapreduce",13,3
"org.apache.pig.tools.pigstats.tez",14,2
"org.apache.pig.tools.streams",0,0
"org.apache.pig.tools.timer",0,1
"org.apache.pig.validator",6,5
"packages",0,0
"packages.templates.conf",0,0
"python.streaming",0,0

