Chidamber-Kemerer metrics,Ter, 12 dez 2017 11:18:11 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.apache.qpid.qmf2.agent.Agent",26,1,3,0,64,101
"org.apache.qpid.qmf2.agent.Agent.Heartbeat",2,0,1,0,3,3
"org.apache.qpid.qmf2.agent.AgentExternal",5,0,6,0,13,14
"org.apache.qpid.qmf2.agent.MethodCallParams",6,0,1,0,10,8
"org.apache.qpid.qmf2.agent.MethodCallWorkItem",7,1,1,0,4,2
"org.apache.qpid.qmf2.agent.QmfAgentData",15,1,6,7,22,24
"org.apache.qpid.qmf2.agent.QueryWorkItem",5,1,1,0,5,3
"org.apache.qpid.qmf2.agent.ResubscribeParams",2,1,3,0,8,5
"org.apache.qpid.qmf2.agent.ResubscribeRequestWorkItem",4,1,1,0,4,2
"org.apache.qpid.qmf2.agent.SubscribableAgent",n/a,n/a,n/a,n/a,3,n/a
"org.apache.qpid.qmf2.agent.SubscribeRequestWorkItem",4,1,1,0,4,2
"org.apache.qpid.qmf2.agent.Subscription",4,0,2,0,12,24
"org.apache.qpid.qmf2.agent.SubscriptionParams",5,1,5,0,11,6
"org.apache.qpid.qmf2.agent.UnsubscribeRequestWorkItem",3,1,1,0,4,2
"org.apache.qpid.qmf2.common.AMQPMessage",3,0,4,0,10,24
"org.apache.qpid.qmf2.common.BlockingNotifier",2,0,1,0,2,3
"org.apache.qpid.qmf2.common.BooleanEquals",0,0,2,0,4,5
"org.apache.qpid.qmf2.common.BooleanExists",0,0,2,0,4,4
"org.apache.qpid.qmf2.common.BooleanExpression",1,0,3,0,6,23
"org.apache.qpid.qmf2.common.BooleanFalse",0,0,2,0,3,3
"org.apache.qpid.qmf2.common.BooleanGreaterEqual",0,0,2,0,4,5
"org.apache.qpid.qmf2.common.BooleanGreaterThan",0,0,2,0,4,5
"org.apache.qpid.qmf2.common.BooleanLessEqual",0,0,2,0,4,5
"org.apache.qpid.qmf2.common.BooleanLessThan",0,0,2,0,4,5
"org.apache.qpid.qmf2.common.BooleanNotEquals",0,0,2,0,4,5
"org.apache.qpid.qmf2.common.BooleanRegexMatch",0,0,2,0,4,5
"org.apache.qpid.qmf2.common.BooleanTrue",0,0,2,0,3,3
"org.apache.qpid.qmf2.common.Expression",0,0,2,0,2,5
"org.apache.qpid.qmf2.common.Handle",18,0,2,0,5,5
"org.apache.qpid.qmf2.common.LogicalAnd",0,0,1,0,2,4
"org.apache.qpid.qmf2.common.LogicalExpression",0,0,0,0,1,3
"org.apache.qpid.qmf2.common.LogicalNot",0,0,1,0,2,4
"org.apache.qpid.qmf2.common.LogicalOr",0,0,1,0,2,4
"org.apache.qpid.qmf2.common.Notifier",n/a,n/a,n/a,n/a,1,n/a
"org.apache.qpid.qmf2.common.NotifierWrapper",2,0,1,0,2,2
"org.apache.qpid.qmf2.common.NullQmfEventListener",2,0,1,0,1,1
"org.apache.qpid.qmf2.common.ObjectId",28,0,3,0,10,14
"org.apache.qpid.qmf2.common.QmfCallback",n/a,n/a,n/a,n/a,0,n/a
"org.apache.qpid.qmf2.common.QmfData",27,0,1,6,23,46
"org.apache.qpid.qmf2.common.QmfDescribed",0,0,1,0,5,6
"org.apache.qpid.qmf2.common.QmfEvent",19,0,2,0,9,18
"org.apache.qpid.qmf2.common.QmfEventListener",n/a,n/a,n/a,n/a,1,n/a
"org.apache.qpid.qmf2.common.QmfException",32,0,0,0,1,1
"org.apache.qpid.qmf2.common.QmfManaged",20,0,1,2,5,6
"org.apache.qpid.qmf2.common.QmfQuery",13,0,2,0,14,30
