Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.apache.qpid.qmf2.agent.Agent",26,27,52,79,22,1,0,3,1.252,732,0,17,0,"3,06",7,64,101
"org.apache.qpid.qmf2.agent.Agent.Heartbeat",2,0,1,1,22,0,0,1,44,37,0,0,0,"3,00",0,3,3
"org.apache.qpid.qmf2.agent.AgentExternal",5,1,10,11,5,0,0,6,211,67,0,0,0,"1,40",1,13,14
"org.apache.qpid.qmf2.agent.MethodCallParams",6,4,6,10,3,0,0,1,85,48,0,0,0,"1,33",4,10,8
"org.apache.qpid.qmf2.agent.MethodCallWorkItem",7,3,6,9,3,1,0,1,33,11,0,3,0,"1,00",1,4,2
"org.apache.qpid.qmf2.agent.QmfAgentData",15,6,25,31,3,1,0,6,302,138,7,2,1,"1,20",8,22,24
"org.apache.qpid.qmf2.agent.QueryWorkItem",5,3,7,10,4,1,0,1,52,16,0,3,0,"1,00",2,5,3
"org.apache.qpid.qmf2.agent.ResubscribeParams",2,2,23,25,1,1,0,3,45,23,0,17,0,"1,25",3,8,5
"org.apache.qpid.qmf2.agent.ResubscribeRequestWorkItem",4,3,6,9,3,1,0,1,35,11,0,3,0,"1,00",1,4,2
"org.apache.qpid.qmf2.agent.SubscribableAgent",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"org.apache.qpid.qmf2.agent.SubscribeRequestWorkItem",4,3,6,9,3,1,0,1,38,11,0,3,0,"1,00",1,4,2
"org.apache.qpid.qmf2.agent.Subscription",4,14,12,26,3,0,0,2,223,138,0,0,0,"2,00",6,12,24
"org.apache.qpid.qmf2.agent.SubscriptionParams",5,3,25,28,4,1,0,5,63,29,0,17,0,"1,00",5,11,6
"org.apache.qpid.qmf2.agent.UnsubscribeRequestWorkItem",3,3,6,9,2,1,0,1,34,11,0,3,0,"1,00",1,4,2
"org.apache.qpid.qmf2.common.AMQPMessage",3,0,9,9,1,0,0,4,246,139,0,0,0,"2,67",6,10,24
"org.apache.qpid.qmf2.common.BlockingNotifier",2,1,2,3,0,0,0,1,40,24,0,0,0,"1,50",0,2,3
"org.apache.qpid.qmf2.common.BooleanEquals",0,0,4,4,0,0,0,2,48,23,0,0,0,"1,25",2,4,5
"org.apache.qpid.qmf2.common.BooleanExists",0,0,4,4,0,0,0,2,43,18,0,0,0,"1,00",2,4,4
"org.apache.qpid.qmf2.common.BooleanExpression",1,3,6,9,1,0,0,3,173,127,0,0,0,"5,75",3,6,23
"org.apache.qpid.qmf2.common.BooleanFalse",0,0,3,3,0,0,0,2,32,14,0,0,0,"1,00",2,3,3
"org.apache.qpid.qmf2.common.BooleanGreaterEqual",0,0,4,4,0,0,0,2,58,32,0,0,0,"1,25",2,4,5
"org.apache.qpid.qmf2.common.BooleanGreaterThan",0,0,4,4,0,0,0,2,58,32,0,0,0,"1,25",2,4,5
"org.apache.qpid.qmf2.common.BooleanLessEqual",0,0,4,4,0,0,0,2,58,32,0,0,0,"1,25",2,4,5
"org.apache.qpid.qmf2.common.BooleanLessThan",0,0,4,4,0,0,0,2,58,32,0,0,0,"1,25",2,4,5
"org.apache.qpid.qmf2.common.BooleanNotEquals",0,0,4,4,0,0,0,2,48,23,0,0,0,"1,25",2,4,5
"org.apache.qpid.qmf2.common.BooleanRegexMatch",0,1,4,5,0,0,0,2,59,34,0,0,0,"1,25",2,4,5
"org.apache.qpid.qmf2.common.BooleanTrue",0,0,3,3,0,0,0,2,32,14,0,0,0,"1,00",2,3,3
"org.apache.qpid.qmf2.common.Expression",0,0,2,2,0,0,0,2,48,26,0,0,0,"5,00",2,2,5
"org.apache.qpid.qmf2.common.Handle",18,2,5,7,0,0,0,2,76,34,0,0,0,"1,00",3,5,5
"org.apache.qpid.qmf2.common.LogicalAnd",0,0,2,2,0,0,0,1,33,18,0,0,0,"2,00",1,2,4
"org.apache.qpid.qmf2.common.LogicalExpression",0,1,1,2,0,0,0,0,34,21,0,0,0,"3,00",0,1,3
"org.apache.qpid.qmf2.common.LogicalNot",0,0,2,2,0,0,0,1,33,18,0,0,0,"2,00",1,2,4
"org.apache.qpid.qmf2.common.LogicalOr",0,0,2,2,0,0,0,1,33,18,0,0,0,"2,00",1,2,4
"org.apache.qpid.qmf2.common.Notifier",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
