Package,C(rec),LOC(rec),METH(rec)
"",126,36.521,788
"qpid-broker-plugins-management-qmf2",11,3.072,77
"qpid-broker-plugins-management-qmf2.src",11,2.845,77
"qpid-broker-plugins-management-qmf2.src.main",11,2.845,77
"qpid-broker-plugins-management-qmf2.src.main.assembly",n/a,283,n/a
"qpid-broker-plugins-management-qmf2.src.main.assembly.dependency-verification",n/a,34,n/a
"qpid-broker-plugins-management-qmf2.src.main.java",11,2.562,77
"qpid-broker-plugins-management-qmf2.src.main.java.org",11,2.562,77
"qpid-broker-plugins-management-qmf2.src.main.java.org.apache",11,2.562,77
"qpid-broker-plugins-management-qmf2.src.main.java.org.apache.qpid",11,2.562,77
"qpid-broker-plugins-management-qmf2.src.main.java.org.apache.qpid.server",11,2.562,77
"qpid-broker-plugins-management-qmf2.src.main.java.org.apache.qpid.server.qmf2",11,2.562,77
"qpid-broker-plugins-management-qmf2.src.main.java.org.apache.qpid.server.qmf2.agentdata",8,1.747,58
"qpid-qmf2",78,13.070,509
"qpid-qmf2-rest",13,2.914,99
"qpid-qmf2-rest.src",13,2.879,99
"qpid-qmf2-rest.src.main",13,2.879,99
"qpid-qmf2-rest.src.main.java",13,2.879,99
"qpid-qmf2-rest.src.main.java.org",13,2.879,99
"qpid-qmf2-rest.src.main.java.org.apache",13,2.879,99
"qpid-qmf2-rest.src.main.java.org.apache.qpid",13,2.879,99
"qpid-qmf2-rest.src.main.java.org.apache.qpid.restapi",13,2.879,99
"qpid-qmf2-rest.src.main.java.org.apache.qpid.restapi.httpserver",4,499,25
"qpid-qmf2-rest.src.main.java.org.apache.qpid.restapi.servlet",n/a,24,n/a
"qpid-qmf2-test",16,2.983,55
"qpid-qmf2-test.src",16,2.761,55
"qpid-qmf2-test.src.main",16,2.761,55
"qpid-qmf2-test.src.main.java",16,2.761,55
"qpid-qmf2-test.src.main.java.org",16,2.761,55
"qpid-qmf2-test.src.main.java.org.apache",16,2.761,55
"qpid-qmf2-test.src.main.java.org.apache.qpid",16,2.761,55
"qpid-qmf2-test.src.main.java.org.apache.qpid.qmf2",16,2.761,55
"qpid-qmf2-test.src.main.java.org.apache.qpid.qmf2.test",16,2.761,55
"qpid-qmf2-tools",8,14.123,48
"qpid-qmf2-tools.bin",n/a,10.224,n/a
"qpid-qmf2-tools.bin.qpid-web",n/a,9.848,n/a
"qpid-qmf2-tools.bin.qpid-web.authentication",n/a,22,n/a
"qpid-qmf2-tools.bin.qpid-web.web",n/a,9.826,n/a
"qpid-qmf2-tools.bin.qpid-web.web.itablet",n/a,3.720,n/a
"qpid-qmf2-tools.bin.qpid-web.web.itablet.css",n/a,1.453,n/a
"qpid-qmf2-tools.bin.qpid-web.web.itablet.scripts",n/a,2.267,n/a
"qpid-qmf2-tools.bin.qpid-web.web.qmf-ui",n/a,4.296,n/a
"qpid-qmf2-tools.bin.qpid-web.web.qmf-ui.css",n/a,172,n/a
"qpid-qmf2-tools.bin.qpid-web.web.qmf-ui.scripts",n/a,4.124,n/a
"qpid-qmf2-tools.bin.qpid-web.web.qpid",n/a,688,n/a
"qpid-qmf2-tools.bin.qpid-web.web.qpid.scripts",n/a,688,n/a
"qpid-qmf2-tools.bin.qpid-web.web.ui",n/a,1.076,n/a
"qpid-qmf2-tools.src",8,3.721,48
"qpid-qmf2-tools.src.main",8,3.721,48
"qpid-qmf2-tools.src.main.assembly",n/a,341,n/a
"qpid-qmf2-tools.src.main.assembly.dependency-verification",n/a,40,n/a
"qpid-qmf2-tools.src.main.java",8,3.380,48
"qpid-qmf2-tools.src.main.java.org",8,3.380,48
"qpid-qmf2-tools.src.main.java.org.apache",8,3.380,48
"qpid-qmf2-tools.src.main.java.org.apache.qpid",8,3.380,48
"qpid-qmf2-tools.src.main.java.org.apache.qpid.qmf2",8,3.380,48
"qpid-qmf2-tools.src.main.java.org.apache.qpid.qmf2.tools",8,3.380,48
"qpid-qmf2.src",78,13.025,509
"qpid-qmf2.src.main",78,13.025,509
"qpid-qmf2.src.main.java",78,13.025,509
"qpid-qmf2.src.main.java.org",78,13.025,509
"qpid-qmf2.src.main.java.org.apache",78,13.025,509
"qpid-qmf2.src.main.java.org.apache.qpid",78,13.025,509
"qpid-qmf2.src.main.java.org.apache.qpid.qmf2",78,13.025,509
"qpid-qmf2.src.main.java.org.apache.qpid.qmf2.agent",14,2.847,106
"qpid-qmf2.src.main.java.org.apache.qpid.qmf2.common",42,5.225,241
"qpid-qmf2.src.main.java.org.apache.qpid.qmf2.console",20,3.961,151
"qpid-qmf2.src.main.java.org.apache.qpid.qmf2.util",2,992,11

