Package,v(G)avg,v(G)tot
"qpid-broker-plugins-management-qmf2.src.main.java.org.apache.qpid.server.qmf2","5,33",96
"qpid-broker-plugins-management-qmf2.src.main.java.org.apache.qpid.server.qmf2.agentdata","2,43",141
"qpid-qmf2-rest.src.main.java.org.apache.qpid.restapi","4,43",235
"qpid-qmf2-rest.src.main.java.org.apache.qpid.restapi.httpserver","1,84",46
"qpid-qmf2-test.src.main.java.org.apache.qpid.qmf2.test","4,18",230
"qpid-qmf2-tools.src.main.java.org.apache.qpid.qmf2.tools","8,52",409
"qpid-qmf2.src.main.java.org.apache.qpid.qmf2.agent","2,14",220
"qpid-qmf2.src.main.java.org.apache.qpid.qmf2.common","1,94",459
"qpid-qmf2.src.main.java.org.apache.qpid.qmf2.console","2,59",375
"qpid-qmf2.src.main.java.org.apache.qpid.qmf2.util","8,00",88

