Chidamber-Kemerer metrics,Ter, 12 dez 2017 14:23:50 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"com.opensymphony.xwork2.Action",n/a,n/a,n/a,n/a,1,n/a
"com.opensymphony.xwork2.ActionChainResult",20,1,1,0,47,36
"com.opensymphony.xwork2.ActionContext",294,1,1,1,35,29
"com.opensymphony.xwork2.ActionEventListener",n/a,n/a,n/a,n/a,2,n/a
"com.opensymphony.xwork2.ActionInvocation",n/a,n/a,n/a,n/a,15,n/a
"com.opensymphony.xwork2.ActionProxy",n/a,n/a,n/a,n/a,10,n/a
"com.opensymphony.xwork2.ActionProxyFactory",n/a,n/a,n/a,n/a,3,n/a
"com.opensymphony.xwork2.ActionSupport",178,1,7,142,84,44
"com.opensymphony.xwork2.CompositeTextProvider",4,1,1,0,27,28
"com.opensymphony.xwork2.DefaultActionInvocation",32,1,1,9,90,62
"com.opensymphony.xwork2.DefaultActionProxy",16,1,4,1,42,25
"com.opensymphony.xwork2.DefaultActionProxyFactory",15,1,1,3,16,9
"com.opensymphony.xwork2.DefaultLocaleProvider",4,1,1,0,5,2
"com.opensymphony.xwork2.DefaultTextProvider",8,1,4,0,27,21
"com.opensymphony.xwork2.DefaultUnknownHandlerManager",15,1,1,5,24,18
"com.opensymphony.xwork2.FileManager",n/a,n/a,n/a,n/a,9,n/a
"com.opensymphony.xwork2.FileManagerFactory",n/a,n/a,n/a,n/a,2,n/a
"com.opensymphony.xwork2.InvalidMetadataException",0,4,0,0,2,1
"com.opensymphony.xwork2.LocaleProvider",n/a,n/a,n/a,n/a,1,n/a
"com.opensymphony.xwork2.ModelDriven",n/a,n/a,n/a,n/a,1,n/a
"com.opensymphony.xwork2.ObjectFactory",93,1,8,7,32,23
"com.opensymphony.xwork2.Preparable",n/a,n/a,n/a,n/a,1,n/a
"com.opensymphony.xwork2.ResourceBundleTextProvider",n/a,n/a,n/a,n/a,3,n/a
"com.opensymphony.xwork2.Result",n/a,n/a,n/a,n/a,1,n/a
"com.opensymphony.xwork2.TestNGXWorkTestCase",10,1,1,2,11,3
"com.opensymphony.xwork2.TextProvider",n/a,n/a,n/a,n/a,12,n/a
"com.opensymphony.xwork2.TextProviderFactory",8,1,1,0,10,9
"com.opensymphony.xwork2.TextProviderSupport",10,1,1,0,33,31
"com.opensymphony.xwork2.Unchainable",n/a,n/a,n/a,n/a,0,n/a
"com.opensymphony.xwork2.UnknownHandler",n/a,n/a,n/a,n/a,3,n/a
"com.opensymphony.xwork2.UnknownHandlerManager",n/a,n/a,n/a,n/a,5,n/a
"com.opensymphony.xwork2.Validateable",n/a,n/a,n/a,n/a,1,n/a
"com.opensymphony.xwork2.ValidationAwareSupport",10,1,1,2,33,25
"com.opensymphony.xwork2.XWork",8,1,2,0,15,5
"com.opensymphony.xwork2.XWorkConstants",22,1,0,0,0,0
"com.opensymphony.xwork2.XWorkException",45,4,1,5,14,13
"com.opensymphony.xwork2.XWorkJUnit4TestCase",13,1,1,1,11,7
