Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"com.opensymphony.xwork2.Action",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.opensymphony.xwork2.ActionChainResult",20,10,29,39,83,1,2,1,223,122,0,9,2,"2,25",6,45,36
"com.opensymphony.xwork2.ActionContext",294,12,38,50,29,1,1,1,289,107,1,11,0,"1,12",13,35,29
"com.opensymphony.xwork2.ActionEventListener",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.opensymphony.xwork2.ActionInvocation",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15,n/a
"com.opensymphony.xwork2.ActionProxy",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10,n/a
"com.opensymphony.xwork2.ActionProxyFactory",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.opensymphony.xwork2.ActionSupport",178,4,80,84,88,1,6,7,222,147,142,10,1,"1,10",26,82,44
"com.opensymphony.xwork2.CompositeTextProvider",4,2,38,40,3,1,1,1,235,91,0,11,0,"2,00",12,26,28
"com.opensymphony.xwork2.DefaultActionInvocation",32,19,54,73,100,1,2,1,393,322,9,11,0,"2,30",15,84,62
"com.opensymphony.xwork2.DefaultActionProxy",16,14,40,54,118,1,2,4,153,127,1,11,0,"1,39",10,37,25
"com.opensymphony.xwork2.DefaultActionProxyFactory",15,1,24,25,134,1,1,1,42,37,3,10,1,"1,00",7,16,9
"com.opensymphony.xwork2.DefaultLocaleProvider",4,1,14,15,31,1,1,1,15,12,0,11,0,"2,00",1,3,2
"com.opensymphony.xwork2.DefaultTextProvider",8,1,37,38,83,1,3,4,96,86,0,11,0,"1,62",12,27,21
"com.opensymphony.xwork2.DefaultUnknownHandlerManager",15,2,24,26,80,1,1,1,105,70,5,11,0,"2,57",5,24,18
"com.opensymphony.xwork2.FileManager",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,n/a
"com.opensymphony.xwork2.FileManagerFactory",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2,n/a
"com.opensymphony.xwork2.InvalidMetadataException",0,5,49,54,0,4,1,0,16,5,0,26,0,"1,00",0,2,1
"com.opensymphony.xwork2.LocaleProvider",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.opensymphony.xwork2.ModelDriven",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.opensymphony.xwork2.ObjectFactory",93,9,32,41,46,1,1,8,201,90,7,11,0,"1,15",12,31,23
"com.opensymphony.xwork2.Preparable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.opensymphony.xwork2.ResourceBundleTextProvider",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.opensymphony.xwork2.Result",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.opensymphony.xwork2.TestNGXWorkTestCase",10,4,15,19,264,1,0,1,32,28,2,11,0,"1,00",0,11,3
"com.opensymphony.xwork2.TextProvider",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12,n/a
"com.opensymphony.xwork2.TextProviderFactory",8,1,17,18,84,1,0,1,43,37,0,11,0,"1,80",4,10,9
"com.opensymphony.xwork2.TextProviderSupport",10,3,46,49,83,1,2,1,283,111,0,11,0,"1,63",13,33,31
"com.opensymphony.xwork2.Unchainable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a
"com.opensymphony.xwork2.UnknownHandler",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a
"com.opensymphony.xwork2.UnknownHandlerManager",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5,n/a
"com.opensymphony.xwork2.Validateable",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a
"com.opensymphony.xwork2.ValidationAwareSupport",10,3,46,49,1,1,2,1,131,86,2,11,0,"1,19",10,33,25
"com.opensymphony.xwork2.XWork",8,1,17,18,274,1,0,2,48,28,0,11,0,"1,00",0,15,5
"com.opensymphony.xwork2.XWorkConstants",22,18,12,30,0,1,0,0,23,20,0,11,0,n/a,0,0,0
"com.opensymphony.xwork2.XWorkException",45,6,58,64,9,4,2,1,105,46,5,24,1,"1,44",2,14,13
