Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"com.opensymphony.xwork2.Action.execute()",n/a,2,89,n/a,n/a,0,n/a,n/a
"com.opensymphony.xwork2.ActionChainResult.ActionChainResult()",1,2,n/a,3,0,0,1,1
"com.opensymphony.xwork2.ActionChainResult.ActionChainResult(String,String,String)",0,1,n/a,5,0,3,3,1
"com.opensymphony.xwork2.ActionChainResult.ActionChainResult(String,String,String,String)",0,0,n/a,6,0,4,4,1
"com.opensymphony.xwork2.ActionChainResult.addToHistory(String,String,String)",3,3,n/a,4,0,3,2,1
"com.opensymphony.xwork2.ActionChainResult.equals(Object)",5,205,n/a,9,0,1,12,10
"com.opensymphony.xwork2.ActionChainResult.execute(ActionInvocation)",33,9,n/a,30,1,1,19,7
"com.opensymphony.xwork2.ActionChainResult.getChainHistory()",5,5,n/a,15,1,0,5,2
"com.opensymphony.xwork2.ActionChainResult.getProxy()",0,1,n/a,3,0,0,1,1
"com.opensymphony.xwork2.ActionChainResult.hashCode()",3,36,n/a,7,0,0,5,4
"com.opensymphony.xwork2.ActionChainResult.isInChainHistory(String,String,String)",11,1,n/a,19,2,3,11,5
"com.opensymphony.xwork2.ActionChainResult.makeKey(String,String,String)",0,2,n/a,6,1,3,3,2
"com.opensymphony.xwork2.ActionChainResult.setActionName(String)",0,3,n/a,8,0,1,1,1
"com.opensymphony.xwork2.ActionChainResult.setActionProxyFactory(ActionProxyFactory)",0,1,n/a,7,0,1,1,1
"com.opensymphony.xwork2.ActionChainResult.setMethod(String)",0,0,n/a,3,0,1,1,1
"com.opensymphony.xwork2.ActionChainResult.setNamespace(String)",0,1,n/a,9,0,1,1,1
"com.opensymphony.xwork2.ActionChainResult.setSkipActions(String)",0,0,n/a,10,0,1,1,1
"com.opensymphony.xwork2.ActionContext.ActionContext(Map<String, Object>)",0,82,n/a,8,0,1,1,1
"com.opensymphony.xwork2.ActionContext.get(String)",1,96,n/a,9,0,1,1,1
"com.opensymphony.xwork2.ActionContext.getActionInvocation()",1,23,n/a,8,0,0,1,1
"com.opensymphony.xwork2.ActionContext.getApplication()",1,7,n/a,8,0,0,1,1
"com.opensymphony.xwork2.ActionContext.getContainer()",1,12,n/a,8,0,0,1,1
"com.opensymphony.xwork2.ActionContext.getContext()",1,595,n/a,8,0,0,1,1
"com.opensymphony.xwork2.ActionContext.getContextMap()",0,28,n/a,8,0,0,1,1
"com.opensymphony.xwork2.ActionContext.getConversionErrors()",3,9,n/a,14,1,0,5,2
"com.opensymphony.xwork2.ActionContext.getInstance(Class<T>)",3,8,n/a,8,1,1,4,2
"com.opensymphony.xwork2.ActionContext.getLocale()",3,38,n/a,14,1,0,5,2
"com.opensymphony.xwork2.ActionContext.getName()",1,2,n/a,8,0,0,1,1
"com.opensymphony.xwork2.ActionContext.getParameters()",1,37,n/a,10,0,0,1,1
"com.opensymphony.xwork2.ActionContext.getSession()",1,41,n/a,8,0,0,1,1
