Package,v(G)avg,v(G)tot
"com.opensymphony.xwork2","1,63",433
"com.opensymphony.xwork2.config","1,59",65
"com.opensymphony.xwork2.config.entities","1,86",404
"com.opensymphony.xwork2.config.impl","2,06",136
"com.opensymphony.xwork2.config.providers","3,83",253
"com.opensymphony.xwork2.conversion","1,00",4
"com.opensymphony.xwork2.conversion.annotations","1,00",2
"com.opensymphony.xwork2.conversion.impl","4,26",413
"com.opensymphony.xwork2.conversion.metadata","1,92",23
"com.opensymphony.xwork2.factory","1,80",27
"com.opensymphony.xwork2.inject","1,68",200
"com.opensymphony.xwork2.inject.util","1,61",143
"com.opensymphony.xwork2.interceptor","2,63",382
"com.opensymphony.xwork2.interceptor.annotations","6,50",26
"com.opensymphony.xwork2.mock","1,17",89
"com.opensymphony.xwork2.ognl","1,89",276
"com.opensymphony.xwork2.ognl.accessor","3,30",208
"com.opensymphony.xwork2.security","1,36",38
"com.opensymphony.xwork2.spring","2,53",43
"com.opensymphony.xwork2.spring.interceptor","2,00",8
"com.opensymphony.xwork2.test","1,00",5
"com.opensymphony.xwork2.util","3,17",602
"com.opensymphony.xwork2.util.classloader","2,04",57
"com.opensymphony.xwork2.util.finder","2,46",356
"com.opensymphony.xwork2.util.fs","2,15",58
"com.opensymphony.xwork2.util.location","2,25",133
"com.opensymphony.xwork2.util.logging","3,00",30
"com.opensymphony.xwork2.util.logging.commons","1,00",25
"com.opensymphony.xwork2.util.logging.jdk","1,00",25
"com.opensymphony.xwork2.util.logging.log4j2","1,00",25
"com.opensymphony.xwork2.util.logging.slf4j","1,00",25
"com.opensymphony.xwork2.util.profiling","1,86",39
"com.opensymphony.xwork2.util.reflection","1,20",36
"com.opensymphony.xwork2.validator","3,12",465
"com.opensymphony.xwork2.validator.annotations","1,00",1
"com.opensymphony.xwork2.validator.validators","1,99",211
"org.apache.struts2","1,67",35
"org.apache.struts2.components","1,81",1.335
"org.apache.struts2.components.template","2,14",92
"org.apache.struts2.config","2,10",88
"org.apache.struts2.dispatcher","2,49",299
"org.apache.struts2.dispatcher.filter","1,82",31
"org.apache.struts2.dispatcher.listener","1,17",7
"org.apache.struts2.dispatcher.mapper","3,13",191
"org.apache.struts2.dispatcher.multipart","2,29",167
"org.apache.struts2.dispatcher.servlet","1,43",10
"org.apache.struts2.factory","2,21",31
"org.apache.struts2.interceptor","2,71",368
"org.apache.struts2.interceptor.debugging","3,29",112
"org.apache.struts2.interceptor.servlet","1,00",5
"org.apache.struts2.interceptor.validation","5,00",10
"org.apache.struts2.result","1,90",200
"org.apache.struts2.util","2,01",383
"org.apache.struts2.util.fs","3,54",46
"org.apache.struts2.views","1,00",5
"org.apache.struts2.views.freemarker","2,27",150
"org.apache.struts2.views.freemarker.tags","1,48",210
"org.apache.struts2.views.jsp","1,13",137
"org.apache.struts2.views.jsp.iterator","2,50",60
"org.apache.struts2.views.jsp.ui","1,03",357
"org.apache.struts2.views.util","5,12",82
"org.apache.struts2.views.velocity","3,83",88
"org.apache.struts2.views.velocity.components","1,09",93
"org.apache.struts2.views.xslt","1,27",354

