Package,PDcy,PDpt
"com.opensymphony.xwork2",16,117
"com.opensymphony.xwork2.config",8,33
"com.opensymphony.xwork2.config.entities",3,33
"com.opensymphony.xwork2.config.impl",14,6
"com.opensymphony.xwork2.config.providers",18,15
"com.opensymphony.xwork2.conversion",2,11
"com.opensymphony.xwork2.conversion.annotations",0,5
"com.opensymphony.xwork2.conversion.impl",9,16
"com.opensymphony.xwork2.conversion.metadata",2,0
"com.opensymphony.xwork2.factory",8,6
"com.opensymphony.xwork2.inject",0,52
"com.opensymphony.xwork2.inject.util",0,0
"com.opensymphony.xwork2.interceptor",16,28
"com.opensymphony.xwork2.interceptor.annotations",9,1
"com.opensymphony.xwork2.mock",7,14
"com.opensymphony.xwork2.ognl",12,13
"com.opensymphony.xwork2.ognl.accessor",6,4
"com.opensymphony.xwork2.result",0,1
"com.opensymphony.xwork2.security",2,5
"com.opensymphony.xwork2.spring",9,3
"com.opensymphony.xwork2.spring.interceptor",6,0
"com.opensymphony.xwork2.test",6,5
"com.opensymphony.xwork2.util",12,57
"com.opensymphony.xwork2.util.classloader",1,2
"com.opensymphony.xwork2.util.finder",1,6
"com.opensymphony.xwork2.util.fs",2,8
"com.opensymphony.xwork2.util.location",1,19
"com.opensymphony.xwork2.util.logging",5,7
"com.opensymphony.xwork2.util.logging.commons",1,1
"com.opensymphony.xwork2.util.logging.jdk",1,2
"com.opensymphony.xwork2.util.logging.log4j2",1,1
"com.opensymphony.xwork2.util.logging.slf4j",1,1
"com.opensymphony.xwork2.util.profiling",0,5
"com.opensymphony.xwork2.util.reflection",3,17
"com.opensymphony.xwork2.validator",13,14
"com.opensymphony.xwork2.validator.annotations",0,2
"com.opensymphony.xwork2.validator.validators",7,3
"org.apache.struts2",26,53
"org.apache.struts2.components",23,9
"org.apache.struts2.components.template",8,5
"org.apache.struts2.config",21,2
"org.apache.struts2.dispatcher",18,25
"org.apache.struts2.dispatcher.filter",4,1
"org.apache.struts2.dispatcher.listener",2,1
"org.apache.struts2.dispatcher.mapper",9,16
"org.apache.struts2.dispatcher.multipart",4,5
"org.apache.struts2.dispatcher.servlet",3,0
"org.apache.struts2.factory",8,0
"org.apache.struts2.interceptor",20,8
"org.apache.struts2.interceptor.debugging",8,0
"org.apache.struts2.interceptor.servlet",1,1
"org.apache.struts2.interceptor.validation",6,2
"org.apache.struts2.result",14,11
"org.apache.struts2.util",11,22
"org.apache.struts2.util.fs",1,1
"org.apache.struts2.views",5,4
"org.apache.struts2.views.annotations",0,1
"org.apache.struts2.views.freemarker",16,10
"org.apache.struts2.views.freemarker.tags",6,2
"org.apache.struts2.views.jsp",14,8
"org.apache.struts2.views.jsp.iterator",4,2
"org.apache.struts2.views.jsp.ui",11,5
"org.apache.struts2.views.util",6,9
"org.apache.struts2.views.velocity",7,7
"org.apache.struts2.views.velocity.components",5,1
"org.apache.struts2.views.xslt",4,0

