Class,CBO,CSA,CSO,CSOA,Dcy*,DIT,Inner,LCOM,LOC,NCLOC,NOC,NOIC,NOOC,OCavg,Query,RFC,WMC
"org.apache.xerces.dom.AttrImpl",15,20,91,111,53,1,4,3,339,151,1,34,8,"1,94",12,30,35
"org.apache.xerces.dom.CDATASectionImpl",6,16,100,116,53,3,6,3,76,17,1,52,3,"1,00",3,7,4
"org.apache.xerces.dom.CharacterDataImpl",9,16,88,104,53,1,4,4,240,109,2,39,2,"2,08",5,15,25
"org.apache.xerces.dom.CommentImpl",6,15,92,107,53,2,5,3,39,17,1,49,1,"1,00",3,7,4
"org.apache.xerces.dom.DOMExceptionImpl",15,1,3,4,2,2,0,0,57,6,0,0,0,"1,00",0,2,1
"org.apache.xerces.dom.DOMImplementationImpl",10,1,5,6,53,0,1,4,106,36,0,0,0,"1,50",4,11,6
"org.apache.xerces.dom.DeepNodeListImpl",5,6,7,13,53,0,1,1,166,83,0,0,0,"3,40",3,12,17
"org.apache.xerces.dom.DeferredAttrImpl",5,21,96,117,75,2,5,1,123,59,0,56,2,"2,00",1,15,8
"org.apache.xerces.dom.DeferredCDATASectionImpl",5,17,104,121,75,4,7,1,70,20,0,59,1,"1,00",1,6,3
"org.apache.xerces.dom.DeferredCommentImpl",4,16,96,112,75,3,6,1,50,19,0,53,1,"1,00",1,5,3
"org.apache.xerces.dom.DeferredDocumentImpl",23,41,175,216,75,2,6,2,1.070,791,0,83,2,"3,27",33,70,144
"org.apache.xerces.dom.DeferredDocumentImpl.IntVector",2,2,5,7,1,0,0,1,46,27,0,0,0,"1,40",2,5,7
"org.apache.xerces.dom.DeferredDocumentTypeImpl",9,21,89,110,75,2,5,1,124,67,0,50,2,"3,00",1,21,12
"org.apache.xerces.dom.DeferredElementDefinitionImpl",6,17,78,95,75,2,4,1,70,31,0,43,2,"1,25",1,11,5
"org.apache.xerces.dom.DeferredElementImpl",6,21,113,134,75,2,5,1,118,68,0,67,2,"2,50",1,18,10
"org.apache.xerces.dom.DeferredEntityImpl",6,19,87,106,75,2,5,1,101,35,0,49,2,"1,25",1,15,5
"org.apache.xerces.dom.DeferredEntityReferenceImpl",9,16,78,94,75,2,5,1,137,52,0,43,2,"2,50",1,17,10
