Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.apache.xerces.dom.DeferredNode",0,1,16,12,21
"org.apache.xerces.domx.events.DocumentEvent",0,2,19,1,42
"org.apache.xerces.domx.events.Event",2,2,18,8,50
"org.apache.xerces.domx.events.EventListener",2,1,18,3,50
"org.apache.xerces.domx.events.EventTarget",2,3,18,3,50
"org.apache.xerces.domx.events.MutationEvent",0,2,19,3,43
"org.apache.xerces.domx.events.UIEvent",0,2,19,0,0
"org.apache.xerces.domx.traversal.DocumentTWIF",0,3,18,0,0
"org.apache.xerces.domx.traversal.DocumentTraversal",0,5,19,1,42
"org.apache.xerces.domx.traversal.NodeFilter",0,1,16,7,47
"org.apache.xerces.domx.traversal.NodeIterator",0,3,17,4,44
"org.apache.xerces.domx.traversal.TreeWalker",0,2,17,3,44
"org.apache.xerces.framework.XMLDTDScanner.EventHandler",0,1,3,2,21
"org.apache.xerces.framework.XMLDocumentScanner.EventHandler",0,1,3,6,15
"org.apache.xerces.framework.XMLDocumentScanner.ScannerDispatcher",0,0,0,6,15
"org.apache.xerces.framework.XMLErrorReporter",0,1,1,21,43
"org.apache.xerces.framework.XMLValidator",0,2,9,4,20
"org.apache.xerces.framework.XMLValidator.ContentSpec",0,1,1,6,21
"org.apache.xerces.readers.XMLEntityHandler",0,2,4,22,41
"org.apache.xerces.readers.XMLEntityHandler.CharBuffer",0,0,0,12,49
"org.apache.xerces.readers.XMLEntityHandler.EntityReader",0,2,2,23,45
"org.apache.xerces.utils.NamespacesScope.NamespacesHandler",0,0,0,2,21
"org.apache.xerces.utils.StringPool.StringProducer",0,0,0,4,62
"org.apache.xerces.utils.XMLMessageProvider",0,0,0,5,59
"org.apache.xerces.validators.datatype.DatatypeValidator",0,4,4,9,17
"org.apache.xerces.validators.datatype.InternalDatatypeValidator",0,5,5,5,16
"org.apache.xerces.validators.dtd.DTDValidator.AttributeValidator",0,0,0,11,21
"org.apache.xerces.validators.dtd.DTDValidator.EventHandler",0,1,2,2,20
"org.apache.xerces.validators.dtd.XMLContentModel",0,1,1,7,25
"org.w3c.dom.Attr",13,1,15,8,73
"org.w3c.dom.CDATASection",13,1,15,3,73
"org.w3c.dom.CharacterData",13,2,15,5,73
"org.w3c.dom.Comment",13,1,15,4,73
"org.w3c.dom.DOMImplementation",0,0,0,4,74
"org.w3c.dom.Document",13,13,15,10,73
"org.w3c.dom.DocumentFragment",13,1,15,3,73
"org.w3c.dom.DocumentType",13,2,15,7,73
"org.w3c.dom.Element",13,4,15,10,73
"org.w3c.dom.Entity",0,1,16,4,42
"org.w3c.dom.EntityReference",13,1,15,5,73
"org.w3c.dom.NamedNodeMap",13,2,15,14,73
"org.w3c.dom.Node",13,4,15,54,73
"org.w3c.dom.NodeList",13,1,15,10,73
"org.w3c.dom.Notation",0,1,16,2,42
"org.w3c.dom.ProcessingInstruction",13,2,15,4,73
"org.w3c.dom.Text",13,2,15,7,73
"org.xml.sax.AttributeList",0,0,0,7,42
"org.xml.sax.Configurable",0,1,1,2,10
"org.xml.sax.DTDHandler",0,1,1,4,8
"org.xml.sax.DocumentHandler",0,3,3,5,8
"org.xml.sax.EntityResolver",0,2,2,7,15
"org.xml.sax.ErrorHandler",0,2,3,5,14
"org.xml.sax.Locator",0,0,0,12,55
"org.xml.sax.Parser",0,6,9,3,6
"org.xml.sax.misc.DeclHandler",0,1,1,1,4
"org.xml.sax.misc.LexicalHandler",0,1,1,1,4
"org.xml.sax.misc.NamespaceHandler",0,1,1,1,4

