Package,C(rec),LOC(rec),METH(rec)
"",205,58.910,2.001
"org",205,58.575,2.001
"org.apache",166,54.231,1.801
"org.apache.xerces",166,54.208,1.801
"org.apache.xerces.dom",41,11.072,378
"org.apache.xerces.dom.events",2,294,14
"org.apache.xerces.dom.traversal",2,755,31
"org.apache.xerces.domx",14,2.446,119
"org.apache.xerces.domx.events",6,930,46
"org.apache.xerces.domx.traversal",5,412,22
"org.apache.xerces.framework",19,8.494,344
"org.apache.xerces.msg",4,588,4
"org.apache.xerces.parsers",3,3.773,109
"org.apache.xerces.readers",22,9.809,263
"org.apache.xerces.utils",15,4.925,130
"org.apache.xerces.validators",48,13.064,454
"org.apache.xerces.validators.datatype",12,1.730,60
"org.apache.xerces.validators.dtd",28,7.196,268
"org.apache.xerces.validators.schema",8,4.111,126
"org.w3c",18,1.308,72
"org.w3c.dom",18,1.285,72
"org.xml",21,3.009,128
"org.xml.sax",21,2.986,128
"org.xml.sax.helpers",4,757,36
"org.xml.sax.misc",3,270,13

