Chidamber-Kemerer metrics,Qui, 26 out 2017 17:48:43 BRST
Class,CBO,DIT,LCOM,NOC,RFC,WMC
"org.eclipse.jdt.core.BufferChangedEvent",4,0,4,0,5,5
"org.eclipse.jdt.core.CheckDebugAttributes",7,0,1,0,12,13
"org.eclipse.jdt.core.ClasspathContainerInitializer",6,0,5,1,6,6
"org.eclipse.jdt.core.ClasspathVariableInitializer",1,0,1,0,2,1
"org.eclipse.jdt.core.CompletionProposal",9,1,9,0,29,39
"org.eclipse.jdt.core.CompletionRequestor",17,0,5,3,7,9
"org.eclipse.jdt.core.CompletionRequestorAdapter",2,0,14,0,14,14
"org.eclipse.jdt.core.CorrectionEngine",20,0,1,0,24,37
"org.eclipse.jdt.core.ElementChangedEvent",5,0,2,0,3,3
"org.eclipse.jdt.core.Flags",24,0,18,0,20,32
"org.eclipse.jdt.core.IBuffer",n/a,n/a,n/a,n/a,20,n/a
"org.eclipse.jdt.core.IBufferChangedListener",n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IBufferFactory",n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IClassFile",n/a,n/a,n/a,n/a,6,n/a
"org.eclipse.jdt.core.IClasspathContainer",n/a,n/a,n/a,n/a,4,n/a
"org.eclipse.jdt.core.IClasspathEntry",n/a,n/a,n/a,n/a,10,n/a
"org.eclipse.jdt.core.ICodeAssist",n/a,n/a,n/a,n/a,7,n/a
"org.eclipse.jdt.core.ICodeCompletionRequestor",n/a,n/a,n/a,n/a,11,n/a
"org.eclipse.jdt.core.ICodeFormatter",n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.ICompilationUnit",n/a,n/a,n/a,n/a,27,n/a
"org.eclipse.jdt.core.ICompletionRequestor",n/a,n/a,n/a,n/a,14,n/a
"org.eclipse.jdt.core.ICorrectionRequestor",n/a,n/a,n/a,n/a,6,n/a
"org.eclipse.jdt.core.IElementChangedListener",n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IField",n/a,n/a,n/a,n/a,3,n/a
"org.eclipse.jdt.core.IImportContainer",n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IImportDeclaration",n/a,n/a,n/a,n/a,3,n/a
"org.eclipse.jdt.core.IInitializer",n/a,n/a,n/a,n/a,0,n/a
"org.eclipse.jdt.core.IJavaElement",n/a,n/a,n/a,n/a,17,n/a
"org.eclipse.jdt.core.IJavaElementDelta",n/a,n/a,n/a,n/a,10,n/a
"org.eclipse.jdt.core.IJavaModel",n/a,n/a,n/a,n/a,10,n/a
"org.eclipse.jdt.core.IJavaModelMarker",n/a,n/a,n/a,n/a,0,n/a
"org.eclipse.jdt.core.IJavaModelStatus",n/a,n/a,n/a,n/a,4,n/a
"org.eclipse.jdt.core.IJavaModelStatusConstants",n/a,n/a,n/a,n/a,0,n/a
"org.eclipse.jdt.core.IJavaProject",n/a,n/a,n/a,n/a,39,n/a
"org.eclipse.jdt.core.ILocalVariable",n/a,n/a,n/a,n/a,3,n/a
"org.eclipse.jdt.core.IMember",n/a,n/a,n/a,n/a,7,n/a
"org.eclipse.jdt.core.IMethod",n/a,n/a,n/a,n/a,13,n/a
"org.eclipse.jdt.core.IOpenable",n/a,n/a,n/a,n/a,8,n/a
"org.eclipse.jdt.core.IPackageDeclaration",n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.IPackageFragment",n/a,n/a,n/a,n/a,12,n/a
"org.eclipse.jdt.core.IPackageFragmentRoot",n/a,n/a,n/a,n/a,13,n/a
"org.eclipse.jdt.core.IParent",n/a,n/a,n/a,n/a,2,n/a
"org.eclipse.jdt.core.IProblemRequestor",n/a,n/a,n/a,n/a,4,n/a
"org.eclipse.jdt.core.IRegion",n/a,n/a,n/a,n/a,4,n/a
"org.eclipse.jdt.core.ISourceManipulation",n/a,n/a,n/a,n/a,4,n/a
"org.eclipse.jdt.core.ISourceRange",n/a,n/a,n/a,n/a,2,n/a
"org.eclipse.jdt.core.ISourceReference",n/a,n/a,n/a,n/a,3,n/a
"org.eclipse.jdt.core.IType",n/a,n/a,n/a,n/a,50,n/a
"org.eclipse.jdt.core.ITypeHierarchy",n/a,n/a,n/a,n/a,24,n/a
"org.eclipse.jdt.core.ITypeHierarchyChangedListener",n/a,n/a,n/a,n/a,1,n/a
"org.eclipse.jdt.core.ITypeParameter",n/a,n/a,n/a,n/a,3,n/a
"org.eclipse.jdt.core.IWorkingCopy",n/a,n/a,n/a,n/a,15,n/a
"org.eclipse.jdt.core.JDTCompilerAdapter",3,0,1,0,7,51
"org.eclipse.jdt.core.JavaConventions",24,0,4,0,24,54
"org.eclipse.jdt.core.JavaCore",85,0,14,0,134,212
"org.eclipse.jdt.core.JavaModelException",140,0,1,0,12,15
"org.eclipse.jdt.core.NamingConventions",7,0,7,0,34,46
"org.eclipse.jdt.core.NamingConventions.NamingRequestor",3,0,1,0,5,19
"org.eclipse.jdt.core.Signature",44,0,17,0,86,370
"org.eclipse.jdt.core.ToolFactory",30,0,7,0,27,26
"org.eclipse.jdt.core.WorkingCopyOwner",41,0,2,3,4,2
"org.eclipse.jdt.core.compiler.CharOperation",211,0,4,0,52,278
"org.eclipse.jdt.core.compiler.IProblem",n/a,n/a,n/a,n/a,12,n/a
"org.eclipse.jdt.core.compiler.IScanner",n/a,n/a,n/a,n/a,12,n/a
"org.eclipse.jdt.core.compiler.ITerminalSymbols",n/a,n/a,n/a,n/a,0,n/a
"org.eclipse.jdt.core.compiler.InvalidInputException",29,0,0,0,2,2
"org.eclipse.jdt.core.dom.AST",136,0,85,0,275,181
"org.eclipse.jdt.core.dom.ASTConverter",208,0,1,0,476,981
"org.eclipse.jdt.core.dom.ASTMatcher",88,0,9,0,273,239
"org.eclipse.jdt.core.dom.ASTNode",148,0,15,19,89,199
"org.eclipse.jdt.core.dom.ASTNode.NodeList",38,0,1,0,21,24
"org.eclipse.jdt.core.dom.ASTNode.NodeList.Cursor",2,0,2,0,4,5
"org.eclipse.jdt.core.dom.ASTParser",44,0,2,0,73,69
"org.eclipse.jdt.core.dom.ASTRequestor",6,0,3,0,5,6
"org.eclipse.jdt.core.dom.ASTSyntaxErrorPropagator",12,1,1,0,16,14
"org.eclipse.jdt.core.dom.ASTVisitor",89,0,168,5,170,170
"org.eclipse.jdt.core.dom.AbstractTypeDeclaration",22,2,10,3,27,16
"org.eclipse.jdt.core.dom.Annotation",14,2,8,3,19,14
"org.eclipse.jdt.core.dom.AnnotationTypeDeclaration",20,3,9,0,51,26
"org.eclipse.jdt.core.dom.AnnotationTypeMemberDeclaration",21,2,6,0,58,43
"org.eclipse.jdt.core.dom.AnonymousClassDeclaration",18,1,5,0,30,14
"org.eclipse.jdt.core.dom.ArrayAccess",13,2,4,0,34,27
"org.eclipse.jdt.core.dom.ArrayCreation",17,2,4,0,45,27
"org.eclipse.jdt.core.dom.ArrayInitializer",14,2,4,0,27,13
"org.eclipse.jdt.core.dom.ArrayType",15,2,4,0,35,23
"org.eclipse.jdt.core.dom.AssertStatement",13,2,4,0,36,24
"org.eclipse.jdt.core.dom.Assignment",15,2,4,0,41,33
"org.eclipse.jdt.core.dom.Assignment.Operator",4,0,1,0,3,4
"org.eclipse.jdt.core.dom.BindingComparator",16,0,1,0,25,51
"org.eclipse.jdt.core.dom.BindingKey",30,0,1,0,56,92
"org.eclipse.jdt.core.dom.BindingKeyScanner",4,0,1,0,14,56
"org.eclipse.jdt.core.dom.BindingResolver",44,0,34,1,35,35
"org.eclipse.jdt.core.dom.Block",26,2,4,0,29,13
"org.eclipse.jdt.core.dom.BlockComment",8,2,6,0,19,9
"org.eclipse.jdt.core.dom.BodyDeclaration",31,1,7,6,28,18
"org.eclipse.jdt.core.dom.BooleanLiteral",12,2,6,0,26,14
"org.eclipse.jdt.core.dom.BreakStatement",12,2,4,0,31,16
"org.eclipse.jdt.core.dom.CastExpression",15,2,4,0,35,27
"org.eclipse.jdt.core.dom.CatchClause",13,1,4,0,37,27
"org.eclipse.jdt.core.dom.CharacterLiteral",16,2,5,0,32,60
"org.eclipse.jdt.core.dom.ChildListPropertyDescriptor",40,1,2,0,4,4
"org.eclipse.jdt.core.dom.ChildPropertyDescriptor",73,1,3,0,5,5
"org.eclipse.jdt.core.dom.ClassInstanceCreation",21,2,3,0,55,52
"org.eclipse.jdt.core.dom.Comment",8,1,5,3,9,7
"org.eclipse.jdt.core.dom.CompilationUnit",35,1,7,0,70,59
"org.eclipse.jdt.core.dom.CompilationUnitResolver",62,1,2,0,88,90
"org.eclipse.jdt.core.dom.ConditionalExpression",13,2,4,0,36,35
"org.eclipse.jdt.core.dom.ConstructorInvocation",17,2,4,0,33,23
"org.eclipse.jdt.core.dom.ContinueStatement",12,2,4,0,31,16
"org.eclipse.jdt.core.dom.DefaultASTVisitor",73,1,2,1,143,142
"org.eclipse.jdt.core.dom.DefaultBindingResolver",120,1,2,0,89,252
"org.eclipse.jdt.core.dom.DefaultBindingResolver.BindingTables",4,0,0,0,1,1
"org.eclipse.jdt.core.dom.DefaultCommentMapper",11,0,1,0,22,86
"org.eclipse.jdt.core.dom.DefaultCommentMapper.CommentMapperVisitor",4,2,2,0,8,5
"org.eclipse.jdt.core.dom.DoStatement",14,2,4,0,37,27
"org.eclipse.jdt.core.dom.DocCommentParser",20,1,1,0,62,104
"org.eclipse.jdt.core.dom.EmptyStatement",11,2,6,0,19,8
"org.eclipse.jdt.core.dom.EnhancedForStatement",15,2,5,0,44,36
"org.eclipse.jdt.core.dom.EnumConstantDeclaration",22,2,5,0,64,45
"org.eclipse.jdt.core.dom.EnumDeclaration",21,3,7,0,55,30
"org.eclipse.jdt.core.dom.Expression",56,1,1,26,5,2
"org.eclipse.jdt.core.dom.ExpressionStatement",13,2,4,0,34,19
"org.eclipse.jdt.core.dom.FieldAccess",15,2,4,0,38,28
"org.eclipse.jdt.core.dom.FieldDeclaration",24,2,4,0,59,40
"org.eclipse.jdt.core.dom.ForStatement",15,2,4,0,45,29
"org.eclipse.jdt.core.dom.IBinding",n/a,n/a,n/a,n/a,10,n/a
"org.eclipse.jdt.core.dom.IDocElement",n/a,n/a,n/a,n/a,0,n/a
