Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.eclipse.jdt.core.BufferChangedEvent",508,1,1.054,3,530
"org.eclipse.jdt.core.CheckDebugAttributes",0,7,1.056,0,0
"org.eclipse.jdt.core.ClasspathContainerInitializer",508,2,1.054,4,530
"org.eclipse.jdt.core.ClasspathVariableInitializer",0,0,0,1,531
"org.eclipse.jdt.core.CompletionProposal",508,4,1.054,5,530
"org.eclipse.jdt.core.CompletionRequestor",508,2,1.054,15,530
"org.eclipse.jdt.core.CompletionRequestorAdapter",0,2,3,0,0
"org.eclipse.jdt.core.CorrectionEngine",0,20,1.056,0,0
"org.eclipse.jdt.core.ElementChangedEvent",508,1,1.054,4,530
"org.eclipse.jdt.core.Flags",0,1,273,23,531
"org.eclipse.jdt.core.JDTCompilerAdapter",0,3,274,0,0
"org.eclipse.jdt.core.JavaConventions",508,14,1.054,11,530
"org.eclipse.jdt.core.JavaCore",508,44,1.054,50,530
"org.eclipse.jdt.core.JavaModelException",508,2,1.054,139,530
"org.eclipse.jdt.core.NamingConventions",0,7,1.056,0,0
"org.eclipse.jdt.core.NamingConventions.NamingRequestor",0,2,2,1,1
"org.eclipse.jdt.core.Signature",0,2,2,42,540
"org.eclipse.jdt.core.ToolFactory",508,26,1.054,4,530
"org.eclipse.jdt.core.WorkingCopyOwner",508,4,1.054,39,530
"org.eclipse.jdt.core.compiler.CharOperation",0,1,1,210,872
"org.eclipse.jdt.core.compiler.InvalidInputException",0,0,0,29,832
"org.eclipse.jdt.core.dom.AST",508,110,1.054,116,530
"org.eclipse.jdt.core.dom.ASTConverter",508,206,1.054,3,530
"org.eclipse.jdt.core.dom.ASTMatcher",508,88,1.054,84,530
"org.eclipse.jdt.core.dom.ASTNode",508,93,1.054,145,530
"org.eclipse.jdt.core.dom.ASTNode.NodeList",508,4,1.054,36,530
"org.eclipse.jdt.core.dom.ASTNode.NodeList.Cursor",508,1,1.054,2,530
"org.eclipse.jdt.core.dom.ASTParser",508,44,1.054,1,530
"org.eclipse.jdt.core.dom.ASTRequestor",508,5,1.054,2,530
"org.eclipse.jdt.core.dom.ASTSyntaxErrorPropagator",508,10,1.054,2,530
"org.eclipse.jdt.core.dom.ASTVisitor",508,84,1.054,89,530
"org.eclipse.jdt.core.dom.AbstractTypeDeclaration",508,13,1.054,12,530
"org.eclipse.jdt.core.dom.Annotation",508,10,1.054,7,530
"org.eclipse.jdt.core.dom.AnnotationTypeDeclaration",508,14,1.054,12,530
"org.eclipse.jdt.core.dom.AnnotationTypeMemberDeclaration",508,16,1.054,11,530
"org.eclipse.jdt.core.dom.AnonymousClassDeclaration",508,9,1.054,14,530
"org.eclipse.jdt.core.dom.ArrayAccess",508,7,1.054,10,530
