Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"org.eclipse.jdt.core.IBuffer",508,3,1.054,25,530
"org.eclipse.jdt.core.IBufferChangedListener",508,1,1.054,3,530
"org.eclipse.jdt.core.IBufferFactory",508,2,1.054,9,530
"org.eclipse.jdt.core.IClassFile",508,10,1.054,21,530
"org.eclipse.jdt.core.IClasspathContainer",0,1,1,10,531
"org.eclipse.jdt.core.IClasspathEntry",0,0,0,33,533
"org.eclipse.jdt.core.ICodeAssist",508,6,1.054,3,530
"org.eclipse.jdt.core.ICodeCompletionRequestor",0,0,0,6,531
"org.eclipse.jdt.core.ICodeFormatter",0,0,0,2,531
"org.eclipse.jdt.core.ICompilationUnit",508,15,1.054,65,530
"org.eclipse.jdt.core.ICompletionRequestor",0,1,2,12,533
"org.eclipse.jdt.core.ICorrectionRequestor",0,0,0,1,1
"org.eclipse.jdt.core.IElementChangedListener",508,1,1.054,4,530
"org.eclipse.jdt.core.IField",508,2,1.054,16,530
"org.eclipse.jdt.core.IImportContainer",508,4,1.054,5,530
"org.eclipse.jdt.core.IImportDeclaration",508,4,1.054,12,530
"org.eclipse.jdt.core.IInitializer",508,1,1.054,9,530
"org.eclipse.jdt.core.IJavaElement",508,4,1.054,177,530
"org.eclipse.jdt.core.IJavaElementDelta",508,1,1.054,19,530
"org.eclipse.jdt.core.IJavaModel",508,5,1.054,20,530
"org.eclipse.jdt.core.IJavaModelMarker",508,1,1.054,8,530
"org.eclipse.jdt.core.IJavaModelStatus",508,1,1.054,28,530
"org.eclipse.jdt.core.IJavaModelStatusConstants",0,0,0,44,531
"org.eclipse.jdt.core.IJavaProject",508,12,1.054,61,530
"org.eclipse.jdt.core.ILocalVariable",508,3,1.054,1,530
"org.eclipse.jdt.core.IMember",508,9,1.054,42,530
"org.eclipse.jdt.core.IMethod",508,3,1.054,21,530
"org.eclipse.jdt.core.IOpenable",508,2,1.054,37,530
"org.eclipse.jdt.core.IPackageDeclaration",508,2,1.054,7,530
"org.eclipse.jdt.core.IPackageFragment",508,8,1.054,39,530
"org.eclipse.jdt.core.IPackageFragmentRoot",508,6,1.054,37,530
"org.eclipse.jdt.core.IParent",508,2,1.054,28,530
"org.eclipse.jdt.core.IProblemRequestor",0,1,2,9,531
"org.eclipse.jdt.core.IRegion",508,1,1.054,8,530
"org.eclipse.jdt.core.ISourceManipulation",508,2,1.054,4,530
"org.eclipse.jdt.core.ISourceRange",0,0,0,22,532
"org.eclipse.jdt.core.ISourceReference",508,2,1.054,21,530
"org.eclipse.jdt.core.IType",508,15,1.054,74,530
"org.eclipse.jdt.core.ITypeHierarchy",508,3,1.054,9,530
"org.eclipse.jdt.core.ITypeHierarchyChangedListener",508,1,1.054,2,530
"org.eclipse.jdt.core.ITypeParameter",508,5,1.054,12,530
"org.eclipse.jdt.core.IWorkingCopy",508,5,1.054,6,530
"org.eclipse.jdt.core.compiler.IProblem",0,1,1,68,845
"org.eclipse.jdt.core.compiler.IScanner",0,1,1,4,532
"org.eclipse.jdt.core.compiler.ITerminalSymbols",0,0,0,3,532
"org.eclipse.jdt.core.dom.IBinding",508,1,1.054,18,530
"org.eclipse.jdt.core.dom.IDocElement",0,0,0,5,531
"org.eclipse.jdt.core.dom.IExtendedModifier",0,0,0,7,531
"org.eclipse.jdt.core.dom.IMethodBinding",508,2,1.054,14,530
"org.eclipse.jdt.core.dom.IPackageBinding",508,1,1.054,6,530
"org.eclipse.jdt.core.dom.ITypeBinding",508,4,1.054,16,530
"org.eclipse.jdt.core.dom.IVariableBinding",508,3,1.054,10,530
"org.eclipse.jdt.core.dom.rewrite.ITrackedNodePosition",0,0,0,2,3
"org.eclipse.jdt.core.eval.ICodeSnippetRequestor",0,1,3,3,531
"org.eclipse.jdt.core.eval.IEvaluationContext",508,10,1.054,3,530
"org.eclipse.jdt.core.eval.IGlobalVariable",0,0,0,3,532
"org.eclipse.jdt.core.jdom.IDOMCompilationUnit",508,1,1.054,13,530
"org.eclipse.jdt.core.jdom.IDOMFactory",508,7,1.054,8,530
"org.eclipse.jdt.core.jdom.IDOMField",508,1,1.054,5,530
"org.eclipse.jdt.core.jdom.IDOMImport",508,1,1.054,5,530
"org.eclipse.jdt.core.jdom.IDOMInitializer",508,1,1.054,5,530
"org.eclipse.jdt.core.jdom.IDOMMember",508,1,1.054,6,530
"org.eclipse.jdt.core.jdom.IDOMMethod",508,1,1.054,8,530
"org.eclipse.jdt.core.jdom.IDOMNode",508,2,1.054,34,530
"org.eclipse.jdt.core.jdom.IDOMPackage",508,1,1.054,6,530
"org.eclipse.jdt.core.jdom.IDOMType",508,1,1.054,6,530
"org.eclipse.jdt.core.search.IJavaSearchConstants",0,1,1,6,531
"org.eclipse.jdt.core.search.IJavaSearchResultCollector",508,1,1.054,2,530
"org.eclipse.jdt.core.search.IJavaSearchScope",508,1,1.054,26,530
"org.eclipse.jdt.core.search.ISearchPattern",0,0,0,2,531
"org.eclipse.jdt.core.search.ITypeNameRequestor",0,0,0,3,532
"org.eclipse.jdt.core.util.IAnnotation",2,1,3,10,551
"org.eclipse.jdt.core.util.IAnnotationComponent",2,1,3,4,551
"org.eclipse.jdt.core.util.IAnnotationComponentValue",2,2,3,6,551
"org.eclipse.jdt.core.util.IAnnotationDefaultAttribute",0,2,5,2,534
"org.eclipse.jdt.core.util.IAttributeNamesConstants",0,0,0,5,535
"org.eclipse.jdt.core.util.IBytecodeVisitor",0,1,1,4,539
"org.eclipse.jdt.core.util.IClassFileAttribute",0,0,0,25,569
"org.eclipse.jdt.core.util.IClassFileDisassembler",0,1,18,1,531
"org.eclipse.jdt.core.util.IClassFileReader",0,6,17,7,534
"org.eclipse.jdt.core.util.ICodeAttribute",0,6,8,6,537
"org.eclipse.jdt.core.util.IConstantPool",0,1,1,30,561
"org.eclipse.jdt.core.util.IConstantPoolConstant",0,0,0,19,559
"org.eclipse.jdt.core.util.IConstantPoolEntry",0,0,0,25,578
