Package,v(G)avg,v(G)tot
"org.eclipse.jdt.core","3,57",1.060
"org.eclipse.jdt.core.compiler","5,91",319
"org.eclipse.jdt.core.dom","2,49",6.436
"org.eclipse.jdt.core.dom.rewrite","2,53",96
"org.eclipse.jdt.core.formatter","5,44",49
"org.eclipse.jdt.core.jdom","1,40",28
"org.eclipse.jdt.core.search","3,35",328
"org.eclipse.jdt.core.util","1,01",211
"org.eclipse.jdt.internal.antadapter","1,67",5
"org.eclipse.jdt.internal.codeassist","10,54",1.212
"org.eclipse.jdt.internal.codeassist.complete","4,01",1.295
"org.eclipse.jdt.internal.codeassist.impl","4,15",353
"org.eclipse.jdt.internal.codeassist.select","2,91",323
"org.eclipse.jdt.internal.compiler","3,06",1.377
"org.eclipse.jdt.internal.compiler.ast","5,26",5.194
"org.eclipse.jdt.internal.compiler.batch","7,96",533
"org.eclipse.jdt.internal.compiler.classfmt","4,16",499
"org.eclipse.jdt.internal.compiler.codegen","4,65",2.007
"org.eclipse.jdt.internal.compiler.env","2,41",41
"org.eclipse.jdt.internal.compiler.flow","2,85",416
"org.eclipse.jdt.internal.compiler.impl","8,97",1.247
"org.eclipse.jdt.internal.compiler.lookup","5,44",4.235
"org.eclipse.jdt.internal.compiler.parser","6,57",4.289
"org.eclipse.jdt.internal.compiler.parser.diagnose","7,35",456
"org.eclipse.jdt.internal.compiler.problem","2,16",856
"org.eclipse.jdt.internal.compiler.util","3,26",470
"org.eclipse.jdt.internal.core","3,38",6.782
"org.eclipse.jdt.internal.core.builder","5,08",1.046
"org.eclipse.jdt.internal.core.dom.rewrite","2,91",1.197
"org.eclipse.jdt.internal.core.eval","1,94",64
"org.eclipse.jdt.internal.core.hierarchy","4,52",805
"org.eclipse.jdt.internal.core.index","5,09",285
"org.eclipse.jdt.internal.core.jdom","2,11",687
"org.eclipse.jdt.internal.core.search","4,35",439
"org.eclipse.jdt.internal.core.search.indexing","4,41",622
"org.eclipse.jdt.internal.core.search.matching","4,87",2.187
"org.eclipse.jdt.internal.core.search.processing","6,40",96
"org.eclipse.jdt.internal.core.util","4,12",3.348
"org.eclipse.jdt.internal.eval","4,70",1.217
"org.eclipse.jdt.internal.formatter","6,97",2.006
"org.eclipse.jdt.internal.formatter.align","5,00",65
"org.eclipse.jdt.internal.formatter.old","12,00",24

